variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r01	01b_inc.yml	0	143600	4184	21	10	428	326	1
after	pso	r01	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_01-priv_nr_true.yml	0	344081	4360	22	20	896	696	1
after	pso	r01	13-privatized_18-first-reads_true.yml	0	299788	3304	16	20	420	363	1
after	pso	r01	13-privatized_18-first-reads_unknown_1_neg.yml	0	45957	1896	8	2	27	21	1
after	pso	r01	13-privatized_18-first-reads_unknown_2_pos.yml	0	41574	1896	8	2	27	21	1
after	pso	r01	13-privatized_19-publish-precision_true.yml	0	758130	4536	23	66	2735	2225	1
after	pso	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	0	31728	2776	13	2	43	35	1
after	pso	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	0	43182	2776	13	2	43	35	1
after	pso	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_20-publish-regression_true.yml	0	460731	4712	24	36	1484	1197	1
after	pso	r01	13-privatized_24-multiple-protecting_true.yml	0	21676584	10520	57	852	109463	82703	1
after	pso	r01	13-privatized_25-struct_nr_true.yml	0	353914	4360	22	20	896	696	1
after	pso	r01	13-privatized_27-multiple-protecting2_true.yml	0	63694367	11224	61	3092	358521	274278	1
after	pso	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2344895	6824	36	176	8032	6368	1
after	pso	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	0	945483	5064	26	60	2516	2089	1
after	pso	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2583361	5768	30	168	7121	5648	1
after	pso	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	1964292	6824	36	152	7396	5847	1
after	pso	r01	13-privatized_33-traces-v-matters_true.yml	0	341055	5240	27	20	466	391	1
