variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.070235936	0.11736160097643733	25976832		178025	22	1616	1616	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.069572561	0.09414712700527161	25980928		145022	16	1184	1184	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.062722411	0.09376114793121815	26087424		35339	8	608	608	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.065737124	0.10616178496275097	26091520		28405	8	608	608	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.05711545	0.09306235297117382	25985024		369943	23	1688	1688	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.059562555	0.07246516505256295	26103808		0	0	0	0	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.061422906	0.07274782797321677	26034176		28956	13	968	968	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.061867448	0.07533051399514079	26071040		33977	13	968	968	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.05821324	0.06893560604657978	26071040		0	0	0	0	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.072046382	0.17064980103168637	26005504		216007	24	1760	1760	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.110980469	0.19901523611042649	26095616		14732141	57	4136	4136	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.066369434	0.07899306004401296	26038272		170665	22	1616	1616	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.198728573	0.23243664402980357	26083328		47188606	61	4424	4424	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.066518256	0.12406787206418812	26001408		1252609	36	2624	2624	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.072461992	0.08301213092636317	26013696		462351	26	1904	1904	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.074845535	0.08760251698549837	26091520		1366500	30	2192	2192	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	0.063436311	0.07591418898664415	26091520		1073771	36	2624	2624	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	0.065754076	0.09320571599528193	25960448		185461	27	1976	1976	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	0.062369323	0.13959279807750136	26021888		169861	28	2048	2048	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	0.068289944	0.08432297094259411	25985024		547453	25	1832	1832	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	0.066829987	0.10583352588582784	25944064		289995	22	1616	1616	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	0.077307117	0.09127156401518732	25939968		439871	25	1832	1832	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	0.070961891	0.07988620700780302	25960448		477610	25	1832	1832	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	correct	0.061606487	0.14967705006711185	26021888		154495	21	1544	1544	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	false(unreach-call)	correct	0.059385436	0.1177725070156157	25952256		0	0	0	0	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	correct	0.068867448	0.14162272296380252	26017792		43057	13	968	968	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	0.065808786	0.07803229300770909	26042368		272187	26	1904	1904	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	0.060413006	0.13021314691286534	25964544		68995	21	1544	1544	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	true	correct	0.069902107	0.0778281019302085	26066944		450829	25	1832	1832	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	correct	0.068032302	0.08358035993296653	26042368		68307	14	1040	1040	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	correct	0.071132662	0.08802679600194097	25985024		144768	15	1112	1112	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	correct	0.063654182	0.07554096903186291	25956352		22892	6	464	464	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_10-13-18.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
