variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.065766654	0.09207945095840842	26079232		144895	22	1616	1616	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.068427134	0.07622316898778081	26079232		144004	16	1184	1184	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.063048165	0.09499364404473454	26079232		22381	8	608	608	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.068553533	0.0826439920347184	25980928		23665	8	608	608	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.069883576	0.08417607203591615	25993216		462498	23	1688	1688	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.070860615	0.08132961601950228	25956352		0	0	0	0	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.068821159	0.07959146297071129	26058752		31847	13	968	968	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.076056113	0.08417932107113302	25980928		29950	13	968	968	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.062737701	0.0732087540673092	25972736		0	0	0	0	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.065913638	0.06745853810571134	26099712		202627	24	1760	1760	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.10836764	0.11994501599110663	26083328		14575668	57	4136	4136	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.063987811	0.07285563694313169	25989120		137407	22	1616	1616	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.222172051	0.23891592700965703	26120192		54404019	61	4424	4424	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.074596407	0.0852511819684878	26128384		1623782	36	2624	2624	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.069696583	0.08176521107088774	26038272		470029	26	1904	1904	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.069545535	0.0962145869852975	26042368		1312803	30	2192	2192	1	optimization-analysis/continuous/lazy-cycle-eog/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_10-30-56.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
