variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	returnvalue	executions	lazy-cycle-checks	reasoner-calls	reasoner-ns	reasoner-table-slots	reasoner-derived-candidates	reasoner-composition-middles	provenance-materializations	provenance-materialization-ns	provenance-materialization-ops	nogood-learn-attempts	nogood-learned	nogood-match-queries	nogood-literal-checks	nogood-hits	nogood-maximum-bytes
baseline	sc	r01	13-privatized_66-mine-W-init_true.yml	true	correct	0.073780243	0.07875391899142414	25698304.0	0	1	0														
baseline	sc	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.065236598	0.07066790899261832	25702400.0	42	0	0														
baseline	sc	r01	36-apron_16-traces-unprot2_true.yml	true	correct	0.072230577	0.07750261295586824	25735168.0	0	1	0														
baseline	sc	r01	13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.066219192	0.06739531306084245	25743360.0	0	1	0														
baseline	sc	r01	13-privatized_47-refine-protected2_true.yml	true	correct	0.066489587	0.07268300105351955	25755648.0	0	2	0														
baseline	sc	r01	13-privatized_46-refine-protected1_true.yml	true	correct	0.066461428	0.07467014994472265	25792512.0	0	1	0														
baseline	sc	r01	36-apron_11-traces-max-simple_true.yml	true	correct	0.066073292	0.07390683400444686	25767936.0	0	2	0														
baseline	sc	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.066651993	0.07196931098587811	25800704.0	42	0	0														
baseline	sc	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.064797257	0.07143054297193885	25849856.0	42	0	0														
baseline	sc	r01	13-privatized_40-traces-ex-6_true.yml	true	correct	0.069028952	0.07632761995773762	25829376.0	0	1	0														
baseline	sc	r01	13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.064916106	0.07147286203689873	25755648.0	0	1	0														
baseline	sc	r01	13-privatized_44-traces-mine2_true.yml	true	correct	0.066323648	0.07477190205827355	25845760.0	0	1	0														
baseline	sc	r01	13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.067607174	0.07362855388782918	25890816.0	42	0	0														
baseline	sc	r01	13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.063503974	0.06778192589990795	25812992.0	42	0	0														
baseline	sc	r01	13-privatized_36-traces-ex-3_true.yml	true	correct	0.067788574	0.07051618292462081	25841664.0	0	3	0														
baseline	sc	r01	13-privatized_18-first-reads_true.yml	true	correct	0.067150909	0.07022714195773005	25776128.0	0	2	0														
baseline	sc	r01	13-privatized_35-traces-ex-2_true.yml	true	correct	0.071268618	0.07691290194634348	25837568.0	0	2	0														
baseline	sc	r01	13-privatized_37-traces-ex-4_true.yml	true	correct	0.06841293	0.0753398920642212	25796608.0	0	2	0														
baseline	sc	r01	13-privatized_38-traces-ex-4-switch_true.yml	true	correct	0.068149327	0.07711322500836104	25796608.0	0	2	0														
baseline	sc	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	correct	0.072118107	0.0764407659880817	25784320.0	42	0	0														
baseline	sc	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	0.066785108	0.07163981790654361	25788416.0	42	0	0														
baseline	sc	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	correct	0.067350537	0.07146793697029352	25796608.0	42	0	0														
baseline	sc	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	0.066399331	0.06972584594041109	25788416.0	42	0	0														
baseline	sc	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	correct	0.064658756	0.0703241239534691	25833472.0	0	2	0														
baseline	sc	r01	13-privatized_01-priv_nr_true.yml	true	correct	0.073322782	0.07693392399232835	25903104.0	0	2	0														
