model	repetition	task	baseline_status	candidate_status	baseline_category	candidate_category	baseline_terminal	candidate_terminal	common_terminal	terminal_verdict_match	baseline_cpu_s	candidate_cpu_s	baseline_wall_s	candidate_wall_s	baseline_memory_bytes	candidate_memory_bytes	baseline_executions	candidate_executions	cpu_ratio	wall_ratio	memory_ratio	execution_match
sc	r01	01b_inc.yml	true	true	correct	correct	True	True	True	True	0.067817648	0.064206793	0.07613952609244734	0.06860801903530955	25878528.0	25845760.0	0	0	0.9467564106617204	0.9010828219761552	0.9987337765115543	True
sc	r01	02_inc_cas.yml	true	true	correct	correct	True	True	True	True	0.071610078	0.069215222	0.07664793310686946	0.07493296603206545	25841664.0	25772032.0	0	0	0.9665569977454851	0.97762539698999	0.997305436677762	True
sc	r01	13-privatized_01-priv_nr_true.yml	true	true	correct	correct	True	True	True	True	0.073322782	0.071109401	0.07693392399232835	0.08032427600119263	25903104.0	25780224.0	2	2	0.9698131884848559	1.0440683619517752	0.9952561669829222	True
sc	r01	13-privatized_18-first-reads_true.yml	true	true	correct	correct	True	True	True	True	0.067150909	0.066720454	0.07022714195773005	0.06950168102048337	25776128.0	25882624.0	2	2	0.9935897368120512	0.9896697926610293	1.0041315747656125	True
sc	r01	13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.063503974	0.065851934	0.06778192589990795	0.07047136104665697	25812992.0	25808896.0	0	0	1.0369734341350039	1.0396777623391884	0.9998413202158045	True
sc	r01	13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.067607174	0.066935833	0.07362855388782918	0.07106451701838523	25890816.0	25837568.0	0	0	0.9900699739350146	0.9651760528483259	0.9979433633918684	True
sc	r01	13-privatized_19-publish-precision_true.yml	true	true	correct	correct	True	True	True	True	0.067043996	0.066404084	0.0748252619523555	0.06856511905789375	25894912.0	25882624.0	3	3	0.9904553421905223	0.9163365054645869	0.9995254666244859	True
sc	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.067350537	0.062132802	0.07146793697029352	0.06720298295840621	25796608.0	25899008.0	0	0	0.9225286800608583	0.940323532584128	1.0039695141314704	True
sc	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.072118107	0.068280066	0.0764407659880817	0.07292800804134458	25784320.0	25833472.0	0	0	0.9467811738319754	0.95404601325836	1.0019062748212868	True
sc	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.066399331	0.068375021	0.06972584594041109	0.07082873699255288	25788416.0	25878528.0	0	0	1.0297546672571143	1.0158175356249437	1.0034942820838628	True
sc	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.066785108	0.070207318	0.07163981790654361	0.07478201005142182	25788416.0	25886720.0	0	0	1.051242112238555	1.04386097336229	1.0038119440914866	True
sc	r01	13-privatized_20-publish-regression_true.yml	true	true	correct	correct	True	True	True	True	0.066902704	0.057510027	0.07700169901363552	0.06280728103592992	25825280.0	25862144.0	2	2	0.8596069151405301	0.8156609768416663	1.0014274385408406	True
sc	r01	13-privatized_24-multiple-protecting_true.yml	true	true	correct	correct	True	True	True	True	0.069218147	0.072751169	0.07509209599811584	0.07681451609823853	25821184.0	25960448.0	7	7	1.051041846006077	1.0229374353882186	1.0053934010152283	True
sc	r01	13-privatized_25-struct_nr_true.yml	true	true	correct	correct	True	True	True	True	0.066431747	0.067287335	0.07277262501884252	0.0734049869934097	25837568.0	25767936.0	2	2	1.0128792036735088	1.0086895583937427	0.9973050095117312	True
sc	r01	13-privatized_27-multiple-protecting2_true.yml	true	true	correct	correct	True	True	True	True	0.08292621	0.078274669	0.08753933198750019	0.0839105659397319	25952256.0	25911296.0	26	26	0.9439074690619529	0.9585470214887355	0.9984217171717171	True
sc	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	correct	True	True	True	True	0.067805312	0.065355449	0.07338914694264531	0.06897269806358963	25829376.0	25915392.0	4	4	0.9638691582158045	0.9398214986405661	1.0033301617507135	True
sc	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	correct	True	True	True	True	0.0669809	0.07065825	0.07283112197183073	0.0750616469886154	25804800.0	25903104.0	2	2	1.0549014719121423	1.0306259873031667	1.0038095238095237	True
sc	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	correct	True	True	True	True	0.066089668	0.071703254	0.07290264498442411	0.07665222405921668	25833472.0	25886720.0	4	4	1.0849389347817573	1.0514326891101642	1.0020612018392263	True
sc	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	correct	True	True	True	True	0.075182922	0.075089864	0.07778856705408543	0.07647500792518258	25899008.0	25841664.0	3	3	0.9987622455003812	0.983113725080068	0.9977858611418631	True
sc	r01	13-privatized_33-traces-v-matters_true.yml	true	true	correct	correct	True	True	True	True	0.064958475	0.071252858	0.07105510798282921	0.07261147198732942	25825280.0	25878528.0	1	1	1.096898564813906	1.0219036188767219	1.002061855670103	True
sc	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	correct	True	True	True	True	0.06642383	0.06829558	0.07228105794638395	0.07201871601864696	25788416.0	25792512.0	1	1	1.0281788930267945	0.996370530050465	1.0001588310038119	True
sc	r01	13-privatized_35-traces-ex-2_true.yml	true	true	correct	correct	True	True	True	True	0.071268618	0.069002128	0.07691290194634348	0.07782528200186789	25837568.0	25767936.0	2	2	0.9681979240849036	1.0118625098317173	0.9973050095117312	True
sc	r01	13-privatized_36-traces-ex-3_true.yml	true	true	correct	correct	True	True	True	True	0.067788574	0.056340708	0.07051618292462081	0.06122335896361619	25841664.0	25767936.0	3	3	0.8311239590317979	0.8682171442697303	0.9971469329529244	True
sc	r01	13-privatized_37-traces-ex-4_true.yml	true	true	correct	correct	True	True	True	True	0.06841293	0.061750461	0.0753398920642212	0.06712448003236204	25796608.0	25862144.0	2	2	0.9026138918476376	0.8909553517165092	1.002540489044141	True
sc	r01	13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	correct	True	True	True	True	0.068149327	0.067381	0.07711322500836104	0.07056040200404823	25796608.0	25767936.0	2	2	0.9887258314377778	0.9150233568418087	0.9988885360431883	True
sc	r01	13-privatized_40-traces-ex-6_true.yml	true	true	correct	correct	True	True	True	True	0.069028952	0.060508603	0.07632761995773762	0.06787608098238707	25829376.0	25788416.0	1	1	0.8765684723128927	0.8892728611211754	0.9984142086901364	True
sc	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.064797257	0.072732555	0.07143054297193885	0.07706582103855908	25849856.0	25776128.0	0	0	1.1224634863787522	1.078891715394548	0.9971478371098083	True
sc	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.066651993	0.067621138	0.07196931098587811	0.07103003608062863	25800704.0	25792512.0	0	0	1.0145403754093294	0.9869489523745227	0.9996824892840134	True
sc	r01	13-privatized_42-traces-ex-mini_true.yml	true	true	correct	correct	True	True	True	True	0.069426139	0.074542254	0.07520661503076553	0.080840019043535	25808896.0	25808896.0	2	2	1.073691480956474	1.0749056982615817	1.0	True
sc	r01	13-privatized_44-traces-mine2_true.yml	true	true	correct	correct	True	True	True	True	0.066323648	0.067912443	0.07477190205827355	0.07403258595149964	25845760.0	25817088.0	1	1	1.0239551811142837	0.9901123806346704	0.9988906497622821	True
sc	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	true	correct	correct	True	True	True	True	0.064658756	0.065854063	0.0703241239534691	0.06921870494261384	25833472.0	25878528.0	2	2	1.0184863903041996	0.9842810838057979	1.0017440938639606	True
sc	r01	13-privatized_46-refine-protected1_true.yml	true	true	correct	correct	True	True	True	True	0.066461428	0.065343509	0.07467014994472265	0.0738193920115009	25792512.0	25755648.0	1	1	0.9831794315343328	0.9886064520581308	0.9985707479752263	True
sc	r01	13-privatized_47-refine-protected2_true.yml	true	true	correct	correct	True	True	True	True	0.066489587	0.068952435	0.07268300105351955	0.07640425802674145	25755648.0	25849856.0	2	2	1.037041108406945	1.0511984496963984	1.0036577608142494	True
sc	r01	13-privatized_57-singlethreaded-unlock_true.yml	true	true	correct	correct	True	True	True	True	0.066219192	0.067542417	0.06739531306084245	0.07623712392523885	25743360.0	25837568.0	1	1	1.0199824999374802	1.131193260522646	1.0036595067621321	True
sc	r01	13-privatized_58-singlethreaded-lock_true.yml	true	true	correct	correct	True	True	True	True	0.064916106	0.062941132	0.07147286203689873	0.06882149004377425	25755648.0	25767936.0	1	1	0.9695765177288976	0.9629037942855054	1.0004770992366412	True
sc	r01	13-privatized_66-mine-W-init_true.yml	true	true	correct	correct	True	True	True	True	0.073780243	0.069329502	0.07875391899142414	0.07329810399096459	25698304.0	25763840.0	1	1	0.9396757069504367	0.9307232570730396	1.0025502072043353	True
sc	r01	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	correct	correct	True	True	True	True	0.067246679	0.073250069	0.07283089600969106	0.07758307503536344	25874432.0	25931776.0	0	0	1.089274148393261	1.0652494928119522	1.0022162418869716	True
sc	r01	13-privatized_69-refine-protected-loop-interval_true.yml	true	true	correct	correct	True	True	True	True	0.063123561	0.061106662	0.06757182395085692	0.06910938897635788	25919488.0	25923584.0	0	0	0.9680483963824539	1.0227545289678606	1.000158027812895	True
sc	r01	14_spin2003.yml	true	true	correct	correct	True	True	True	True	0.066612342	0.069084392	0.06914542592130601	0.07373062893748283	25763840.0	25755648.0	0	0	1.037110990632937	1.066312456031368	0.9996820349761526	True
sc	r01	28-race_reach_01-simple_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	12.11664983	12.043178193	12.14372649998404	12.066275399061851	2060976128.0	2061062144.0	0	0	0.9939363076402448	0.9936221306596216	1.0000417355634699	True
sc	r01	28-race_reach_06-cond_racing1.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	11.493025383	11.550651876	11.52113707899116	11.571015533991158	2061017088.0	2061033472.0	0	0	1.0050140403487873	1.0043292996739837	1.0000079494731486	True
sc	r01	28-race_reach_11-ptr_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	12.076738987	12.024970885	12.101166127016768	12.058066093013622	2060992512.0	2061008896.0	0	0	0.9957134039200709	0.9964383569690096	1.000007949567941	True
sc	r01	28-race_reach_21-deref_read_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	3.345018371	3.409785899	3.362040444975719	3.4226185739971697	56700928.0	56352768.0	0	0	1.0193623833463843	1.01801826302	0.9938597124900672	True
sc	r01	28-race_reach_24-sound_lock_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	11.709674101	11.730855788	11.731764990952797	11.750060947029851	2060955648.0	2060951552.0	0	0	1.0018089049120669	1.0015595228928609	0.9999980125724666	True
sc	r01	28-race_reach_37-indirect_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	12.089730189	12.006005605	12.11138876201585	12.02583921700716	2061086720.0	2061107200.0	0	0	0.9930747351106166	0.9929364380345058	1.0000099365057284	True
sc	r01	28-race_reach_45-escape_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.068118042	0.073245187	0.07448542607016861	0.07697926298715174	25808896.0	25899008.0	0	0	1.0752685316468726	1.0334808706690328	1.0034915092842407	True
sc	r01	28-race_reach_46-escape_racefree.yml	true	true	correct	correct	True	True	True	True	0.066471412	0.068348948	0.07355960202403367	0.0728713619755581	25812992.0	25882624.0	2	2	1.0282457667666216	0.9906437768892401	1.0026975563313234	True
sc	r01	29_conditionals_vs.yml	true	true	correct	correct	True	True	True	True	0.067438745	0.068782614	0.07105879602022469	0.07794675999321043	25808896.0	25726976.0	0	0	1.019927253984338	1.0969333053577954	0.9968259006506903	True
sc	r01	36-apron_11-traces-max-simple_true.yml	true	true	correct	correct	True	True	True	True	0.066073292	0.057114221	0.07390683400444686	0.06388706096913666	25767936.0	25800704.0	2	2	0.8644070738900068	0.8644269752549901	1.0012716579240184	True
sc	r01	36-apron_16-traces-unprot2_true.yml	true	true	correct	correct	True	True	True	True	0.072230577	0.060473263	0.07750261295586824	0.0669596700463444	25735168.0	25763840.0	1	1	0.8372252515717823	0.8639666134156375	1.0011141174598122	True
sc	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.066079303	0.068754164	0.07046383491251618	0.07307538902387023	25800704.0	25858048.0	0	0	1.0404795583270605	1.0370623329626667	1.0022225750119067	True
sc	r01	36-apron_21-traces-cluster-based_true.yml	true	true	correct	correct	True	True	True	True	0.069608204	0.070672724	0.0745760400313884	0.07629880891181529	25849856.0	25980928.0	6	6	1.0152930249428644	1.023100836135866	1.0050705118047853	True
sc	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	true	correct	correct	True	True	True	True	0.07443916	0.068180399	0.08617483300622553	0.07305433403234929	25821184.0	25874432.0	1	1	0.9159211226993964	0.847745582832422	1.0020621827411167	True
sc	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	True	True	True	0.065236598	0.066059546	0.07066790899261832	0.0699652109760791	25702400.0	25755648.0	0	0	1.0126148209016048	0.990056334953782	1.0020717131474104	True
sc	r01	43_NetBSD_sysmon_power_sliced.yml	true	true	correct	correct	True	True	True	True	0.061911666	0.065118534	0.06588072597514838	0.06793241703417152	25747456.0	25767936.0	0	0	1.0517974754547876	1.031142508353613	1.0007954183900731	True
sc	r01	45_monabsex1_vs.yml	true	true	correct	correct	True	True	True	True	0.064140249	0.067679134	0.06742920400574803	0.07048789807595313	25870336.0	25858048.0	0	0	1.055174169966194	1.04536156277248	0.9995250158328056	True
sc	r01	46_monabsex2_vs.yml	true	true	correct	correct	True	True	True	True	0.066794008	0.058112691	0.0733493739971891	0.06175533100031316	25784320.0	25772032.0	0	0	0.8700285061498331	0.841933988457485	0.9995234312946784	True
