repetition	model	baseline_cores	candidate_cores	baseline_status	candidate_status	started	finished
1	sc	0-7	8-15	0	0	2026-07-16T19:11:43+00:00	2026-07-16T19:13:52+00:00
1	tso	16-23	28-35	0	0	2026-07-16T19:11:43+00:00	2026-07-16T19:13:52+00:00
1	pso	36-43	44-51	0	0	2026-07-16T19:11:43+00:00	2026-07-16T19:13:52+00:00
2	sc	8-15	0-7	0	0	2026-07-16T19:13:52+00:00	2026-07-16T19:16:01+00:00
2	tso	28-35	16-23	0	0	2026-07-16T19:13:52+00:00	2026-07-16T19:16:01+00:00
2	pso	44-51	36-43	0	0	2026-07-16T19:13:52+00:00	2026-07-16T19:16:01+00:00
3	sc	0-7	8-15	0	0	2026-07-16T19:16:01+00:00	2026-07-16T19:18:11+00:00
3	tso	16-23	28-35	0	0	2026-07-16T19:16:01+00:00	2026-07-16T19:18:11+00:00
3	pso	36-43	44-51	0	0	2026-07-16T19:16:01+00:00	2026-07-16T19:18:11+00:00
4	sc	8-15	0-7	0	0	2026-07-16T19:18:11+00:00	2026-07-16T19:20:20+00:00
4	tso	28-35	16-23	0	0	2026-07-16T19:18:11+00:00	2026-07-16T19:20:20+00:00
4	pso	44-51	36-43	0	0	2026-07-16T19:18:11+00:00	2026-07-16T19:20:20+00:00
