variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	returnvalue	executions	lazy-cycle-checks	reasoner-calls	reasoner-ns	reasoner-table-slots	reasoner-derived-candidates	reasoner-composition-middles	provenance-materializations	provenance-materialization-ns	provenance-materialization-ops	nogood-learn-attempts	nogood-explanation-warmup-skips	nogood-learned	nogood-match-queries	nogood-literal-checks	nogood-hits	nogood-maximum-bytes
baseline	sc	r01	13-privatized_66-mine-W-init_true.yml	true	correct	0.073153308	0.07959053793456405	25812992.0	0	1	0															
baseline	sc	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.058773357	0.07029518310446292	25677824.0	42	0	0															
baseline	sc	r01	36-apron_16-traces-unprot2_true.yml	true	correct	0.068243817	0.07456037204246968	25796608.0	0	1	0															
baseline	sc	r01	13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.069826507	0.07672096090391278	25792512.0	0	1	0															
baseline	sc	r01	13-privatized_47-refine-protected2_true.yml	true	correct	0.06731651	0.07492566003929824	25751552.0	0	2	0															
baseline	sc	r01	13-privatized_46-refine-protected1_true.yml	true	correct	0.066957917	0.07212119200266898	25767936.0	0	1	0															
baseline	sc	r01	36-apron_11-traces-max-simple_true.yml	true	correct	0.070048835	0.07385910104494542	25808896.0	0	2	0															
baseline	sc	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.070479832	0.07475950405932963	25776128.0	42	0	0															
baseline	sc	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.073261734	0.0823228529188782	25821184.0	42	0	0															
baseline	sc	r01	13-privatized_40-traces-ex-6_true.yml	true	correct	0.062977251	0.06812959001399577	25853952.0	0	1	0															
baseline	sc	r01	13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.068248513	0.07446749391965568	25808896.0	0	1	0															
baseline	sc	r01	13-privatized_44-traces-mine2_true.yml	true	correct	0.073108284	0.07734628301113844	25858048.0	0	1	0															
baseline	sc	r01	13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.072019252	0.0769610779825598	25817088.0	42	0	0															
baseline	sc	r01	13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.070521037	0.07601386308670044	25874432.0	42	0	0															
baseline	sc	r01	13-privatized_36-traces-ex-3_true.yml	true	correct	0.069105899	0.07396589394193143	25780224.0	0	3	0															
baseline	sc	r01	13-privatized_18-first-reads_true.yml	true	correct	0.071691462	0.07355810992885381	25886720.0	0	2	0															
baseline	sc	r01	13-privatized_35-traces-ex-2_true.yml	true	correct	0.062921287	0.07026028796099126	25858048.0	0	2	0															
baseline	sc	r01	13-privatized_37-traces-ex-4_true.yml	true	correct	0.071398079	0.07604990794789046	25772032.0	0	2	0															
baseline	sc	r01	13-privatized_38-traces-ex-4-switch_true.yml	true	correct	0.076701856	0.0840443701017648	25763840.0	0	2	0															
baseline	sc	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	correct	0.069528413	0.07817259104922414	25862144.0	42	0	0															
baseline	sc	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	0.07347529	0.07873683399520814	25800704.0	42	0	0															
baseline	sc	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	correct	0.071712464	0.07544053590390831	25845760.0	42	0	0															
baseline	sc	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	0.067689702	0.07352137903217226	25878528.0	42	0	0															
baseline	sc	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	correct	0.066861522	0.06951815902721137	25841664.0	0	2	0															
baseline	sc	r01	13-privatized_01-priv_nr_true.yml	true	correct	0.067484036	0.0703059108927846	25784320.0	0	2	0															
baseline	sc	r01	13-privatized_19-publish-precision_true.yml	true	correct	0.072880879	0.07947829994373024	25817088.0	0	3	0															
baseline	sc	r01	13-privatized_42-traces-ex-mini_true.yml	true	correct	0.068374151	0.08076081098988652	25747456.0	0	2	0															
baseline	sc	r01	13-privatized_33-traces-v-matters_true.yml	true	correct	0.066306049	0.07564199808984995	25870336.0	0	1	0															
baseline	sc	r01	13-privatized_25-struct_nr_true.yml	true	correct	0.068879978	0.09773681196384132	25874432.0	0	2	0															
baseline	sc	r01	13-privatized_69-refine-protected-loop-interval_true.yml	true	correct	0.072259621	0.08176552597433329	25923584.0	0	0	0															
baseline	sc	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	correct	0.071115318	0.08027227595448494	25841664.0	42	0	0															
baseline	sc	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	true	correct	0.067621539	0.07158536999486387	25849856.0	0	4	0															
baseline	sc	r01	13-privatized_20-publish-regression_true.yml	true	correct	0.065812005	0.0714061320759356	25796608.0	0	2	0															
baseline	sc	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	true	correct	0.073348185	0.0761420700000599	25890816.0	0	2	0															
baseline	sc	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	correct	0.073906323	0.08133898000232875	25808896.0	0	3	0															
baseline	sc	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	correct	0.071216664	0.07454220508225262	25862144.0	0	1	0															
baseline	sc	r01	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	correct	0.074755492	0.08107333700172603	25845760.0	0	0	0															
baseline	sc	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	true	correct	0.074765774	0.08083992591127753	25870336.0	0	4	0															
baseline	sc	r01	13-privatized_24-multiple-protecting_true.yml	true	correct	0.07669331	0.08032385795377195	25899008.0	0	7	0															
baseline	sc	r01	36-apron_21-traces-cluster-based_true.yml	true	correct	0.071350238	0.09132082504220307	25960448.0	0	6	0															
baseline	sc	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	correct	0.062907467	0.06673567497637123	25894912.0	0	1	0															
