model	task	reasoner-calls	reasoner-ns	reasoner-table-slots	reasoner-base-candidates	reasoner-base-facts	reasoner-stratum-passes	reasoner-derived-candidates	reasoner-derivation-attempts	reasoner-derivation-updates	reasoner-composition-middles	reasoner-path-candidates	nogood-learn-attempts	nogood-learned	nogood-literal-checks	nogood-hits
sc	caat-sc.lazy-cycle.butterfly.yml.log	14	17195714	818873	385352	23467	347	808073	11932	5966	4090	0	14	14	2206029	26358
sc	caat-sc.lazy-cycle.circular_buffer_bad.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sc	caat-sc.lazy-cycle.fib_safe-5.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sc	caat-sc.lazy-cycle.fib_unsafe-5.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sc	caat-sc.lazy-cycle.queue.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sc	caat-sc.lazy-cycle.reorder_2.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sc	caat-sc.lazy-cycle.szymanski.yml.log	1	453478	8228	3872	410	24	7744	612	306	0	0	1	1	43	3
sc	caat-sc.lazy-cycle.triangular-2.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	caat-tso.lazy-cycle.butterfly.yml.log	14	60944038	2172507	436789	25426	1168	3205331	47570	23785	406042	0	14	14	2644670	26358
tso	caat-tso.lazy-cycle.circular_buffer_bad.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	caat-tso.lazy-cycle.fib_safe-5.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	caat-tso.lazy-cycle.fib_unsafe-5.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	caat-tso.lazy-cycle.queue.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	caat-tso.lazy-cycle.reorder_2.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	caat-tso.lazy-cycle.szymanski.yml.log	1	1596614	21912	4444	516	84	32516	2200	1100	6424	0	1	1	67	3
tso	caat-tso.lazy-cycle.triangular-2.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	caat-pso.lazy-cycle.butterfly.yml.log	16	76004069	2749592	518464	35850	1399	4145199	65674	32837	644792	0	16	16	4478982	150915
pso	caat-pso.lazy-cycle.circular_buffer_bad.yml.log	1	863516	15642	2988	291	75	19782	866	433	3060	0	1	1	258	7
pso	caat-pso.lazy-cycle.fib_safe-5.yml.log	12	2031764993	34026804	6388956	411012	975	47655459	1955850	977925	59458212	0	12	12	1698158	208167
pso	caat-pso.lazy-cycle.fib_unsafe-5.yml.log	10	1800704915	28355670	5324130	391139	817	39978603	1803248	901624	54919944	0	10	10	355539	46934
pso	caat-pso.lazy-cycle.queue.yml.log	1	1131744	19300	3680	360	80	26420	1238	619	4560	0	1	1	3018	20
pso	caat-pso.lazy-cycle.reorder_2.yml.log	7	90421383	2262134	425908	27902	573	3194474	80508	40254	878220	0	7	7	32662	5933
pso	caat-pso.lazy-cycle.szymanski.yml.log	1	1685482	23342	4444	516	88	35376	2168	1084	7260	0	1	1	585	8
pso	caat-pso.lazy-cycle.triangular-2.yml.log	11	94908784	2445212	460768	29984	891	3408636	117500	58750	846056	0	11	11	1751614	241471
