variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.070515825	0.07935459003783762	25976832	2026-07-15T18:32:29.470157+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.068039658	0.0723670229781419	26083328	2026-07-15T18:32:29.273007+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.071297552	0.07347186002880335	26001408	2026-07-15T18:32:29.235035+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.069785015	0.07121553301112726	25993216	2026-07-15T18:32:29.225045+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.069068026	0.07573062600567937	26083328	2026-07-15T18:32:29.483963+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.068705833	0.07901089900406078	26005504	2026-07-15T18:32:29.424602+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.070464909	0.07528660801472142	26079232	2026-07-15T18:32:29.353094+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.067778428	0.07668269396526739	25989120	2026-07-15T18:32:29.445555+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.071692465	0.08208610402652994	26071040	2026-07-15T18:32:29.394397+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.071147975	0.08340576197952032	26075136	2026-07-15T18:32:29.637389+00:00		/data3/sujie/experiments/caat-optimization/linear-recursion-closure/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_18-32-28.results.caat-pso.perf.unreach-call.xml.bz2
