archive	log	adapter_ns	adaptive_offline	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	865	0	0	0	0	0	1	0	0	18108	6	555555	20	464	464	0	6	1	33047	0	3288	0	1	0	0	33968	0	3288	0	0	0	0	58009	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_47-refine-protected2_true.yml.log	0	9	2959	0	3411	0	0	0	1	0	0	96866	14	612244	120	1112	1112	7	15	10	316082	0	7464	0	11	0	0	317494	0	7464	0	0	0	0	454965	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_46-refine-protected1_true.yml.log	0	3	1717	0	1297	0	0	0	1	0	0	47562	14	560000	88	1040	1040	4	14	4	127181	0	7000	0	4	0	0	128135	0	7000	0	0	0	0	193530	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.36-apron_11-traces-max-simple_true.yml.log	0	9	2937	0	3471	0	0	0	1	0	0	103733	15	604444	136	1184	1184	7	16	10	318120	0	7928	0	11	0	0	319518	0	7928	0	0	0	0	470335	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	863	0	0	0	0	0	1	0	0	22778	13	544378	92	968	968	0	13	1	34791	0	6536	0	1	0	0	35341	0	6536	0	0	0	0	64078	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_40-traces-ex-6_true.yml.log	0	7	2688	0	2850	0	0	0	1	0	0	106606	19	598337	216	1544	1544	12	21	8	328460	0	10248	0	9	0	0	329854	0	10248	0	0	0	0	477335	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_44-traces-mine2_true.yml.log	0	2	1513	0	657	0	0	0	1	0	0	51839	14	544378	92	1544	1544	9	21	3	144450	0	10248	0	3	0	0	145371	0	10248	0	0	0	0	213492	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	1045	0	0	0	0	0	1	0	0	22333	6	555555	20	464	464	0	6	1	57111	0	3288	0	1	0	0	58198	0	3288	0	0	0	0	88386	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_2_pos.yml.log	0	0	1159	0	0	0	0	0	1	0	0	18187	8	531250	34	608	608	0	8	1	43699	0	4216	0	1	0	0	44307	0	4216	0	0	0	0	69547	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_1_neg.yml.log	0	0	1019	0	0	0	0	0	1	0	0	17882	8	531250	34	608	608	0	8	1	41239	0	4216	0	1	0	0	41799	0	4216	0	0	0	0	66374	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_36-traces-ex-3_true.yml.log	0	26	5645	0	8035	0	0	0	1	0	0	298209	21	650887	270	1616	1616	16	22	27	1008650	0	10712	0	29	0	0	1011357	0	10712	0	0	0	0	1426480	2	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_true.yml.log	0	9	2885	0	3360	0	0	0	1	0	0	107277	15	612244	136	1184	1184	7	16	10	325552	0	7928	0	11	0	0	331152	0	7928	0	0	0	0	485804	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_37-traces-ex-4_true.yml.log	0	27	4763	0	5729	0	0	0	1	0	0	271191	24	614958	342	1832	1832	14	25	28	863192	0	12104	0	29	0	0	865394	0	12104	0	0	0	0	1226109	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_35-traces-ex-2_true.yml.log	0	29	6823	0	8529	0	0	0	1	0	0	352399	24	628099	342	1832	1832	14	25	30	1244356	0	12104	0	31	0	0	1247730	0	12104	0	0	0	0	1735853	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_38-traces-ex-4-switch_true.yml.log	0	29	7409	0	8191	0	0	0	1	0	0	354243	24	628099	342	1832	1832	14	25	30	1784781	0	12104	0	31	0	0	1794405	0	12104	0	0	0	0	2284270	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_1_pos.yml.log	0	0	891	0	0	0	0	0	1	0	0	27000	13	639053	108	968	968	0	13	1	35152	0	6536	0	1	0	0	41670	0	6536	0	0	0	0	75460	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_neg.yml.log	0	0	931	0	0	0	0	0	1	0	0	23639	13	639053	108	968	968	0	13	1	35709	0	6536	0	1	0	0	36406	0	6536	0	0	0	0	66716	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	0	28	6509	0	8418	0	0	0	1	0	0	344269	24	628099	342	1832	1832	14	25	29	1215402	0	12104	0	30	0	0	1218256	0	12104	0	0	0	0	1691825	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_33-traces-v-matters_true.yml.log	0	9	3215	0	3522	0	0	0	1	0	0	156953	23	604914	320	1976	1976	16	27	10	462455	0	13032	0	11	0	0	463911	0	13032	0	0	0	0	673198	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_42-traces-ex-mini_true.yml.log	0	19	4756	0	5488	0	0	0	1	0	0	262222	25	627599	388	1904	1904	12	26	20	863186	0	12568	0	21	0	0	865270	0	12568	0	0	0	0	1217293	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_01-priv_nr_true.yml.log	0	9	3113	0	4070	0	0	0	1	0	0	143604	21	580498	256	1616	1616	10	22	10	428292	0	10712	0	11	0	0	429839	0	10712	0	0	0	0	623053	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	813	0	0	0	0	0	1	0	0	20381	10	640000	64	752	752	0	10	1	34875	0	5144	0	1	0	0	35828	0	5144	0	0	0	0	62177	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_25-struct_nr_true.yml.log	0	9	3159	0	4004	0	0	0	1	0	0	147145	21	580498	256	1616	1616	10	22	10	419658	0	10712	0	11	0	0	421565	0	10712	0	0	0	0	616488	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_true.yml.log	0	32	7291	0	9968	0	0	0	1	0	0	357716	22	642857	254	1688	1688	15	23	33	1256113	0	11176	0	35	0	0	1259233	0	11176	0	0	0	0	1755400	2	0	0
