archive	log	adapter_ns	adaptive_offline	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	1068	0	0	0	0	0	1	0	0	20039	6	555555	20	464	464	0	6	1	35600	0	3344	0	1	0	0	41429	0	3344	0	0	0	0	68479	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_47-refine-protected2_true.yml.log	0	9	3152	0	3364	0	0	0	1	0	0	98238	14	612244	120	1112	1112	7	15	10	337207	0	7592	0	11	0	0	338854	0	7592	0	0	0	0	478716	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_46-refine-protected1_true.yml.log	0	3	1789	0	1239	0	0	0	1	0	0	47027	14	560000	88	1040	1040	4	14	4	141268	0	7120	0	4	0	0	142300	0	7120	0	0	0	0	207370	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.36-apron_11-traces-max-simple_true.yml.log	0	9	3063	0	3433	0	0	0	1	0	0	106189	15	604444	136	1184	1184	7	16	10	361128	0	8064	0	11	0	0	362792	0	8064	0	0	0	0	515892	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	880	0	0	0	0	0	1	0	0	28899	13	544378	92	968	968	0	13	1	46438	0	6648	0	1	0	0	47167	0	6648	0	0	0	0	83243	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	719	0	0	0	0	0	1	0	0	14214	6	555555	20	464	464	0	6	1	36327	0	3344	0	1	0	0	36922	0	3344	0	0	0	0	56008	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_40-traces-ex-6_true.yml.log	0	7	2305	0	2266	0	0	0	1	0	0	84597	19	598337	216	1544	1544	12	21	8	272190	0	10424	0	9	0	0	276889	0	10424	0	0	0	0	392994	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_44-traces-mine2_true.yml.log	0	2	1773	0	762	0	0	0	1	0	0	50317	14	544378	92	1544	1544	9	21	3	137515	0	10424	0	3	0	0	138455	0	10424	0	0	0	0	205999	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_2_pos.yml.log	0	0	804	0	0	0	0	0	1	0	0	18290	8	531250	34	608	608	0	8	1	39298	0	4288	0	1	0	0	39926	0	4288	0	0	0	0	64672	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_1_neg.yml.log	0	0	985	0	0	0	0	0	1	0	0	18926	8	531250	34	608	608	0	8	1	32064	0	4288	0	1	0	0	32800	0	4288	0	0	0	0	58887	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_36-traces-ex-3_true.yml.log	0	26	6768	0	8173	0	0	0	1	0	0	294742	21	650887	270	1616	1616	16	22	27	1120559	0	10896	0	29	0	0	1123649	0	10896	0	0	0	0	1537722	2	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_35-traces-ex-2_true.yml.log	0	29	6857	0	8065	0	0	0	1	0	0	356181	24	628099	342	1832	1832	14	25	30	1395326	0	12312	0	31	0	0	1398381	0	12312	0	0	0	0	1888644	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_true.yml.log	0	9	3261	0	3464	0	0	0	1	0	0	104745	15	612244	136	1184	1184	7	16	10	359540	0	8064	0	11	0	0	361105	0	8064	0	0	0	0	513394	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_37-traces-ex-4_true.yml.log	0	27	4407	0	5592	0	0	0	1	0	0	229926	24	614958	342	1832	1832	14	25	28	949569	0	12312	0	29	0	0	951464	0	12312	0	0	0	0	1269690	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_38-traces-ex-4-switch_true.yml.log	0	29	6826	0	8035	0	0	0	1	0	0	351402	24	628099	342	1832	1832	14	25	30	1415913	0	12312	0	31	0	0	1419760	0	12312	0	0	0	0	1907178	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_1_pos.yml.log	0	0	1087	0	0	0	0	0	1	0	0	23567	13	639053	108	968	968	0	13	1	60343	0	6648	0	1	0	0	61166	0	6648	0	0	0	0	91670	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_neg.yml.log	0	0	818	0	0	0	0	0	1	0	0	23072	13	639053	108	968	968	0	13	1	36605	0	6648	0	1	0	0	37206	0	6648	0	0	0	0	67593	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	0	28	6657	0	8483	0	0	0	1	0	0	346437	24	628099	342	1832	1832	14	25	29	1315344	0	12312	0	30	0	0	1318479	0	12312	0	0	0	0	1793993	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_01-priv_nr_true.yml.log	0	9	2841	0	3505	0	0	0	1	0	0	137042	21	580498	256	1616	1616	10	22	10	475216	0	10896	0	11	0	0	476571	0	10896	0	0	0	0	662267	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_true.yml.log	0	32	6704	0	9499	0	0	0	1	0	0	354629	22	642857	254	1688	1688	15	23	33	1379191	0	11368	0	35	0	0	1382688	0	11368	0	0	0	0	1877395	2	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_42-traces-ex-mini_true.yml.log	0	19	4448	0	5575	0	0	0	1	0	0	265575	25	627599	388	1904	1904	12	26	20	990918	0	12784	0	21	0	0	997701	0	12784	0	0	0	0	1353213	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_25-struct_nr_true.yml.log	0	9	3468	0	3582	0	0	0	1	0	0	148110	21	580498	256	1616	1616	10	22	10	477352	0	10896	0	11	0	0	483786	0	10896	0	0	0	0	681939	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.13-privatized_33-traces-v-matters_true.yml.log	0	9	3380	0	3292	0	0	0	1	0	0	152823	23	604914	320	1976	1976	16	27	10	504022	0	13256	0	11	0	0	505597	0	13256	0	0	0	0	710839	1	0	0
perf-caat-pso.2026-07-15_18-43-22.logfiles.zip	caat-pso.perf.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
