metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	80	0.9900980471326926	0.9831647349502765	0.9959338311290101	0.9952791128009894	0.004868154149559423	0.019472616598237694
cpu	sc	90	0.9552498768954887	0.9291531372358814	0.9777203990502952	0.9927409908733085	0.04459752462791594	0.13379257388374782
cpu	tso	89	0.9832849473903053	0.972407386453433	0.9933374241040482	0.9967193347975184	0.2890960806960603	0.2912709088059654
cpu	pso	80	0.9813668645672269	0.968064081914149	0.9929180891822422	0.9934739161449903	0.1456354544029827	0.2912709088059654
wall	all	80	0.9895570839942035	0.9823965995101417	0.9955507473019534	0.9934897649218186	0.00968284992305757	0.02904854976917271
wall	sc	90	0.9563265842902945	0.9298558584155584	0.9791319701625193	0.9932608327283219	0.17024239504607377	0.34048479009214755
wall	tso	89	0.9831991993376942	0.9722493809964877	0.9935338820998244	0.9952510168843559	0.39657015814551616	0.39657015814551616
wall	pso	80	0.9787387611144863	0.965969215280184	0.9902586735895059	0.9912661119050852	0.004868154149559423	0.019472616598237694
memory	all	80	1.000022259819488	0.9998528216027417	1.000192497367693	0.9999592627700272	0.7375543089843226	1.0
memory	sc	90	0.9993643360341627	0.9984273801789804	1.00005035325386	1.000039274212552	1.0	1.0
memory	tso	89	0.9997993110145164	0.999267866926095	1.0002441604225736	0.9999212846347607	0.5202915935750737	1.0
memory	pso	80	0.99996229674252	0.9997035881838876	1.0002261184469718	0.9999611740953565	0.8198929037490487	1.0
