metric	group	task_yaml	ratio
cpu	sc	c/goblint-regression/13-privatized_01-priv_nr_true.yml	0.9985388369903847
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_true.yml	1.0066752164425279
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1.0146104220348398
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	1.041416155595435
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_true.yml	0.971210675081437
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	0.9633887790137527
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	0.9785620472481391
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	1.0009470977239687
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0.9583432180621068
cpu	sc	c/goblint-regression/13-privatized_20-publish-regression_true.yml	0.9980646528655981
cpu	sc	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	1.0236206980389475
cpu	sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	1.0021506188605638
cpu	sc	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	0.9671635223364901
cpu	sc	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	0.992784904991117
cpu	sc	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	1.0141189520678637
cpu	sc	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	0.9786614609961722
cpu	sc	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0.9645864235313596
cpu	sc	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	0.9640007781724019
cpu	sc	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0.9949331085739
cpu	sc	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	0.9695710561259478
cpu	sc	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	1.0125771325722146
cpu	sc	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	1.0106046495151724
cpu	sc	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	1.0172790248473313
cpu	sc	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	1.0446258028342907
cpu	sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	1.006812796262467
cpu	sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	0.980211901203491
cpu	sc	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	1.0454527184190021
cpu	sc	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	0.9768432703359277
cpu	sc	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0.9779103890739584
