model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T18:19:49+00:00	2026-07-15T18:20:53+00:00
sc	2	28-51	0-23	0	0	2026-07-15T18:20:53+00:00	2026-07-15T18:21:56+00:00
sc	3	0-23	28-51	0	0	2026-07-15T18:21:56+00:00	2026-07-15T18:22:59+00:00
sc	4	28-51	0-23	0	0	2026-07-15T18:22:59+00:00	2026-07-15T18:24:02+00:00
sc	5	0-23	28-51	0	0	2026-07-15T18:24:02+00:00	2026-07-15T18:25:06+00:00
sc	6	28-51	0-23	0	0	2026-07-15T18:25:06+00:00	2026-07-15T18:26:09+00:00
tso	1	0-23	28-51	0	0	2026-07-15T18:26:09+00:00	2026-07-15T18:27:12+00:00
tso	2	28-51	0-23	0	0	2026-07-15T18:27:12+00:00	2026-07-15T18:28:15+00:00
tso	3	0-23	28-51	0	0	2026-07-15T18:28:15+00:00	2026-07-15T18:29:18+00:00
tso	4	28-51	0-23	0	0	2026-07-15T18:29:18+00:00	2026-07-15T18:30:22+00:00
tso	5	0-23	28-51	0	0	2026-07-15T18:30:22+00:00	2026-07-15T18:31:25+00:00
tso	6	28-51	0-23	0	0	2026-07-15T18:31:25+00:00	2026-07-15T18:32:28+00:00
pso	1	0-23	28-51	0	0	2026-07-15T18:32:28+00:00	2026-07-15T18:33:32+00:00
pso	2	28-51	0-23	0	0	2026-07-15T18:33:32+00:00	2026-07-15T18:34:35+00:00
pso	3	0-23	28-51	0	0	2026-07-15T18:34:35+00:00	2026-07-15T18:35:38+00:00
pso	4	28-51	0-23	0	0	2026-07-15T18:35:38+00:00	2026-07-15T18:36:42+00:00
pso	5	0-23	28-51	0	0	2026-07-15T18:36:42+00:00	2026-07-15T18:37:45+00:00
pso	6	28-51	0-23	0	0	2026-07-15T18:37:45+00:00	2026-07-15T18:38:48+00:00
