model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T13:07:48+00:00	2026-07-15T13:08:51+00:00
sc	2	28-51	0-23	0	0	2026-07-15T13:08:51+00:00	2026-07-15T13:09:54+00:00
sc	3	0-23	28-51	0	0	2026-07-15T13:09:54+00:00	2026-07-15T13:10:57+00:00
sc	4	28-51	0-23	0	0	2026-07-15T13:10:57+00:00	2026-07-15T13:12:00+00:00
sc	5	0-23	28-51	0	0	2026-07-15T13:12:00+00:00	2026-07-15T13:13:02+00:00
sc	6	28-51	0-23	0	0	2026-07-15T13:13:02+00:00	2026-07-15T13:14:05+00:00
tso	1	0-23	28-51	0	0	2026-07-15T13:14:05+00:00	2026-07-15T13:15:08+00:00
tso	2	28-51	0-23	0	0	2026-07-15T13:15:08+00:00	2026-07-15T13:16:11+00:00
tso	3	0-23	28-51	0	0	2026-07-15T13:16:11+00:00	2026-07-15T13:17:14+00:00
tso	4	28-51	0-23	0	0	2026-07-15T13:17:14+00:00	2026-07-15T13:18:17+00:00
tso	5	0-23	28-51	0	0	2026-07-15T13:18:17+00:00	2026-07-15T13:19:20+00:00
tso	6	28-51	0-23	0	0	2026-07-15T13:19:20+00:00	2026-07-15T13:20:22+00:00
pso	1	0-23	28-51	0	0	2026-07-15T13:20:22+00:00	2026-07-15T13:21:25+00:00
pso	2	28-51	0-23	0	0	2026-07-15T13:21:25+00:00	2026-07-15T13:22:29+00:00
pso	3	0-23	28-51	0	0	2026-07-15T13:22:29+00:00	2026-07-15T13:23:34+00:00
pso	4	28-51	0-23	0	0	2026-07-15T13:23:34+00:00	2026-07-15T13:24:38+00:00
pso	5	0-23	28-51	0	0	2026-07-15T13:24:38+00:00	2026-07-15T13:25:41+00:00
pso	6	28-51	0-23	0	0	2026-07-15T13:25:41+00:00	2026-07-15T13:26:45+00:00
