archive	log	adapter_ns	adaptive_offline	base_facts_added	base_facts_removed	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_changed_primitives	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	monotone_primitive_queries	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	primitive_change_queries	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	retracting_primitive_queries	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_47-refine-protected2_true.yml.log	0	9	341	385	2082	0	2822	0	0	0	1	0	0	75610	14	612244	120	9	1112	1112	7	15	1	10	260639	0	7592	0	9	11	0	0	267051	0	7592	0	8	0	0	0	508002	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	938	0	0	0	0	0	1	0	0	18183	6	555555	20	0	464	464	0	6	0	1	36032	0	3344	0	0	1	0	0	36562	0	3344	0	0	0	0	0	61853	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_46-refine-protected1_true.yml.log	0	3	3	125	1835	0	1555	0	0	0	1	0	0	58590	14	560000	88	9	1040	1040	4	14	0	4	151368	0	7120	0	3	4	0	0	152368	0	7120	0	3	0	0	0	281590	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	0	0	1048	0	0	0	0	0	1	0	0	32194	13	544378	92	0	968	968	0	13	0	1	39601	0	6648	0	0	1	0	0	40444	0	6648	0	0	0	0	0	79372	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.36-apron_11-traces-max-simple_true.yml.log	0	9	408	452	3110	0	3670	0	0	0	1	0	0	106542	15	604444	136	9	1184	1184	7	16	1	10	385050	0	8064	0	9	11	0	0	386717	0	8064	0	8	0	0	0	767113	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_44-traces-mine2_true.yml.log	0	2	178	199	1855	0	642	0	0	0	1	0	0	55493	14	544378	92	9	1544	1544	9	21	0	3	151387	0	10424	0	2	3	0	0	152444	0	10424	0	2	0	0	0	293216	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	16983	0	0	0	0	0	1	0	0	12910	6	555555	20	0	464	464	0	6	0	1	45332	0	3344	0	0	1	0	0	51999	0	3344	0	0	0	0	0	87057	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_40-traces-ex-6_true.yml.log	0	7	457	543	2408	0	2241	0	0	0	1	0	0	81854	19	598337	216	9	1544	1544	12	21	0	8	242026	0	10424	0	7	9	0	0	243377	0	10424	0	7	0	0	0	565494	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_18-first-reads_unknown_2_pos.yml.log	0	0	0	0	645	0	0	0	0	0	1	0	0	22560	8	531250	34	0	608	608	0	8	0	1	32218	0	4288	0	0	1	0	0	32591	0	4288	0	0	0	0	0	60589	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_18-first-reads_unknown_1_neg.yml.log	0	0	0	0	1029	0	0	0	0	0	1	0	0	19578	8	531250	34	0	608	608	0	8	0	1	50099	0	4288	0	0	1	0	0	50711	0	4288	0	0	0	0	0	77618	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_36-traces-ex-3_true.yml.log	0	26	1240	1402	6772	0	9123	0	0	0	1	0	0	311712	21	650887	270	9	1616	1616	16	22	2	27	1136130	0	10896	0	26	29	0	0	1139289	0	10896	0	24	0	0	0	2670363	2	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_18-first-reads_true.yml.log	0	9	388	432	3468	0	3544	0	0	0	1	0	0	120656	15	612244	136	9	1184	1184	7	16	0	10	367428	0	8064	0	9	11	0	0	369135	0	8064	0	9	0	0	0	747703	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_35-traces-ex-2_true.yml.log	0	29	1271	1351	7710	0	9587	0	0	0	1	0	0	387832	24	628099	342	9	1832	1832	14	25	1	30	1365993	0	12312	0	29	31	0	0	1376293	0	12312	0	28	0	0	0	3383905	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_37-traces-ex-4_true.yml.log	0	27	1165	1245	5591	0	22349	0	0	0	1	0	0	239887	24	614958	342	9	1832	1832	14	25	1	28	931613	0	12312	0	27	29	0	0	934369	0	12312	0	26	0	0	0	2318209	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_38-traces-ex-4-switch_true.yml.log	0	29	1271	1351	90169	0	9179	0	0	0	1	0	0	376235	24	628099	342	9	1832	1832	14	25	1	30	1371452	0	12312	0	29	31	0	0	1375310	0	12312	0	28	0	0	0	3451965	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_19-publish-precision_unknown_1_pos.yml.log	0	0	0	0	958	0	0	0	0	0	1	0	0	24260	13	639053	108	0	968	968	0	13	0	1	49522	0	6648	0	0	1	0	0	50497	0	6648	0	0	0	0	0	81841	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_19-publish-precision_unknown_2_neg.yml.log	0	0	0	0	820	0	0	0	0	0	1	0	0	22174	13	639053	108	0	968	968	0	13	0	1	32046	0	6648	0	0	1	0	0	38920	0	6648	0	0	0	0	0	67103	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	0	28	1269	1495	5423	0	6999	0	0	0	1	0	0	282722	24	628099	342	9	1832	1832	14	25	1	29	1009360	0	12312	0	28	30	0	0	1012079	0	12312	0	27	0	0	0	2527169	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_19-publish-precision_true.yml.log	0	32	1227	1341	7992	0	10323	0	0	0	1	0	0	380818	22	642857	254	9	1688	1688	15	23	0	33	1342354	0	11368	0	32	35	0	0	1353417	0	11368	0	32	0	0	0	3345885	2	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_01-priv_nr_true.yml.log	0	9	850	906	3437	0	3900	0	0	0	1	0	0	142280	21	580498	256	9	1616	1616	10	22	0	10	456964	0	10896	0	9	11	0	0	466318	0	10896	0	9	0	0	0	1056717	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_33-traces-v-matters_true.yml.log	0	9	722	879	3465	0	3471	0	0	0	1	0	0	155971	23	604914	320	9	1976	1976	16	27	1	10	498214	0	13256	0	9	11	0	0	499865	0	13256	0	8	0	0	0	1293328	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_25-struct_nr_true.yml.log	0	9	850	906	3501	0	4092	0	0	0	1	0	0	149616	21	580498	256	9	1616	1616	10	22	0	10	470824	0	10896	0	9	11	0	0	478027	0	10896	0	9	0	0	0	1098029	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_42-traces-ex-mini_true.yml.log	0	19	990	1118	5297	0	6384	0	0	0	1	0	0	279728	25	627599	388	9	1904	1904	12	26	1	20	982203	0	12784	0	19	21	0	0	984755	0	12784	0	18	0	0	0	2472028	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_20-publish-regression_true.yml.log	0	17	1014	1058	3743	0	4735	0	0	0	1	0	0	187067	23	632812	288	9	1760	1760	15	24	0	18	608150	0	11840	0	17	19	0	0	615646	0	11840	0	17	0	0	0	1516391	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	0	0	697	0	0	0	0	0	1	0	0	16941	10	640000	64	0	752	752	0	10	0	1	28738	0	5232	0	0	1	0	0	33863	0	5232	0	0	0	0	0	55775	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_31-traces-mine-vs-mutex_true.yml.log	0	83	3631	3902	23114	0	25113	0	0	0	1	0	0	1032326	29	628099	486	9	2192	2192	24	30	2	84	3734809	0	14672	0	83	87	0	0	3747897	0	14672	0	81	0	0	0	10061989	3	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	0	75	3788	4141	13845	0	20081	0	0	0	1	0	0	1027135	35	642857	728	9	2624	2624	25	36	1	76	3932377	0	17504	0	75	78	0	0	3939106	0	17504	0	74	0	0	0	11144491	2	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_30-traces-oplus-vs-meet_true.yml.log	0	29	1304	1388	12920	0	11231	0	0	0	1	0	0	396596	25	639053	366	9	1904	1904	14	26	0	30	1305646	0	12784	0	29	31	0	0	1313383	0	12784	0	29	0	0	0	3207943	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	0	11	779	865	3057	0	3282	0	0	0	1	0	0	137670	26	581632	368	9	2048	2048	19	28	0	12	481322	0	13728	0	11	13	0	0	489163	0	13728	0	11	0	0	0	1237278	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	0	0	0	0	750	0	0	0	0	0	1	0	0	19319	10	640000	64	0	752	752	0	10	0	1	44685	0	5232	0	0	1	0	0	51919	0	5232	0	0	0	0	0	77982	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.13-privatized_29-multiple-protecting2-vesal_true.yml.log	0	87	4678	5046	20823	0	31699	0	0	0	1	0	0	1593362	35	640000	728	9	2624	2624	24	36	2	88	6016636	0	17504	0	87	91	0	0	6025808	0	17504	0	85	0	0	0	17292905	3	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.14_spin2003.yml.log	0	0	0	0	668	0	0	0	0	0	1	0	0	21927	12	611111	88	0	896	896	0	12	0	1	32220	0	6176	0	0	1	0	0	32605	0	6176	0	0	0	0	0	59324	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.36-apron_21-traces-cluster-based_true.yml.log	0	85	6169	6285	42904	0	47425	0	0	0	1	0	0	1639714	34	754437	866	9	2552	2552	20	35	5	86	5188596	0	17032	0	85	91	0	0	5217788	0	17032	0	80	0	0	0	14333384	5	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.29_conditionals_vs.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.46_monabsex2_vs.yml.log	0	8	8	378	2879	0	2744	0	0	0	1	0	0	96978	21	628099	220	9	1544	1544	10	21	0	9	302404	0	10424	0	8	9	0	0	310562	0	10424	0	8	0	0	0	674666	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.48_ticket_lock_low_contention_vs-pthread.yml.log	0	0	0	0	611	0	0	0	0	0	1	0	0	15132	12	611111	88	0	896	896	0	12	0	1	29935	0	6176	0	0	1	0	0	30507	0	6176	0	0	0	0	0	50712	0	0	0
