archive	log	adapter_ns	adaptive_offline	base_facts_added	base_facts_removed	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_changed_primitives	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	monotone_primitive_queries	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	primitive_change_queries	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	retracting_primitive_queries	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.13-privatized_46-refine-protected1_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.36-apron_11-traces-max-simple_true.yml.log	0	1	27	3	786	0	756	0	0	0	1	0	0	35140	12	569444	82	6	768	768	0	12	0	2	46450	0	2744	0	1	3	0	0	47033	0	2744	0	1	0	0	0	114145	1	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.13-privatized_47-refine-protected2_true.yml.log	0	1	27	3	788	0	931	0	0	0	1	0	0	39105	12	569444	82	6	768	768	0	12	0	2	30996	0	2744	0	1	3	0	0	37141	0	2744	0	1	0	0	0	108322	1	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	0	0	696	0	0	0	0	0	1	0	0	17161	13	544378	92	0	832	832	0	13	0	1	14004	0	2960	0	0	1	0	0	14741	0	2960	0	0	0	0	0	36895	0	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-sc.2026-07-15_07-18-27.logfiles.zip	caat-sc.profile.13-privatized_40-traces-ex-6_true.yml.log	0	1	31	3	1295	0	790	0	0	0	1	0	0	41475	14	581632	114	6	896	896	0	14	0	2	32662	0	3176	0	1	3	0	0	33684	0	3176	0	1	0	0	0	114889	1	0	0
