archive	log	adapter_ns	adaptive_offline	base_facts_added	base_facts_removed	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_changed_primitives	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	monotone_primitive_queries	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	primitive_change_queries	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	retracting_primitive_queries	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_47-refine-protected2_true.yml.log	0	1	39	3	1317	0	1226	0	0	0	1	0	0	43422	12	569444	82	8	896	896	0	12	0	2	80745	0	5880	0	1	3	0	0	87704	0	5880	0	1	0	0	0	173157	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.36-apron_11-traces-max-simple_true.yml.log	0	1	39	3	1241	0	1309	0	0	0	1	0	0	43170	12	569444	82	8	896	896	0	12	0	2	81371	0	5880	0	1	3	0	0	82290	0	5880	0	1	0	0	0	166005	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_46-refine-protected1_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	0	0	740	0	0	0	0	0	1	0	0	21900	13	544378	92	0	968	968	0	13	0	1	27702	0	6328	0	0	1	0	0	33930	0	6328	0	0	0	0	0	64813	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_40-traces-ex-6_true.yml.log	0	1	43	3	1589	0	1324	0	0	0	1	0	0	56296	14	581632	114	8	1040	1040	0	14	0	2	75865	0	6776	0	1	3	0	0	76735	0	6776	0	1	0	0	0	186751	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_44-traces-mine2_true.yml.log	0	0	0	0	920	0	0	0	0	0	1	0	0	27705	13	544378	92	0	968	968	0	13	0	1	45919	0	6328	0	0	1	0	0	53368	0	6328	0	0	0	0	0	87859	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_18-first-reads_unknown_1_neg.yml.log	0	0	0	0	1016	0	0	0	0	0	1	0	0	21786	8	531250	34	0	608	608	0	8	0	1	31869	0	4088	0	0	1	0	0	32371	0	4088	0	0	0	0	0	61000	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_18-first-reads_unknown_2_pos.yml.log	0	0	0	0	828	0	0	0	0	0	1	0	0	18020	8	531250	34	0	608	608	0	8	0	1	35895	0	4088	0	0	1	0	0	42167	0	4088	0	0	0	0	0	67188	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_36-traces-ex-3_true.yml.log	0	3	244	202	1971	0	2596	0	0	0	1	0	0	93936	15	650887	126	9	1328	1328	4	18	0	4	166557	0	8568	0	3	6	0	0	167509	0	8568	0	3	0	0	0	420559	2	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_35-traces-ex-2_true.yml.log	0	3	337	295	1584	0	1348	0	0	0	1	0	0	64625	16	628099	158	9	1472	1472	5	20	0	4	141276	0	9464	0	3	5	0	0	142026	0	9464	0	3	0	0	0	314873	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_18-first-reads_true.yml.log	0	1	39	3	1244	0	972	0	0	0	1	0	0	34084	12	569444	82	8	896	896	0	12	0	2	60935	0	5880	0	1	3	0	0	68427	0	5880	0	1	0	0	0	132966	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_38-traces-ex-4-switch_true.yml.log	0	3	337	295	1965	0	1213	0	0	0	1	0	0	62630	16	628099	158	9	1472	1472	5	20	0	4	130542	0	9464	0	3	5	0	0	137144	0	9464	0	3	0	0	0	308630	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_37-traces-ex-4_true.yml.log	0	1	45	3	1406	0	1400	0	0	0	1	0	0	51858	15	560000	126	8	1112	1112	0	15	0	2	76574	0	7224	0	1	3	0	0	77267	0	7224	0	1	0	0	0	184420	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_19-publish-precision_unknown_1_pos.yml.log	0	0	0	0	1133	0	0	0	0	0	1	0	0	23805	13	639053	108	0	968	968	0	13	0	1	36811	0	6328	0	0	1	0	0	37354	0	6328	0	0	0	0	0	68163	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_19-publish-precision_unknown_2_neg.yml.log	0	0	0	0	850	0	0	0	0	0	1	0	0	26149	13	639053	108	0	968	968	0	13	0	1	34823	0	6328	0	0	1	0	0	35262	0	6328	0	0	0	0	0	67083	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	0	2	357	300	1715	0	1678	0	0	0	1	0	0	75141	19	628099	174	9	1472	1472	9	20	0	3	148338	0	9464	0	2	4	0	0	158155	0	9464	0	2	0	0	0	359998	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_01-priv_nr_true.yml.log	0	1	47	3	1270	0	1272	0	0	0	1	0	0	50821	16	476562	122	8	1184	1184	0	16	0	2	80732	0	7672	0	1	3	0	0	81394	0	7672	0	1	0	0	0	190468	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_42-traces-ex-mini_true.yml.log	0	1	53	3	1433	0	1102	0	0	0	1	0	0	50189	19	531855	192	8	1400	1400	0	19	0	2	77684	0	9016	0	1	3	0	0	84197	0	9016	0	1	0	0	0	197920	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_25-struct_nr_true.yml.log	0	1	47	3	1482	0	1224	0	0	0	1	0	0	49203	16	476562	122	8	1184	1184	0	16	0	2	83523	0	7672	0	1	3	0	0	84750	0	7672	0	1	0	0	0	194167	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_33-traces-v-matters_true.yml.log	0	2	94	3	1553	0	1311	0	0	0	1	0	0	71436	19	576177	208	8	1400	1400	0	19	1	3	133463	0	9016	0	2	4	0	0	141390	0	9016	0	1	0	0	0	315618	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_19-publish-precision_true.yml.log	0	3	217	179	2172	0	2596	0	0	0	1	0	0	89832	18	642857	198	9	1328	1328	4	18	0	4	181377	0	8568	0	3	6	0	0	182528	0	8568	0	3	0	0	0	428379	2	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_31-traces-mine-vs-mutex_true.yml.log	0	5	565	517	2473	0	3311	0	0	0	1	0	0	109226	18	628099	190	9	1832	1832	13	25	0	6	224595	0	11704	0	5	9	0	0	225563	0	11704	0	5	0	0	0	674360	3	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_20-publish-regression_true.yml.log	0	1	39	3	1046	0	1296	0	0	0	1	0	0	45398	12	569444	82	8	896	896	0	12	0	2	73746	0	5880	0	1	3	0	0	78966	0	5880	0	1	0	0	0	165423	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	0	5	747	689	4321	0	3197	0	0	0	1	0	0	161160	23	642857	248	9	2192	2192	12	30	0	6	351557	0	13944	0	5	8	0	0	352988	0	13944	0	5	0	0	0	1017036	2	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_30-traces-oplus-vs-meet_true.yml.log	0	3	342	298	1646	0	1337	0	0	0	1	0	0	66889	17	639053	180	9	1544	1544	5	21	0	4	131085	0	9912	0	3	5	0	0	132004	0	9912	0	3	0	0	0	316875	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	0	1	43	3	1285	0	1134	0	0	0	1	0	0	41095	14	581632	114	8	1040	1040	0	14	0	2	73624	0	6776	0	1	3	0	0	74422	0	6776	0	1	0	0	0	155984	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_29-multiple-protecting2-vesal_true.yml.log	0	5	710	650	2822	0	3946	0	0	0	1	0	0	171490	24	632231	332	9	2264	2264	13	31	0	6	385784	0	14392	0	5	9	0	0	387293	0	14392	0	5	0	0	0	1188655	3	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_24-multiple-protecting_true.yml.log	0	11	4138	4062	6088	0	13454	0	0	0	1	0	0	749491	52	582852	1574	9	3776	3776	22	52	1	12	1483278	0	23800	0	11	18	0	0	1487783	0	23800	0	10	0	0	0	6016456	6	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.36-apron_21-traces-cluster-based_true.yml.log	0	12	2011	1468	4558	0	10071	0	0	0	1	0	0	361101	31	754437	688	9	2552	2552	8	35	2	13	663111	0	16184	0	12	18	0	0	671048	0	16184	0	10	0	0	0	2225170	5	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.14_spin2003.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.48_ticket_lock_low_contention_vs-pthread.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.29_conditionals_vs.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.13-privatized_27-multiple-protecting2_true.yml.log	0	35	15388	13531	14684	0	22466	0	0	0	1	0	0	1681296	56	716633	2110	10	4424	4424	41	61	5	36	3875951	0	27832	0	35	54	0	0	3881477	0	27832	0	30	0	0	0	16571363	18	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.45_monabsex1_vs.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.46_monabsex2_vs.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.stateful01-1.yml.log	0	1	377	2	1737	0	63	0	0	0	1	0	0	58105	31	715920	688	9	2264	2264	0	31	0	2	115853	0	14392	0	1	2	0	0	116605	0	14392	0	1	0	0	0	239292	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.stateful01-2.yml.log	0	5	588	512	3213	0	4879	0	0	0	1	0	0	228516	32	718750	736	9	2336	2336	5	32	0	6	438437	0	14840	0	5	9	0	0	439878	0	14840	0	5	0	0	0	1450277	3	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.time_var_mutex.yml.log	0	1	74	3	1238	0	1251	0	0	0	1	0	0	83305	28	691326	542	8	2048	2048	0	28	0	2	141703	0	13048	0	1	3	0	0	147789	0	13048	0	1	0	0	0	376077	1	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.01b_inc.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-tso.2026-07-15_07-19-30.logfiles.zip	caat-tso.profile.02_inc_cas.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
