model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T14:13:29+00:00	2026-07-15T14:14:33+00:00
sc	2	28-51	0-23	0	0	2026-07-15T14:14:33+00:00	2026-07-15T14:15:36+00:00
sc	3	0-23	28-51	0	0	2026-07-15T14:15:36+00:00	2026-07-15T14:16:39+00:00
sc	4	28-51	0-23	0	0	2026-07-15T14:16:39+00:00	2026-07-15T14:17:42+00:00
sc	5	0-23	28-51	0	0	2026-07-15T14:17:42+00:00	2026-07-15T14:18:46+00:00
sc	6	28-51	0-23	0	0	2026-07-15T14:18:46+00:00	2026-07-15T14:19:49+00:00
tso	1	0-23	28-51	0	0	2026-07-15T14:19:49+00:00	2026-07-15T14:20:52+00:00
tso	2	28-51	0-23	0	0	2026-07-15T14:20:52+00:00	2026-07-15T14:21:55+00:00
tso	3	0-23	28-51	0	0	2026-07-15T14:21:55+00:00	2026-07-15T14:22:59+00:00
tso	4	28-51	0-23	0	0	2026-07-15T14:22:59+00:00	2026-07-15T14:24:02+00:00
tso	5	0-23	28-51	0	0	2026-07-15T14:24:02+00:00	2026-07-15T14:25:05+00:00
tso	6	28-51	0-23	0	0	2026-07-15T14:25:05+00:00	2026-07-15T14:26:08+00:00
pso	1	0-23	28-51	0	0	2026-07-15T14:26:08+00:00	2026-07-15T14:27:12+00:00
pso	2	28-51	0-23	0	0	2026-07-15T14:27:12+00:00	2026-07-15T14:28:15+00:00
pso	3	0-23	28-51	0	0	2026-07-15T14:28:15+00:00	2026-07-15T14:29:28+00:00
pso	4	28-51	0-23	0	0	2026-07-15T14:29:28+00:00	2026-07-15T14:30:31+00:00
pso	5	0-23	28-51	0	0	2026-07-15T14:30:31+00:00	2026-07-15T14:31:34+00:00
pso	6	28-51	0-23	0	0	2026-07-15T14:31:34+00:00	2026-07-15T14:32:41+00:00
