variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r01	01b_inc.yml	0	138026	4856	21	5	282	236	1
after	pso	r01	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_01-priv_nr_true.yml	0	253895	5064	22	10	433	369	1
after	pso	r01	13-privatized_18-first-reads_true.yml	0	285418	3816	16	10	280	251	1
after	pso	r01	13-privatized_18-first-reads_unknown_1_neg.yml	0	33346	2152	8	1	15	12	1
after	pso	r01	13-privatized_18-first-reads_unknown_2_pos.yml	0	46738	2152	8	1	15	12	1
after	pso	r01	13-privatized_19-publish-precision_true.yml	0	752555	5272	23	33	1821	1575	1
after	pso	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	0	36197	3192	13	1	26	22	1
after	pso	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	0	39379	3192	13	1	26	22	1
after	pso	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_20-publish-regression_true.yml	0	443553	5480	24	18	910	788	1
after	pso	r01	13-privatized_24-multiple-protecting_true.yml	0	56206298	12344	57	426	60071	48978	1
after	pso	r01	13-privatized_25-struct_nr_true.yml	0	262161	5064	22	10	433	369	1
after	pso	r01	13-privatized_27-multiple-protecting2_true.yml	0	101581021	13176	61	1546	167997	139912	1
after	pso	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2192386	7976	36	88	4281	3726	1
after	pso	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	0	790605	5896	26	30	1597	1404	1
after	pso	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	0	1837988	6728	30	84	3805	3294	1
after	pso	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	1947794	7976	36	76	3824	3337	1
after	pso	r01	13-privatized_33-traces-v-matters_true.yml	0	273817	6104	27	10	319	281	1
after	pso	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	308497	6312	28	12	456	400	1
after	pso	r01	13-privatized_35-traces-ex-2_true.yml	0	710958	5688	25	30	1064	916	1
after	pso	r01	13-privatized_36-traces-ex-3_true.yml	0	545905	5064	22	27	667	580	1
after	pso	r01	13-privatized_37-traces-ex-4_true.yml	0	627735	5688	25	28	990	853	1
after	pso	r01	13-privatized_38-traces-ex-4-switch_true.yml	0	854886	5688	25	30	1028	888	1
after	pso	r01	13-privatized_40-traces-ex-6_true.yml	0	205566	4856	21	8	183	161	1
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	41817	3192	13	1	27	23	1
after	pso	r01	13-privatized_42-traces-ex-mini_true.yml	0	474837	5896	26	20	642	549	1
after	pso	r01	13-privatized_44-traces-mine2_true.yml	0	123400	4856	21	3	72	64	1
after	pso	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	680168	5688	25	29	970	797	1
after	pso	r01	13-privatized_46-refine-protected1_true.yml	0	89478	3400	14	4	88	62	1
after	pso	r01	13-privatized_47-refine-protected2_true.yml	0	393865	3608	15	10	169	147	1
after	pso	r01	13-privatized_57-singlethreaded-unlock_true.yml	0	40012	1736	6	1	7	5	1
after	pso	r01	13-privatized_58-singlethreaded-lock_true.yml	0	42595	1736	6	1	7	5	1
after	pso	r01	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	32959	2568	10	1	9	9	1
after	pso	r01	13-privatized_69-refine-protected-loop-interval_true.yml	0	44850	2568	10	1	9	9	1
after	pso	r01	14_spin2003.yml	0	30666	2984	12	1	14	12	1
after	pso	r01	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	1
after	pso	r01	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_45-escape_racing.yml	0	32390	4440	19	1	50	43	1
after	pso	r01	28-race_reach_46-escape_racefree.yml	0	643330	6520	29	28	1112	975	1
after	pso	r01	29_conditionals_vs.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_11-traces-max-simple_true.yml	0	270528	3816	16	10	183	161	1
after	pso	r01	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_21-traces-cluster-based_true.yml	0	10208262	7768	35	86	3813	3456	1
after	pso	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r01	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r01	45_monabsex1_vs.yml	0	96198	3816	16	4	112	82	1
after	pso	r01	46_monabsex2_vs.yml	0	201934	4856	21	9	424	308	1
after	pso	r01	48_ticket_lock_low_contention_vs-pthread.yml	0	38098	2984	12	1	14	12	1
after	pso	r01	48_ticket_lock_low_contention_vs.yml	0	124332	5688	25	4	304	266	1
after	pso	r01	butterfly.yml	0	16405243312	13176	61	347445	46843741	46404922	1
after	pso	r01	circular_buffer_bad.yml	0	45357077	37576	89	238	74063	55994	1
after	pso	r01	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r01	dekker-unfair.yml	0	1044796	7768	35	37	3775	3554	1
after	pso	r01	dekker.yml	0	1076283	7768	35	35	3630	3418	1
after	pso	r01	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r01	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r01	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r01	fib_unsafe-5.yml	0	10439933758	202856	243	48263	44145162	36633636	1
after	pso	r01	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r01	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r01	lazy01.yml	0	449524	6520	29	18	893	745	1
after	pso	r01	pthread-demo-datarace-3.yml	0	35024806	273224	262	40	476799	346239	1
after	pso	r01	queue.yml	0	593174798	171240	205	2959	3399992	2311376	1
after	pso	r01	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r01	queue_ok.yml	0	9498532	631320	433	17	36723	32836	1
after	pso	r01	queue_ok_longer.yml	241523704	3204370532	76523016	8033	17	9838823	8395116	1
after	pso	r01	queue_ok_longest.yml	1075791992	12546524433	302799816	16033	17	38876823	33109516	1
after	pso	r01	race-1_1-join.yml	0	64486	3816	16	3	36	28	1
after	pso	r01	race-1_2-join.yml	0	342060	6312	28	13	491	379	1
after	pso	r01	race-1_3-join.yml	0	306147	6312	28	13	491	379	1
after	pso	r01	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
after	pso	r01	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	1
after	pso	r01	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	1
after	pso	r01	reorder_2.yml	0	383530133	34664	82	6346	2072872	2003170	1
after	pso	r01	singleton.yml	0	655590	10264	47	20	2444	2345	1
after	pso	r01	singleton_with-uninit-problems.yml	0	2042045	10472	48	65	8011	7652	1
after	pso	r01	stateful01-1.yml	0	330624	7976	36	10	773	640	1
after	pso	r01	stateful01-2.yml	0	3019362	7976	36	123	8605	6662	1
after	pso	r01	szymanski.yml	0	8223179	6936	31	378	21489	18284	1
after	pso	r01	time_var_mutex.yml	0	4646833	7352	33	22	2008	1821	1
after	pso	r01	triangular-1.yml	0	0	0	0	0	0	0	0
after	pso	r01	triangular-2.yml	0	12019178106	28840	68	246976	43977622	38208076	1
after	pso	r01	twostage_3.yml	0	6460874	42568	101	69	43965	42248	1
after	pso	r01	unwind2-1.yml	0	85372	4232	18	3	72	67	1
after	pso	r01	unwind2-100.yml	0	76830	4232	18	3	72	67	1
after	pso	r01	unwind3-1.yml	0	76067	4232	18	3	109	102	1
after	pso	r02	01b_inc.yml	0	140425	4856	21	5	282	236	1
after	pso	r02	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_01-priv_nr_true.yml	0	333329	5064	22	10	433	369	1
after	pso	r02	13-privatized_18-first-reads_true.yml	0	287590	3816	16	10	280	251	1
after	pso	r02	13-privatized_18-first-reads_unknown_1_neg.yml	0	41106	2152	8	1	15	12	1
after	pso	r02	13-privatized_18-first-reads_unknown_2_pos.yml	0	35849	2152	8	1	15	12	1
after	pso	r02	13-privatized_19-publish-precision_true.yml	0	767102	5272	23	33	1821	1575	1
after	pso	r02	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_19-publish-precision_unknown_1_pos.yml	0	51959	3192	13	1	26	22	1
after	pso	r02	13-privatized_19-publish-precision_unknown_2_neg.yml	0	38527	3192	13	1	26	22	1
after	pso	r02	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_20-publish-regression_true.yml	0	554543	5480	24	18	910	788	1
after	pso	r02	13-privatized_24-multiple-protecting_true.yml	0	20021309	12344	57	426	60071	48978	1
after	pso	r02	13-privatized_25-struct_nr_true.yml	0	334376	5064	22	10	433	369	1
after	pso	r02	13-privatized_27-multiple-protecting2_true.yml	0	67954008	13176	61	1546	167997	139912	1
after	pso	r02	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2746492	7976	36	88	4281	3726	1
after	pso	r02	13-privatized_30-traces-oplus-vs-meet_true.yml	0	910383	5896	26	30	1597	1404	1
after	pso	r02	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2354708	6728	30	84	3805	3294	1
after	pso	r02	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	1897311	7976	36	76	3824	3337	1
after	pso	r02	13-privatized_33-traces-v-matters_true.yml	0	266680	6104	27	10	319	281	1
after	pso	r02	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	318292	6312	28	12	456	400	1
after	pso	r02	13-privatized_35-traces-ex-2_true.yml	0	866491	5688	25	30	1064	916	1
after	pso	r02	13-privatized_36-traces-ex-3_true.yml	0	657518	5064	22	27	667	580	1
after	pso	r02	13-privatized_37-traces-ex-4_true.yml	0	581345	5688	25	28	990	853	1
after	pso	r02	13-privatized_38-traces-ex-4-switch_true.yml	0	680812	5688	25	30	1028	888	1
after	pso	r02	13-privatized_40-traces-ex-6_true.yml	0	184484	4856	21	8	183	161	1
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	52737	3192	13	1	27	23	1
after	pso	r02	13-privatized_42-traces-ex-mini_true.yml	0	473647	5896	26	20	642	549	1
after	pso	r02	13-privatized_44-traces-mine2_true.yml	0	93686	4856	21	3	72	64	1
after	pso	r02	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	838491	5688	25	29	970	797	1
after	pso	r02	13-privatized_46-refine-protected1_true.yml	0	119986	3400	14	4	88	62	1
after	pso	r02	13-privatized_47-refine-protected2_true.yml	0	272697	3608	15	10	169	147	1
after	pso	r02	13-privatized_57-singlethreaded-unlock_true.yml	0	40486	1736	6	1	7	5	1
after	pso	r02	13-privatized_58-singlethreaded-lock_true.yml	0	32086	1736	6	1	7	5	1
after	pso	r02	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	41078	2568	10	1	9	9	1
after	pso	r02	13-privatized_69-refine-protected-loop-interval_true.yml	0	43640	2568	10	1	9	9	1
after	pso	r02	14_spin2003.yml	0	45191	2984	12	1	14	12	1
after	pso	r02	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r02	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r02	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
after	pso	r02	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	1
after	pso	r02	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0
after	pso	r02	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0
after	pso	r02	28-race_reach_45-escape_racing.yml	0	31731	4440	19	1	50	43	1
after	pso	r02	28-race_reach_46-escape_racefree.yml	0	819116	6520	29	28	1112	975	1
after	pso	r02	29_conditionals_vs.yml	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_11-traces-max-simple_true.yml	0	276470	3816	16	10	183	161	1
after	pso	r02	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_21-traces-cluster-based_true.yml	0	2782602	7768	35	86	3813	3456	1
after	pso	r02	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r02	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r02	45_monabsex1_vs.yml	0	129138	3816	16	4	112	82	1
after	pso	r02	46_monabsex2_vs.yml	0	262585	4856	21	9	424	308	1
after	pso	r02	48_ticket_lock_low_contention_vs-pthread.yml	0	40215	2984	12	1	14	12	1
after	pso	r02	48_ticket_lock_low_contention_vs.yml	0	152641	5688	25	4	304	266	1
after	pso	r02	butterfly.yml	0	16896882769	13176	61	347445	46843741	46404922	1
after	pso	r02	circular_buffer_bad.yml	0	17326065	37576	89	238	74063	55994	1
after	pso	r02	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r02	dekker-unfair.yml	0	1098709	7768	35	37	3775	3554	1
after	pso	r02	dekker.yml	0	1049410	7768	35	35	3630	3418	1
after	pso	r02	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r02	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r02	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r02	fib_unsafe-5.yml	0	10607621344	202856	243	48263	44145162	36633636	1
after	pso	r02	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r02	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r02	lazy01.yml	0	437790	6520	29	18	893	745	1
after	pso	r02	pthread-demo-datarace-3.yml	0	35043269	273224	262	40	476799	346239	1
after	pso	r02	queue.yml	0	556964053	171240	205	2959	3399992	2311376	1
after	pso	r02	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r02	queue_ok.yml	0	9464785	631320	433	17	36723	32836	1
