variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.058140971	0.17480531800538301	26034176		137886	22	1616	1616	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.069030478	0.10346670600119978	25956352		149106	16	1184	1184	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.064264569	0.0934660229831934	26075136		23922	8	608	608	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.066828657	0.07872281689196825	25952256		33579	8	608	608	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.056957175	0.18532488797791302	25989120		419419	23	1688	1688	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.060632421	0.14814979303628206	26091520		0	0	0	0	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.061014938	0.16398235503584146	25960448		28067	13	968	968	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.058887265	0.08524901291821152	26042368		27820	13	968	968	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.059541654	0.0671024969778955	26030080		0	0	0	0	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.060188906	0.23044624994508922	26083328		219839	24	1760	1760	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.092041916	0.36820790101774037	26107904		67808758	57	4136	4136	1	optimization-analysis/continuous/per-plan-lazy-cycle-selector/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-08-15.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
