category	cputime	memory	repetition	status	task	variant	walltime
correct	0.077391842	25952256.0	01	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	baseline	0.07961667905328795
correct	0.072924566	25927680.0	01	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	baseline	0.07561202900251374
correct	0.068956915	25960448.0	01	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	baseline	0.07510262401774526
correct	0.063484238	25964544.0	01	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	baseline	0.06955143896630034
correct	0.071035512	25935872.0	01	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	baseline	0.07742514600977302
correct	0.073255184	25927680.0	01	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	baseline	0.07649920997209847
correct	0.072354003	25952256.0	01	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	baseline	0.07626379700377584
correct	0.07228413	25956352.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	baseline	0.07671189098618925
correct	0.068040592	25956352.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	baseline	0.07486637501278892
correct	0.070340672	26042368.0	01	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	baseline	0.07791462197201326
correct	0.06712352	25939968.0	01	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	baseline	0.0738258589990437
correct	0.071086551	25919488.0	01	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	baseline	0.0825021700002253
correct	0.072016047	25956352.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	baseline	0.07561751001048833
correct	0.070531531	25993216.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	baseline	0.07214661204488948
correct	0.071430592	25972736.0	01	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	baseline	0.07655540300766006
correct	0.068377172	26075136.0	01	true	goblint-regression/13-privatized_18-first-reads_true.yml	baseline	0.07528525002999231
correct	0.06948487	25944064.0	01	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	baseline	0.07630191300995648
correct	0.070172996	25931776.0	01	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	baseline	0.08074467204278335
correct	0.071202744	25997312.0	01	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	baseline	0.08182821003720164
correct	0.072556748	25993216.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	baseline	0.08410759002435952
correct	0.068200663	26058752.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	baseline	0.07855124899651855
correct	0.069823135	26083328.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	baseline	0.07789082697127014
correct	0.07040001	26030080.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	baseline	0.07611150800948963
correct	0.071046263	26054656.0	01	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	baseline	0.08032874896889552
correct	0.07198921	25972736.0	01	true	goblint-regression/13-privatized_01-priv_nr_true.yml	baseline	0.08354268100811169
correct	0.070000249	26013696.0	01	true	goblint-regression/13-privatized_19-publish-precision_true.yml	baseline	0.08180441497825086
correct	0.070666991	25997312.0	01	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	baseline	0.07673192903166637
correct	0.067874014	26038272.0	01	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	baseline	0.07925211498513818
correct	0.073316289	25993216.0	01	true	goblint-regression/13-privatized_25-struct_nr_true.yml	baseline	0.07848721102345735
