category	cputime	memory	repetition	status	task	variant	walltime
correct	0.071270861	25956352.0	01	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	baseline	0.07304077997105196
correct	0.063701626	25931776.0	01	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	baseline	0.07085816300241277
correct	0.065904426	25899008.0	01	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	baseline	0.08145108498865739
correct	0.063685321	25939968.0	01	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	baseline	0.07699103699997067
correct	0.063174527	26042368.0	01	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	baseline	0.06951994897099212
correct	0.063918777	25993216.0	01	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	baseline	0.07090259704273194
correct	0.064951182	26034176.0	01	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	baseline	0.0706363869830966
correct	0.054924093	26038272.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	baseline	0.06950187199981883
correct	0.066865213	26034176.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	baseline	0.08073088602395728
correct	0.066360883	25952256.0	01	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	baseline	0.06925298401620239
correct	0.066409913	26025984.0	01	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	baseline	0.07564411999192089
correct	0.058208166	26030080.0	01	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	baseline	0.06441949104191735
correct	0.069201416	25976832.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	baseline	0.07282699004281312
correct	0.063316055	25989120.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	baseline	0.06842158001381904
correct	0.066294281	25989120.0	01	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	baseline	0.0726631490397267
correct	0.066315993	26062848.0	01	true	goblint-regression/13-privatized_18-first-reads_true.yml	baseline	0.07632037403527647
correct	0.067462919	26034176.0	01	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	baseline	0.07484969700453803
correct	0.073220611	26009600.0	01	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	baseline	0.08024490595562384
correct	0.067934647	26021888.0	01	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	baseline	0.07595847698394209
correct	0.067864674	26042368.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	baseline	0.07914738397812471
correct	0.066954152	26030080.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	baseline	0.07595249701989815
correct	0.065787328	26038272.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	baseline	0.07929516502190381
correct	0.066736476	25985024.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	baseline	0.07644285896094516
correct	0.070373144	26071040.0	01	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	baseline	0.08187064900994301
correct	0.069923378	26083328.0	01	true	goblint-regression/13-privatized_01-priv_nr_true.yml	baseline	0.07592968200333416
correct	0.067024138	26075136.0	01	true	goblint-regression/13-privatized_19-publish-precision_true.yml	baseline	0.0816639739787206
correct	0.071802936	26071040.0	01	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	baseline	0.07766360603272915
correct	0.061267306	26071040.0	01	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	baseline	0.07184103404870257
correct	0.071406021	26062848.0	01	true	goblint-regression/13-privatized_25-struct_nr_true.yml	baseline	0.07689737004693598
correct	0.06989568	26103808.0	01	true	goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	baseline	0.07915838499320671
correct	0.066063	26034176.0	01	false(unreach-call)	goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	baseline	0.07505727198440582
correct	0.076123778	26025984.0	01	true	goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	baseline	0.08200113702332601
correct	0.071793091	25980928.0	01	true	goblint-regression/13-privatized_20-publish-regression_true.yml	baseline	0.08298368100076914
correct	0.06018304	26034176.0	01	true	goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	baseline	0.06725405901670456
