log	preventive-syncs	preventive-retentions	preventive-adaptive-retentions	preventive-used-checkpoints	preventive-adaptive-used	preventive-rollback-hits	preventive-unused-discards	preventive-live-checkpoints	preventive-unused-live	max-history-base-bytes	max-preventive-history-base-bytes	retained-undo-bytes	peak-undo-bytes	retained-snapshot-equivalent-bytes	peak-snapshot-equivalent-bytes	offline-evals	sync-ns	history-ns	checkpoint-ns	rollback-ns
caat-pso.preventive-pruning.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.13-privatized_57-singlethreaded-unlock_true.yml.log	1	1	0	0	0	0	0	1	1	464	464	0	0	3288	3288	1	64788	0	1051	0
caat-pso.preventive-pruning.13-privatized_47-refine-protected2_true.yml.log	6	6	5	0	0	0	5	1	1	1112	1112	0	0	7464	7464	8	354709	0	2604	0
caat-pso.preventive-pruning.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.13-privatized_46-refine-protected1_true.yml.log	3	3	2	0	0	0	2	1	1	1040	1040	0	0	7000	7000	3	158069	0	1724	0
caat-pso.preventive-pruning.36-apron_11-traces-max-simple_true.yml.log	6	6	5	0	0	0	5	1	1	1184	1184	0	0	7928	7928	8	380358	0	2501	0
caat-pso.preventive-pruning.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	7	7	6	0	0	0	6	1	1	1472	1472	0	0	9784	9784	8	430186	0	2874	0
caat-pso.preventive-pruning.13-privatized_40-traces-ex-6_true.yml.log	8	8	7	0	0	0	7	1	1	1544	1544	0	0	10248	10248	10	533952	0	3280	0
caat-pso.preventive-pruning.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	1	1	0	0	0	0	0	1	1	680	680	0	0	4680	4680	1	56717	0	790	0
caat-pso.preventive-pruning.13-privatized_44-traces-mine2_true.yml.log	5	5	4	0	0	0	4	1	1	1616	1616	0	0	10712	10712	6	354905	0	2356	0
caat-pso.preventive-pruning.13-privatized_58-singlethreaded-lock_true.yml.log	2	2	1	0	0	0	1	1	1	608	608	0	0	4216	4216	2	97683	0	1136	0
caat-pso.preventive-pruning.13-privatized_36-traces-ex-3_true.yml.log	17	17	16	0	0	0	16	1	1	1616	1616	0	0	10712	10712	21	1107411	0	5297	0
caat-pso.preventive-pruning.13-privatized_18-first-reads_unknown_2_pos.yml.log	2	2	1	0	0	0	2	0	0	608	608	0	0	4216	4216	3	89921	0	909	0
caat-pso.preventive-pruning.13-privatized_18-first-reads_unknown_1_neg.yml.log	2	2	1	0	0	0	2	0	0	608	608	0	0	4216	4216	3	138652	0	1433	0
caat-pso.preventive-pruning.13-privatized_18-first-reads_true.yml.log	6	6	5	0	0	0	5	1	1	1184	1184	0	0	7928	7928	8	396701	0	2760	0
caat-pso.preventive-pruning.13-privatized_35-traces-ex-2_true.yml.log	20	20	19	0	0	0	19	1	1	1832	1832	0	0	12104	12104	24	1308557	0	4960	0
