category	cputime	memory	repetition	status	task	variant	walltime
correct	0.071208671	26025984.0	01	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	baseline	0.07392141403397545
correct	0.067326166	25952256.0	01	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	baseline	0.06945728999562562
correct	0.06774569	25886720.0	01	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	baseline	0.07292721897829324
correct	0.075340718	26005504.0	01	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	baseline	0.07828659698134288
correct	0.064554641	25964544.0	01	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	baseline	0.06865886697778478
correct	0.071899229	25993216.0	01	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	baseline	0.07629944500513375
correct	0.072102298	25989120.0	01	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	baseline	0.07910809700842947
correct	0.070308108	25956352.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	baseline	0.07679939299123362
correct	0.068552076	26017792.0	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	baseline	0.07155252498341724
correct	0.068847195	26034176.0	01	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	baseline	0.0750200100010261
correct	0.066848512	26030080.0	01	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	baseline	0.0730799559969455
correct	0.066445289	26017792.0	01	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	baseline	0.07416382903466001
correct	0.067463469	25964544.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	baseline	0.07294861599802971
correct	0.066603765	25960448.0	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	baseline	0.07435831404291093
correct	0.07442623	26009600.0	01	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	baseline	0.08025153900962323
correct	0.068870045	26013696.0	01	true	goblint-regression/13-privatized_18-first-reads_true.yml	baseline	0.07375437504379079
correct	0.0695255	25935872.0	01	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	baseline	0.07519045495428145
correct	0.069743981	26083328.0	01	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	baseline	0.07833663304336369
correct	0.070989392	26005504.0	01	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	baseline	0.08085097000002861
correct	0.06938848	26025984.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	baseline	0.07665023999288678
correct	0.067063848	25985024.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	baseline	0.07367748202523217
correct	0.066236384	26005504.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	baseline	0.07532788201933727
correct	0.067615568	26091520.0	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	baseline	0.07636566896690056
correct	0.070721943	26046464.0	01	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	baseline	0.0781631320132874
correct	0.071745454	26095616.0	01	true	goblint-regression/13-privatized_01-priv_nr_true.yml	baseline	0.07712962001096457
correct	0.073544897	26038272.0	01	true	goblint-regression/13-privatized_19-publish-precision_true.yml	baseline	0.08105497702490538
correct	0.071252459	25952256.0	01	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	baseline	0.08264519000658765
correct	0.069526432	25952256.0	01	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	baseline	0.07822100905468687
correct	0.066306462	26050560.0	01	true	goblint-regression/13-privatized_25-struct_nr_true.yml	baseline	0.07703676604432985
correct	0.074361062	26099712.0	01	true	goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	baseline	0.08507999801076949
correct	0.073854122	26001408.0	01	false(unreach-call)	goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	baseline	0.08215346303768456
correct	0.07911291	26099712.0	01	true	goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	baseline	0.08450832997914404
correct	0.073105036	26042368.0	01	true	goblint-regression/13-privatized_20-publish-regression_true.yml	baseline	0.08336122799664736
correct	0.074780422	26103808.0	01	true	goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	baseline	0.0845425000297837
correct	0.080168227	26062848.0	01	true	goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	baseline	0.09211604297161102
correct	0.080330822	26025984.0	01	true	goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	baseline	0.0871683059958741
correct	0.083165405	26079232.0	01	true	goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	baseline	0.0908048470155336
correct	0.082822578	26038272.0	01	true	goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	baseline	0.09134749398799613
correct	0.096152439	26132480.0	01	true	goblint-regression/13-privatized_24-multiple-protecting_true.yml	baseline	0.11169238603906706
correct	0.085945663	26169344.0	01	true	goblint-regression/36-apron_21-traces-cluster-based_true.yml	baseline	0.09593215701170266
correct	0.08487038	26136576.0	01	true	goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	baseline	0.09147182299057022
correct	0.143279433	26107904.0	01	true	goblint-regression/13-privatized_27-multiple-protecting2_true.yml	baseline	0.15275458700489253
correct	0.07279968	25997312.0	01	true	pthread-ext/14_spin2003.yml	baseline	0.0862777809961699
correct	0.078562254	26009600.0	01	true	pthread-ext/29_conditionals_vs.yml	baseline	0.08702005498344079
correct	0.076843296	26058752.0	01	true	pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	baseline	0.08825483702821657
correct	0.075540291	26058752.0	01	true	pthread-ext/46_monabsex2_vs.yml	baseline	0.0881143839797005
correct	0.07467349	26001408.0	01	true	pthread-ext/45_monabsex1_vs.yml	baseline	0.08740824699634686
correct	0.079498921	26071040.0	01	false(unreach-call)	pthread/stateful01-1.yml	baseline	0.09428913902956992
correct	0.077565936	26050560.0	01	true	pthread/stateful01-2.yml	baseline	0.09098478901432827
correct	0.080168331	26091520.0	01	true	pthread-atomic/time_var_mutex.yml	baseline	0.08936276502208784
correct	0.077295971	26046464.0	01	true	pthread-ext/01b_inc.yml	baseline	0.08918617601739243
correct	23.277197234	26030080.0	01	true	pthread/triangular-1.yml	baseline	23.30142644996522
correct	5.350711773	26136576.0	01	false(unreach-call)	pthread/triangular-2.yml	baseline	5.3590273160371
correct	0.077384397	25997312.0	01	true	pthread-ext/02_inc_cas.yml	baseline	0.08883593702921644
correct	2.999144296	56328192.0	01	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	baseline	3.017501459980849
correct	0.076964744	26001408.0	01	true	pthread-ext/48_ticket_lock_low_contention_vs.yml	baseline	0.08542853296967223
error	27.302866708	3999997952.0	01	OUT OF MEMORY	goblint-regression/28-race_reach_37-indirect_racing.yml	baseline	27.328787481994368
correct	0.082814407	26013696.0	01	false(unreach-call)	goblint-regression/28-race_reach_45-escape_racing.yml	baseline	0.09008565597468987
correct	0.081441008	26062848.0	01	true	goblint-regression/28-race_reach_46-escape_racefree.yml	baseline	0.09256878303131089
