variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r01	01b_inc.yml	0	226182	4184	21	10	76	0	5	1420	1600	0	0	1	26071040
after	pso	r01	02_inc_cas.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26071040
after	pso	r01	13-privatized_01-priv_nr_true.yml	0	425416	4360	22	20	410	0	10	2872	3294	0	2	1	26030080
after	pso	r01	13-privatized_18-first-reads_true.yml	0	387763	3304	16	20	87	0	10	2344	2522	0	2	1	25980928
after	pso	r01	13-privatized_18-first-reads_unknown_1_neg.yml	0	55709	1896	8	2	12	0	1	254	289	0	0	1	25985024
after	pso	r01	13-privatized_18-first-reads_unknown_2_pos.yml	0	46946	1896	8	2	12	0	1	254	289	0	0	1	26079232
after	pso	r01	13-privatized_19-publish-precision_true.yml	0	1173343	4536	23	66	521	0	33	10374	11627	0	3	1	26013696
after	pso	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26083328
after	pso	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	0	72549	2776	13	2	17	0	1	419	487	0	0	1	25976832
after	pso	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	0	69935	2776	13	2	17	0	1	419	487	0	0	1	26091520
after	pso	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26046464
after	pso	r01	13-privatized_20-publish-regression_true.yml	0	674652	4712	24	36	387	0	18	5102	5553	0	2	1	26046464
after	pso	r01	13-privatized_24-multiple-protecting_true.yml	0	21994675	10520	57	852	12744	0	426	243823	286134	0	7	1	26046464
after	pso	r01	13-privatized_25-struct_nr_true.yml	0	361307	4360	22	20	410	0	10	2872	3294	0	2	1	26062848
after	pso	r01	13-privatized_27-multiple-protecting2_true.yml	0	70595564	11224	61	3092	47319	0	1546	711605	802416	0	26	1	26095616
after	pso	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	0	3352247	6824	36	176	1937	0	88	30963	34569	0	4	1	26071040
after	pso	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	0	1129857	5064	26	60	540	0	30	9388	10326	0	2	1	26034176
after	pso	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2914903	5768	30	168	1514	0	84	27125	29574	0	4	1	26030080
after	pso	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2297374	6824	36	152	1965	0	76	27523	31244	0	3	1	26083328
after	pso	r01	13-privatized_33-traces-v-matters_true.yml	0	475042	5240	27	20	121	0	10	3734	4412	0	1	1	26009600
after	pso	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	499288	5416	28	24	151	0	12	3736	4188	0	1	1	26058752
after	pso	r01	13-privatized_35-traces-ex-2_true.yml	0	1061905	4888	25	60	403	0	30	8892	9725	0	2	1	25980928
after	pso	r01	13-privatized_36-traces-ex-3_true.yml	0	921182	4360	22	54	343	0	27	7679	8541	0	3	1	25985024
after	pso	r01	13-privatized_37-traces-ex-4_true.yml	0	688916	4888	25	56	316	0	28	7707	8344	0	2	1	26071040
after	pso	r01	13-privatized_38-traces-ex-4-switch_true.yml	0	1056725	4888	25	60	411	0	30	8757	9561	0	2	1	25956352
after	pso	r01	13-privatized_40-traces-ex-6_true.yml	0	251239	4184	21	16	60	0	8	2201	2423	0	1	1	26046464
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26034176
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	74160	2776	13	2	17	0	1	413	506	0	0	1	25993216
after	pso	r01	13-privatized_42-traces-ex-mini_true.yml	0	560218	5064	26	40	323	0	20	5948	6766	0	2	1	25956352
after	pso	r01	13-privatized_44-traces-mine2_true.yml	0	189652	4184	21	6	28	0	3	824	957	0	1	1	26046464
after	pso	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	1032336	4888	25	58	380	0	29	8447	9495	0	2	1	26062848
after	pso	r01	13-privatized_46-refine-protected1_true.yml	0	123762	2952	14	8	21	0	4	866	878	0	1	1	25976832
after	pso	r01	13-privatized_47-refine-protected2_true.yml	0	349485	3128	15	20	67	0	10	2173	2349	0	2	1	25989120
after	pso	r01	13-privatized_57-singlethreaded-unlock_true.yml	0	47044	1544	6	2	3	0	1	52	52	0	1	1	26001408
after	pso	r01	13-privatized_58-singlethreaded-lock_true.yml	0	49658	1544	6	2	3	0	1	52	52	0	1	1	25927680
after	pso	r01	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	25907200
