variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.068945335	0.08078995591495186	26030080	2026-07-16T14:48:55.898133+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.073390741	0.08847290999256074	25980928	2026-07-16T14:48:55.567921+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.071632586	0.0874941929941997	25985024	2026-07-16T14:48:55.532669+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.061509113	0.07629226800054312	26079232	2026-07-16T14:48:55.555102+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.069175351	0.07880331506021321	26013696	2026-07-16T14:48:55.911210+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.070856685	0.09066878003068268	26083328	2026-07-16T14:48:55.785071+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.073363124	0.07700722198933363	25976832	2026-07-16T14:48:55.755250+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.070099681	0.07339753408450633	26091520	2026-07-16T14:48:55.798614+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.059331353	0.06436090101487935	26046464	2026-07-16T14:48:55.774696+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.070532009	0.08100466907490045	26046464	2026-07-16T14:48:56.124105+00:00		optimization-analysis/continuous/product-eog-cycle/server-results/formal-v3/after/pso/r01/perf-caat-pso.2026-07-16_14-48-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
