repetition	model	task	before_status	after_status	before_category	after_category	before_cpu_s	after_cpu_s	cpu_ratio	before_wall_s	after_wall_s	wall_ratio	before_rss_b	after_rss_b	rss_ratio	before_lazy-cycle-checks	after_lazy-cycle-checks	before_lazy-edge-candidates	after_lazy-edge-candidates	before_lazy-depth-fallbacks	after_lazy-depth-fallbacks	before_lazy-product-checks	after_lazy-product-checks	before_lazy-product-state-visits	after_lazy-product-state-visits	before_lazy-product-transitions	after_lazy-product-transitions	before_sync-ns	after_sync-ns	before_offline-ns	after_offline-ns	before_materialize-ns	after_materialize-ns	before_copy-ns	after_copy-ns	before_peak-snapshot-equivalent-bytes	after_peak-snapshot-equivalent-bytes	before_max-stable-events	after_max-stable-events
r01	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.9311644	60.9734729	1.000694365525698	61.011651834938675	61.01053916406818	0.9999817629774472	26091520.0	26017792.0	0.9971742543171115																								
r01	pso	queue_ok_longer.yml	true	true	correct	correct	4.151530088	4.28272902	1.0316025487516591	4.161896449048072	4.305341772036627	1.0344663363792639	120975360.0	123158528.0	1.018046385644151	34	34	49930431	40201549	0	3		17		752899		56741387	4025594750	4163376215	3082881205	3335867017	775379939	713608724	134819222	87087379	44133960	44133960	8033	8033
r01	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.37765695	23.156571271	0.9905428640914333	23.42438777303323	23.188019466004334	0.9899093069445764	25821184.0	25829376.0	1.0003172588832487	0	0	0	0	0	0		0		0		0	13672373476	13596760465	7000314784	6998103303	5542319449	5474500320	0	0	319136	319136	319	319
r01	sc	queue_ok_longer.yml	true	true	correct	correct	0.394335948	0.485863348	1.2321051389410735	0.40361369494348764	0.48998684098478407	1.2139995424421612	79474688.0	79364096.0	0.9986084626088749	0	0	0	0	0	0		0		0		0	296411633	365242760	146997843	181180343	87990821	105689617	21444660	25581342	23936072	23936072	4029	4029
r01	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.098440372	42.894731245	0.9107463199673359	47.16176865901798	42.92110760696232	0.9100826543907661	26091520.0	25976832.0	0.9956043956043956	35572	35572	455400086	101540205	0	0		17786		215828825		1776716915	37205253213	33018665493	29923660145	25677596393	5959033594	5996565878	0	0	281448	281448	319	319
r01	tso	queue_ok_longer.yml	true	true	correct	correct	1.070836835	1.311027038	1.2243014016229654	1.0801602689316496	1.3155078060226515	1.2178820531177066	55451648.0	75755520.0	1.3661545279952725	4	4	15503664	4167267	0	2		2		306189		47560567	974465646	1195324790	864310334	1096683769	92456612	89368167	10941530	4340894	13851760	13851760	4029	4029
r02	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.976068479	60.926544764	0.9991878171840964	61.006162322009914	61.00965844106395	1.0000573076378019	26087424.0	26132480.0	1.001727115716753																								
r02	pso	queue_ok_longer.yml	true	true	correct	correct	4.096824914	4.216831929	1.0292926882449631	4.105214028037153	4.2256436250172555	1.0293357657256383	120975360.0	123129856.0	1.0178093787032334	34	34	49930431	40201549	0	3		17		752899		56741387	3965659756	4100733054	3030422581	3259932849	770512407	712927783	132210870	103878170	44133960	44133960	8033	8033
r02	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.203004037	23.160503747	0.9981683281211249	23.22670801798813	23.19678981602192	0.9987119051936658	25800704.0	25849856.0	1.00190506429592	0	0	0	0	0	0		0		0		0	13573487933	13611651469	6961292015	6980929513	5498731841	5510667337	0	0	319136	319136	319	319
r02	sc	queue_ok_longer.yml	true	true	correct	correct	0.472677708	0.400179053	0.8466213790644852	0.47796598298009485	0.4078470478998497	0.8532972270472954	79335424.0	79355904.0	1.0002581444576384	0	0	0	0	0	0		0		0		0	352374195	299888446	170539358	147898170	105509641	87362851	25769907	21091140	23936072	23936072	4029	4029
r02	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	46.763011131	42.860904414	0.9165557002719777	46.79287701495923	42.919038314023055	0.9172130685681552	25993216.0	26087424.0	1.0036243302867949	35572	35572	455400086	101540205	0	0		17786		215828825		1776716915	37002511321	32999522914	29783463021	25647978946	5913318347	6005826475	0	0	281448	281448	319	319
r02	tso	queue_ok_longer.yml	true	true	correct	correct	1.136949707	1.33719974	1.176129191790187	1.1618114809971303	1.3538611810654402	1.1653019471829305	55484416.0	75743232.0	1.3651262365273882	4	4	15503664	4167267	0	2		2		306189		47560567	1041617211	1230370023	923621048	1130375964	99837820	90395681	11234306	4669249	13851760	13851760	4029	4029
