repetition	model	task	before_status	after_status	before_category	after_category	before_cpu_s	after_cpu_s	cpu_ratio	before_wall_s	after_wall_s	wall_ratio	before_rss_b	after_rss_b	rss_ratio	before_lazy-cycle-checks	after_lazy-cycle-checks	before_lazy-edge-candidates	after_lazy-edge-candidates	before_lazy-depth-fallbacks	after_lazy-depth-fallbacks	before_lazy-product-checks	after_lazy-product-checks	before_lazy-product-state-visits	after_lazy-product-state-visits	before_lazy-product-transitions	after_lazy-product-transitions	before_sync-ns	after_sync-ns	before_offline-ns	after_offline-ns	before_materialize-ns	after_materialize-ns	before_copy-ns	after_copy-ns	before_peak-snapshot-equivalent-bytes	after_peak-snapshot-equivalent-bytes	before_max-stable-events	after_max-stable-events
r01	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.929929461	60.971336099	1.000679577973687	61.00928613205906	61.00881996611133	0.9999923590984704	26087424.0	25989120.0	0.9962317475270843																								
r01	pso	queue_ok_longer.yml	true	true	correct	correct	4.143652091	4.834150977	1.166640169308558	4.158554350025952	4.847957812948152	1.1657795966807307	125497344.0	125231104.0	0.9978785208394529	34	34	49930431	40201549	0	0		17		668578		56599348	4017238803	4696711982	3045760683	3688452967	791337137	821150469	149249157	154246677	44133960	44133960	8033	8033
r01	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.341520109	23.233942517	0.9953911488413077	23.376024315017276	23.261873512994498	0.9951167572173749	25825280.0	25960448.0	1.0052339413164155	0	0	0	0	0	0		0		0		0	13641062359	13649926414	6988453580	7058518898	5525627420	5471805828	0	0	319136	319136	319	319
r01	sc	queue_ok_longer.yml	true	true	correct	correct	0.484078225	0.467231171	0.9651976620101018	0.4894021420041099	0.4734184850240126	0.9673404433526916	79343616.0	79376384.0	1.0004129884879458	0	0	0	0	0	0		0		0		0	366396075	347379874	182137417	170736880	105957424	105132587	25835297	25786121	23936072	23936072	4029	4029
r01	tso	fib_unsafe-7.yml	false(unreach-call)	TIMEOUT (false(unreach-call))	correct	error	46.982241874	60.031666976	1.2777522864276418	47.045658761053346	60.07026740908623	1.2768503830329032	25960448.0	26087424.0	1.0048911328494794	35572	35572	455400086	101540205	0	0		17786		215828825		1776716915	37002935407	49938928049	29733418786	42625126805	5940581469	5971923292	0	0	281448	281448	319	319
r01	tso	queue_ok_longer.yml	true	true	correct	correct	1.120665881	1.490242504	1.329783059577237	1.1507374299690127	1.494443956995383	1.2986837119182137	55578624.0	54824960.0	0.9864396786793426	4	4	15503664	4167267	0	0		2		301177		47555555	1029730904	1390923140	912766753	1284041406	99123443	89491959	11045583	11120893	13851760	13851760	4029	4029
r02	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.969830128	60.930143512	0.9993490777993529	61.00938320707064	61.00744828802999	0.9999682848942418	26087424.0	26009600.0	0.9970168001256084																								
r02	pso	queue_ok_longer.yml	true	true	correct	correct	4.092422762	4.631106924	1.1316296466244706	4.114946868037805	4.635340535081923	1.1264642494138122	120938496.0	120610816.0	0.9972905236063131	34	34	49930431	40201549	0	0		17		668578		56599348	3979229214	4497549995	3046050388	3570574397	770484392	764574822	131831313	132728951	44133960	44133960	8033	8033
r02	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.144470826	23.404525739	1.0112361572210957	23.162703795009293	23.44278702198062	1.0120919919129507	25862144.0	25829376.0	0.9987329743427305	0	0	0	0	0	0		0		0		0	13539200163	13700359728	6951709014	7075081524	5470102634	5493878168	0	0	319136	319136	319	319
r02	sc	queue_ok_longer.yml	true	true	correct	correct	0.455973737	0.454097518	0.9958852476628495	0.4577131059486419	0.4604915650561452	1.0060703070796821	79368192.0	79413248.0	1.0005676833359136	0	0	0	0	0	0		0		0		0	336580574	335585591	169141048	170726640	104159355	103920311	20598922	21361389	23936072	23936072	4029	4029
r02	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	46.836872616	59.958225238	1.2801500588986292	46.86722258804366	60.04206228791736	1.281109888155283	26095616.0	26095616.0	1.0	35572	35572	455400086	101540205	0	0		17786		215828825		1776716915	36957273642	49949991569	29709393367	42566340567	5930071234	6027512397	0	0	281448	281448	319	319
r02	tso	queue_ok_longer.yml	true	true	correct	correct	1.135506498	1.513757789	1.3331123966848493	1.1373196489876136	1.5164915319764987	1.3333907783325518	55582720.0	54804480.0	0.9859985261606485	4	4	15503664	4167267	0	0		2		301177		47555555	1016128932	1395555117	899664585	1279847046	98848128	98334158	10938313	10983525	13851760	13851760	4029	4029
