stage	backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
pso-before	cat	sc	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52592640	3	0
pso-before	caat	sc	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52707328	3	0
pso-before	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52592640	4	0
pso-before	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52609024	4	0
pso-before	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53805056	2	6
pso-before	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53968896	2	6
pso-before	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53608448	8	6
pso-before	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.08	0.04	0.02	53821440	8	6
pso-before	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.20	0.15	0.02	54575104	24	16
pso-before	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.11	0.08	0.01	54411264	24	16
pso-before	cat	tso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52609024	4	0
pso-before	caat	tso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52576256	4	0
pso-before	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52559872	4	0
pso-before	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52674560	4	0
pso-before	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.13	0.05	0.02	53723136	2	6
pso-before	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.09	0.04	0.01	53755904	2	6
pso-before	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.07	0.04	0.02	53592064	8	6
pso-before	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.02	53493760	8	6
pso-before	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.12	0.06	0.02	54591488	0	0
pso-before	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.12	0.06	0.02	54476800	0	0
pso-before	cat	pso	correct/litmus/SB/variants/sb0.c	1	0	0.07	0.03	0.01	52527104	4	0
pso-before	caat	pso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52592640	4	0
pso-before	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.07	0.03	0.01	52609024	4	0
pso-before	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.06	0.03	0.01	52723712	4	0
pso-before	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53936128	2	6
pso-before	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.07	0.04	0.01	53739520	2	6
pso-before	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.07	0.04	0.01	53493760	11	7
pso-before	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.08	0.06	0.01	53575680	11	7
pso-before	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.08	0.06	0.01	54607872	0	0
pso-before	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.12	0.08	0.01	54460416	0	0
pso-before	caat	sc	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52592640	3	0
pso-before	cat	sc	correct/litmus/SB/variants/sb0.c	2	0	0.06	0.03	0.01	52756480	3	0
pso-before	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52527104	4	0
pso-before	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.06	0.03	0.01	52559872	4	0
pso-before	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.06	0.04	0.01	53903360	2	6
pso-before	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.07	0.04	0.02	53870592	2	6
pso-before	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.06	0.03	0.01	53592064	8	6
pso-before	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.06	0.04	0.01	53542912	8	6
pso-before	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	2	0	0.13	0.09	0.02	54460416	24	16
pso-before	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	2	0	0.18	0.15	0.02	54476800	24	16
pso-before	caat	tso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52576256	4	0
pso-before	cat	tso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52543488	4	0
pso-before	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.08	0.04	0.02	52723712	4	0
pso-before	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.06	0.03	0.01	52658176	4	0
pso-before	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.12	0.04	0.02	53870592	2	6
pso-before	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.10	0.04	0.02	53755904	2	6
pso-before	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.08	0.04	0.02	53559296	8	6
pso-before	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.06	0.04	0.01	53493760	8	6
pso-before	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.08	0.06	0.01	54493184	0	0
pso-before	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.09	0.06	0.02	54493184	0	0
pso-before	caat	pso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52609024	4	0
pso-before	cat	pso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52510720	4	0
pso-before	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.15	0.03	0.02	52674560	4	0
pso-before	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.10	0.03	0.01	52641792	4	0
pso-before	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.08	0.05	0.01	53723136	2	6
pso-before	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.07	0.04	0.01	53772288	2	6
pso-before	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.08	0.06	0.01	53592064	11	7
pso-before	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.07	0.04	0.01	53559296	11	7
pso-before	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.12	0.09	0.02	54542336	0	0
pso-before	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.13	0.06	0.02	54444032	0	0
pso-before	cat	sc	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52576256	3	0
pso-before	caat	sc	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52543488	3	0
pso-before	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52723712	4	0
pso-before	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52658176	4	0
pso-before	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.07	0.04	0.02	53870592	2	6
pso-before	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53739520	2	6
pso-before	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53493760	8	6
pso-before	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53608448	8	6
pso-before	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.17	0.14	0.01	54411264	24	16
pso-before	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.11	0.08	0.01	54525952	24	16
