capacity-drops	duplicates	empty-skipped	explained	explanation-failures	explanation-ns	hits	learned	log	lookup-ns	model	negative-skipped	queries	rejected	repetition	stored-literals
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_66-mine-W-init_true.yml.log	0	pso	0	0	0	01	0
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	pso	0	0	0	01	0
0	0	0	0	0	0	0	0	caat-pso.cache.36-apron_16-traces-unprot2_true.yml.log	0	pso	0	0	0	01	0
0	0	0	4	0	1065688	2	4	caat-pso.cache.13-privatized_46-refine-protected1_true.yml.log	1050	pso	0	4	2	01	16
0	0	0	4	0	1320620	6	4	caat-pso.cache.36-apron_11-traces-max-simple_true.yml.log	2491	pso	0	11	2	01	16
0	0	0	2	0	143378	0	2	caat-pso.cache.13-privatized_57-singlethreaded-unlock_true.yml.log	98	pso	0	1	1	01	8
0	0	0	4	0	846505	6	4	caat-pso.cache.13-privatized_47-refine-protected2_true.yml.log	1859	pso	0	11	2	01	16
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	110	pso	0	1	0	01	0
0	0	0	6	0	2894590	3	6	caat-pso.cache.13-privatized_40-traces-ex-6_true.yml.log	2546	pso	0	9	3	01	24
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	pso	0	0	0	01	0
0	0	0	2	0	152666	0	2	caat-pso.cache.13-privatized_58-singlethreaded-lock_true.yml.log	92	pso	0	1	1	01	8
0	0	0	4	0	1999620	0	4	caat-pso.cache.13-privatized_44-traces-mine2_true.yml.log	639	pso	0	3	2	01	16
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_18-first-reads_unknown_2_pos.yml.log	100	pso	0	1	0	01	0
0	0	0	8	0	4096511	19	8	caat-pso.cache.13-privatized_36-traces-ex-3_true.yml.log	6892	pso	0	29	4	01	32
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_18-first-reads_unknown_1_neg.yml.log	95	pso	0	1	0	01	0
0	0	0	4	0	1365076	6	4	caat-pso.cache.13-privatized_18-first-reads_true.yml.log	2760	pso	0	11	2	01	16
0	0	0	10	0	6885943	21	10	caat-pso.cache.13-privatized_35-traces-ex-2_true.yml.log	7857	pso	0	31	5	01	40
0	0	0	10	0	6883226	21	10	caat-pso.cache.13-privatized_37-traces-ex-4_true.yml.log	8867	pso	0	29	5	01	40
0	0	0	10	0	6892738	21	10	caat-pso.cache.13-privatized_38-traces-ex-4-switch_true.yml.log	8358	pso	0	31	5	01	40
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	pso	0	0	0	01	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_1_pos.yml.log	70	pso	0	1	0	01	0
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_2_neg.yml.log	106	pso	0	1	0	01	0
0	0	0	8	0	4983405	25	8	caat-pso.cache.13-privatized_19-publish-precision_true.yml.log	8372	pso	0	35	4	01	32
0	0	0	0	0	0	0	0	caat-pso.cache.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	pso	0	0	0	01	0
0	0	0	4	0	2674874	6	4	caat-pso.cache.13-privatized_01-priv_nr_true.yml.log	3069	pso	0	11	2	01	16
0	0	0	10	0	6646804	21	10	caat-pso.cache.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	7962	pso	0	30	5	01	40
0	0	0	10	0	5464689	13	10	caat-pso.cache.13-privatized_42-traces-ex-mini_true.yml.log	4581	pso	0	21	5	01	40
0	0	0	8	0	5791150	3	8	caat-pso.cache.13-privatized_33-traces-v-matters_true.yml.log	3137	pso	0	11	4	01	32
0	0	0	4	0	2653684	6	4	caat-pso.cache.13-privatized_25-struct_nr_true.yml.log	2709	pso	0	11	2	01	16
