category	cputime	executions	expected	memory	model	repetition	status	task	variant	walltime
correct	0.071880742		true	25747456.0	sc	01	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	baseline	0.07648182898992673
correct	0.06792514		false	25751552.0	sc	01	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	baseline	0.07303188205696642
correct	0.070275867		true	25690112.0	sc	01	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	baseline	0.07416920200921595
correct	0.065046087		true	25841664.0	sc	01	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	baseline	0.0709110539755784
correct	0.073410979		true	25776128.0	sc	01	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	baseline	0.07694553001783788
correct	0.069363227		true	25726976.0	sc	01	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	baseline	0.07194407097995281
correct	0.068809634		true	25784320.0	sc	01	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	baseline	0.07745171198621392
correct	0.062550545		false	25731072.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	baseline	0.07176888000685722
correct	0.054279026		false	25731072.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	baseline	0.0605648520286195
correct	0.068631159		true	25772032.0	sc	01	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	baseline	0.0730535329785198
correct	0.068008613		true	25829376.0	sc	01	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	baseline	0.07154504198115319
correct	0.069890339		true	25780224.0	sc	01	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	baseline	0.07664822298102081
correct	0.069100119		false	25878528.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	baseline	0.07136177702341229
correct	0.066812678		false	25874432.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	baseline	0.07518859900301322
correct	0.068402314		true	25784320.0	sc	01	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	baseline	0.07334504701429978
correct	0.068105304		true	25784320.0	sc	01	true	goblint-regression/13-privatized_18-first-reads_true.yml	baseline	0.07446346199139953
correct	0.066690516		true	25858048.0	sc	01	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	baseline	0.07381926698144525
correct	0.065934164		true	25808896.0	sc	01	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	baseline	0.07395174005068839
correct	0.066424484		true	25825280.0	sc	01	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	baseline	0.07557632395764813
correct	0.065832848		false	25882624.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	baseline	0.07733641599770635
correct	0.06401911		false	25788416.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	baseline	0.07522930699633434
correct	0.066028555		false	25808896.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	baseline	0.07301374600501731
correct	0.068851076		false	25759744.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	baseline	0.07755713094957173
correct	0.069161937		true	25825280.0	sc	01	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	baseline	0.0763976409798488
correct	0.066726793		true	25825280.0	sc	01	true	goblint-regression/13-privatized_01-priv_nr_true.yml	baseline	0.07465547003084794
correct	0.066437807		true	25882624.0	sc	01	true	goblint-regression/13-privatized_19-publish-precision_true.yml	baseline	0.07868199003860354
correct	0.070170807		true	25882624.0	sc	01	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	baseline	0.07879551401128992
correct	0.06928064		true	25772032.0	sc	01	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	baseline	0.0763320800033398
