category	cputime	executions	expected	memory	model	repetition	status	task	variant	walltime
correct	0.072923137		true	25694208.0	sc	01	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	baseline	0.07841828401433304
correct	0.069365643		false	25690112.0	sc	01	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	baseline	0.07426269998541102
correct	0.055057953		true	25743360.0	sc	01	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	baseline	0.06310268497327343
correct	0.069184377		true	25763840.0	sc	01	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	baseline	0.07297186797950417
correct	0.070312747		true	25817088.0	sc	01	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	baseline	0.07311284996103495
correct	0.06897706		true	25829376.0	sc	01	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	baseline	0.07297434902284294
correct	0.063223917		true	25780224.0	sc	01	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	baseline	0.06969718099571764
correct	0.06760154		false	25825280.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	baseline	0.072150474996306
correct	0.063722734		false	25743360.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	baseline	0.06882994301849976
correct	0.064395819		true	25751552.0	sc	01	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	baseline	0.06998428498627618
correct	0.06692179		true	25776128.0	sc	01	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	baseline	0.07223572302609682
correct	0.065470048		true	25849856.0	sc	01	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	baseline	0.07126686401898041
correct	0.067958384		false	25829376.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	baseline	0.07137958100065589
correct	0.069936273		false	25800704.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	baseline	0.07620502798818052
correct	0.070384399		true	25825280.0	sc	01	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	baseline	0.0746572149801068
correct	0.070918382		true	25894912.0	sc	01	true	goblint-regression/13-privatized_18-first-reads_true.yml	baseline	0.07644361699931324
correct	0.070828203		true	25841664.0	sc	01	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	baseline	0.07687390100909397
