antichain	antichain-replacements	capacity-drops	cohort	empty-skipped	exact-duplicates	explained	explanation-ns	hit-accepted	hit-delay-queries	hit-event-count	hit-rejected	log	lookup-ns	max-hit-delay	max-hit-events	max-size	min-hit-delay	min-hit-events	min-size	minimization-evals	minimization-ns	minimized-literals	model	negative-skipped	queries	raw-literals	rejected	replay-failures	simulated-hits	subsumed	unique	violations
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	sc	0	0	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	sc	0	0	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	sc	0	0	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0	0	0	0	0	sc	0	0	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_46-refine-protected1_true.yml.log	0	0	0	0	0	0	0	0	0	0	sc	0	0	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_47-refine-protected2_true.yml.log	228	0	0	0	0	0	0	0	0	0	sc	0	3	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.36-apron_11-traces-max-simple_true.yml.log	196	0	0	0	0	0	0	0	0	0	sc	0	3	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	sc	0	0	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	151	0	0	0	0	0	0	0	0	0	sc	0	1	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_40-traces-ex-6_true.yml.log	283	0	0	0	0	0	0	0	0	0	sc	0	3	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	0	0	0	0	0	0	sc	0	0	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_44-traces-mine2_true.yml.log	138	0	0	0	0	0	0	0	0	0	sc	0	1	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_18-first-reads_unknown_2_pos.yml.log	157	0	0	0	0	0	0	0	0	0	sc	0	1	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_18-first-reads_unknown_1_neg.yml.log	166	0	0	0	0	0	0	0	0	0	sc	0	1	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_36-traces-ex-3_true.yml.log	385	0	0	0	0	0	0	0	0	0	sc	0	6	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_18-first-reads_true.yml.log	156	0	0	0	0	0	0	0	0	0	sc	0	3	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_35-traces-ex-2_true.yml.log	310	0	0	0	0	0	0	0	0	0	sc	0	5	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_37-traces-ex-4_true.yml.log	246	0	0	0	0	0	0	0	0	0	sc	0	3	0	0	0	0	0	0	0
0	0	0	formal-96	0	0	0	0	0	0	0	0	caat-sc.census.13-privatized_38-traces-ex-4-switch_true.yml.log	340	0	0	0	0	0	0	0	0	0	sc	0	5	0	0	0	0	0	0	0
