adapter-ns	adaptive-offline	checkpoint-ns	copy-ns	cpu_s	equality-ns	eval-ops	evicted	has_statistics	history-ns	initialize	insert	insert-attempt-ns	lazy-cycle-checks	lazy-depth-fallbacks	lazy-edge-candidates	materialize-ns	max-active-events	max-base-relation-density-ppm	max-base-relation-pairs	max-current-base-bytes	max-history-base-bytes	max-inactive-events	max-stable-events	model	offline-evals	offline-ns	oracle	peak-snapshot-equivalent-bytes	peak-undo-bytes	preventive-all-pruned-fallbacks	preventive-co-candidates	preventive-co-pruned	preventive-lookup-ns	preventive-prefix-inconsistent	preventive-prefix-queries	preventive-rf-candidates	preventive-rf-pruned	profiled-queries	queue-pushes	rebuild	rebuild-ns	repetition	replace	retained-snapshot-equivalent-bytes	retained-undo-bytes	rollback	rollback-insert	rollback-ns	status	sync-ns	task	unchanged	value-changes	worklist-ns
0	0	0	0	0.067595816	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	false(unreach-call)	0	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0
0	0	0	0	0.071398952	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	true	0	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	0	0	0
0	0	0	0	0.065878557	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	true	0	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	0	0	0
0	0	911	0	0.060060451	0	0	0	True	0	1	0	0	2	0	6	24633	6	555555	20	464	464	0	6	pso	1	42751	0	1544	0	0	0	0	0	0	0	0	0	1	0	0	43716	r01	0	1544	0	0	0	0	true	73783	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	0	0	0
0	9	4206	0	0.076297477	3328	0	0	True	0	1	0	0	20	0	171	141981	14	612244	120	1112	1112	7	15	pso	10	352215	0	3128	0	0	0	0	0	0	0	0	0	11	0	0	354061	r01	0	3128	0	0	0	0	true	540260	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	1	0	0
0	9	4852	0	0.069929093	3260	0	0	True	0	1	0	0	20	0	171	138624	15	604444	136	1184	1184	7	16	pso	10	248869	0	3304	0	0	0	0	0	0	0	0	0	11	0	0	257042	r01	0	3304	0	0	0	0	true	445814	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	1	0	0
0	3	2169	0	0.072025761	1109	0	0	True	0	1	0	0	8	0	47	62948	14	560000	88	1040	1040	4	14	pso	4	102695	0	2952	0	0	0	0	0	0	0	0	0	4	0	0	109977	r01	0	2952	0	0	0	0	true	191303	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	0	0	0
0	0	1135	0	0.064956142	0	0	0	True	0	1	0	0	2	0	44	28853	13	544378	92	968	968	0	13	pso	1	43096	0	2776	0	0	0	0	0	0	0	0	0	1	0	0	43805	r01	0	2776	0	0	0	0	false(unreach-call)	84214	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	0	0
0	0	0	0	0.073859732	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	false(unreach-call)	0	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0
0	2	1805	0	0.071383394	458	0	0	True	0	1	0	0	6	0	69	56695	14	544378	92	1544	1544	9	21	pso	3	90702	0	4184	0	0	0	0	0	0	0	0	0	3	0	0	91636	r01	0	4184	0	0	0	0	true	163921	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	0	0	0
0	0	1145	0	0.06992703	0	0	0	True	0	1	0	0	2	0	6	26004	6	555555	20	464	464	0	6	pso	1	38681	0	1544	0	0	0	0	0	0	0	0	0	1	0	0	45143	r01	0	1544	0	0	0	0	true	78011	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	0	0	0
0	7	3756	0	0.069019646	2712	0	0	True	0	1	0	0	16	0	159	145062	19	598337	216	1544	1544	12	21	pso	8	225543	0	4184	0	0	0	0	0	0	0	0	0	9	0	0	227342	r01	0	4184	0	0	0	0	true	421390	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	1	0	0
0	0	1041	0	0.06952525	0	0	0	True	0	1	0	0	2	0	27	28447	8	531250	34	608	608	0	8	pso	1	49656	0	1896	0	0	0	0	0	0	0	0	0	1	0	0	50421	r01	0	1896	0	0	0	0	false(unreach-call)	86820	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	0	0	0
0	0	944	0	0.073164516	0	0	0	True	0	1	0	0	2	0	27	24021	8	531250	34	608	608	0	8	pso	1	44543	0	1896	0	0	0	0	0	0	0	0	0	1	0	0	45051	r01	0	1896	0	0	0	0	false(unreach-call)	76424	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	0	0	0
0	9	3934	0	0.066905299	3337	0	0	True	0	1	0	0	20	0	209	137410	15	612244	136	1184	1184	7	16	pso	10	249268	0	3304	0	0	0	0	0	0	0	0	0	11	0	0	250983	r01	0	3304	0	0	0	0	true	441359	c/goblint-regression/13-privatized_18-first-reads_true.yml	1	0	0
0	26	9716	0	0.066256188	8742	0	0	True	0	1	0	0	54	0	666	385292	21	650887	270	1616	1616	16	22	pso	27	657034	0	4360	0	0	0	0	0	0	0	0	0	29	0	0	660975	r01	0	4360	0	0	0	0	true	1171619	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	2	0	0
0	29	10532	0	0.071329115	9452	0	0	True	0	1	0	0	60	0	766	464099	24	628099	342	1832	1832	14	25	pso	30	746703	0	4888	0	0	0	0	0	0	0	0	0	31	0	0	757877	r01	0	4888	0	0	0	0	true	1372685	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	1	0	0
