backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.078276727	0.07950682000955567	25960448	0		2026-07-15T03:01:25.147582+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.063187173	0.06867503497051075	25964544	0		2026-07-15T03:02:49.785768+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.064116033	0.06679632904706523	25952256	0		2026-07-15T03:04:14.702236+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.066244527	0.07058132300153375	26005504	0		2026-07-15T03:01:24.978383+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.065957901	0.07187061198055744	25960448	0		2026-07-15T03:02:49.583552+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.069974625	0.07440457196207717	26013696	0		2026-07-15T03:04:14.470645+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.068411956	0.07047071401029825	26062848	42		2026-07-15T03:01:24.958640+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.075566648	0.07963588798884302	25952256	42		2026-07-15T03:02:49.561207+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.06727405	0.0712568509625271	25960448	42		2026-07-15T03:04:14.451757+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.067855378	0.07295290002366528	26013696	42		2026-07-15T03:01:24.951689+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.069724527	0.0754381800070405	25948160	42		2026-07-15T03:02:49.546321+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.065056052	0.06982778001111001	25956352	42		2026-07-15T03:04:14.439982+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.061158089	0.06628388800891116	26005504	0		2026-07-15T03:01:25.167820+00:00	3										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.071400803	0.07449752499815077	26062848	0		2026-07-15T03:02:49.818523+00:00	3										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.073796634	0.07974110002396628	26034176	0		2026-07-15T03:04:14.680031+00:00	3										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.070222822	0.07371649699052796	26087424	42		2026-07-15T03:01:25.109429+00:00	0										
