variant	model	program	repetition	status	wall_seconds	user_seconds	sys_seconds	peak_rss_kib	executions	blocked
before	sc	correct/litmus/SB/variants/sb0.c	1	0	0.070972477	0.032891000	0.037747000	92024	3	0
after	sc	correct/litmus/SB/variants/sb0.c	1	0	0.067101502	0.037930000	0.028643000	92448	3	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.069009378	0.041200000	0.027350000	93212	4	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.065615584	0.036839000	0.028345000	92212	4	0
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.076116630	0.043846000	0.031752000	93840	2	6
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.073442187	0.046649000	0.026391000	93580	2	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.075771007	0.059511000	0.015667000	93140	8	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.086120839	0.054090000	0.031606000	92700	8	6
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.363633073	0.323510000	0.039528000	93212	24	16
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.376485370	0.347178000	0.028792000	93824	24	16
before	tso	correct/litmus/SB/variants/sb0.c	1	0	0.063056584	0.024379000	0.038282000	92052	4	0
after	tso	correct/litmus/SB/variants/sb0.c	1	0	0.059282276	0.026218000	0.032389000	92260	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.059907594	0.033284000	0.026231000	92860	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.066355897	0.032105000	0.033771000	92296	4	0
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.089260429	0.044672000	0.044157000	93292	2	6
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.086180539	0.050924000	0.034842000	92852	2	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.091956500	0.059036000	0.032516000	93136	8	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.078472206	0.047351000	0.030580000	93492	8	6
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.322283657	0.284342000	0.037299000	93492	0	0
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.325627437	0.280893000	0.044167000	93820	0	0
before	pso	correct/litmus/SB/variants/sb0.c	1	0	0.063420194	0.035776000	0.027192000	92356	4	0
after	pso	correct/litmus/SB/variants/sb0.c	1	0	0.062823252	0.027143000	0.035178000	93212	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.059798065	0.040344000	0.019009000	92452	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.058292251	0.025070000	0.032847000	92236	4	0
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.096371835	0.045144000	0.050785000	93136	2	6
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.091381671	0.056054000	0.034935000	93284	2	6
