metric	group	task_yaml	ratio
cpu	sc	c/goblint-regression/13-privatized_01-priv_nr_true.yml	1.0910416526127917
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_true.yml	1.045455556386326
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1.0363495468921007
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	0.9859661221447884
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_true.yml	0.9911184008518589
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	1.0247243268122932
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	0.972840068167711
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	0.9556717601024809
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0.9905780746176686
cpu	sc	c/goblint-regression/13-privatized_20-publish-regression_true.yml	0.9810157695978136
cpu	sc	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	0.9933525465902489
cpu	sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	0.943174863631682
cpu	sc	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	1.0393004166093254
cpu	sc	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	0.9416229916266652
cpu	sc	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	0.9660032823752482
cpu	sc	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	0.9990337671259959
cpu	sc	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	1.0111007352842296
cpu	sc	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	0.9739892662909637
cpu	sc	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0.9860838759822936
cpu	sc	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	0.9543802560826818
cpu	sc	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	0.9517484230862785
cpu	sc	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	1.0407682353585368
cpu	sc	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	0.9664431671897096
cpu	sc	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	0.9873135093167436
cpu	sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0.9509182161380234
cpu	sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	1.0328013948043497
cpu	sc	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	1.0204831808518968
cpu	sc	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	0.9989966075014106
cpu	sc	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	1.007719286143965
cpu	sc	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	1.0039854960763994
cpu	sc	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	0.9333066381269945
cpu	sc	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	1.076152621200673
cpu	sc	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1.0257510279871502
cpu	sc	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	1.0879309392904783
cpu	sc	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	1.023151553365812
cpu	sc	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	1.0004858540806774
