variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.062896662	0.07119137200061232	25985024	2026-07-15T12:46:14.740546+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.072763592	0.07816964900121093	25968640	2026-07-15T12:46:14.594499+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.072368774	0.08156711800256744	25993216	2026-07-15T12:46:14.569908+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.072465316	0.07761961000505835	26021888	2026-07-15T12:46:14.558386+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.064975261	0.07040249003330246	26054656	2026-07-15T12:46:14.760788+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.064137602	0.07197387097403407	26087424	2026-07-15T12:46:14.685477+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.071567632	0.07881071197334677	26066944	2026-07-15T12:46:14.651723+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.072018533	0.10029339900938794	26087424	2026-07-15T12:46:14.700300+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.064745101	0.0724918830092065	26034176	2026-07-15T12:46:14.667421+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.062555167	0.0696560800424777	26034176	2026-07-15T12:46:14.839025+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.148635107	0.152466343017295	26148864	2026-07-15T12:46:14.902966+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.071915309	0.09202509996248409	26038272	2026-07-15T12:46:14.788430+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.304126922	0.3108088820008561	26083328	2026-07-15T12:46:14.959063+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.07891384	0.0864867849741131	26046464	2026-07-15T12:46:14.893646+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.066753097	0.07879767497070134	26103808	2026-07-15T12:46:14.847046+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.077908277	0.08912870497442782	26034176	2026-07-15T12:46:14.827735+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	0.066195343	0.0715953020262532	26058752	2026-07-15T12:46:14.841380+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	0.063557924	0.07739957800367847	25980928	2026-07-15T12:46:14.774611+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	0.06246564	0.07136925804661587	26009600	2026-07-15T12:46:14.876390+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	0.074489853	0.08595130400499329	26021888	2026-07-15T12:46:14.605844+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	0.072249554	0.07709889800753444	26042368	2026-07-15T12:46:14.582768+00:00		optimization-analysis/continuous/shared-dependency-adjacency/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-46-14.results.caat-pso.perf.unreach-call.xml.bz2
