model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T12:33:38+00:00	2026-07-15T12:34:41+00:00
sc	2	28-51	0-23	0	0	2026-07-15T12:34:41+00:00	2026-07-15T12:35:44+00:00
sc	3	0-23	28-51	0	0	2026-07-15T12:35:44+00:00	2026-07-15T12:36:47+00:00
sc	4	28-51	0-23	0	0	2026-07-15T12:36:47+00:00	2026-07-15T12:37:50+00:00
sc	5	0-23	28-51	0	0	2026-07-15T12:37:50+00:00	2026-07-15T12:38:53+00:00
sc	6	28-51	0-23	0	0	2026-07-15T12:38:53+00:00	2026-07-15T12:39:56+00:00
tso	1	0-23	28-51	0	0	2026-07-15T12:39:56+00:00	2026-07-15T12:40:59+00:00
tso	2	28-51	0-23	0	0	2026-07-15T12:40:59+00:00	2026-07-15T12:42:02+00:00
tso	3	0-23	28-51	0	0	2026-07-15T12:42:02+00:00	2026-07-15T12:43:05+00:00
tso	4	28-51	0-23	0	0	2026-07-15T12:43:05+00:00	2026-07-15T12:44:08+00:00
tso	5	0-23	28-51	0	0	2026-07-15T12:44:08+00:00	2026-07-15T12:45:11+00:00
tso	6	28-51	0-23	0	0	2026-07-15T12:45:11+00:00	2026-07-15T12:46:14+00:00
pso	1	0-23	28-51	0	0	2026-07-15T12:46:14+00:00	2026-07-15T12:47:18+00:00
pso	2	28-51	0-23	0	0	2026-07-15T12:47:18+00:00	2026-07-15T12:48:22+00:00
pso	3	0-23	28-51	0	0	2026-07-15T12:48:22+00:00	2026-07-15T12:49:26+00:00
pso	4	28-51	0-23	0	0	2026-07-15T12:49:26+00:00	2026-07-15T12:50:30+00:00
pso	5	0-23	28-51	0	0	2026-07-15T12:50:30+00:00	2026-07-15T12:52:02+00:00
pso	6	28-51	0-23	0	0	2026-07-15T12:52:02+00:00	2026-07-15T12:53:07+00:00
