variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.059445321	0.1534557010163553	26107904		132533	22	1616	1616	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.057842882	0.06301875796634704	26083328		100126	16	1184	1184	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.056802621	0.06718357501085848	26107904		19924	8	608	608	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.058674121	0.0652599050081335	26083328		19391	8	608	608	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.064047409	0.20878410496516153	26009600		652366	23	1688	1688	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.054451878	0.0590911129838787	25985024		0	0	0	0	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.061778171	0.06405783101217821	26009600		29335	13	968	968	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.058016333	0.06557717599207535	26038272		22586	13	968	968	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.055812401	0.06021769600920379	26038272		0	0	0	0	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.064951341	0.08739853702718392	25985024		203175	24	1760	1760	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.109777722	0.2494054880226031	26091520		11902109	57	4136	4136	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.065094559	0.21174432599218562	26066944		151754	22	1616	1616	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.251347867	0.33258431794820353	26120192		43780245	61	4424	4424	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.062753229	0.18588166299741715	26042368		1245670	36	2624	2624	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.06420448	0.09196496300864965	26054656		459064	26	1904	1904	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.064503525	0.08271728100953624	26062848		1268485	30	2192	2192	1	optimization-analysis/continuous/sparse-edge-primitives/server-results/formal-sparse-v2/after/pso/r01/perf-caat-pso.2026-07-16_03-56-23.results.caat-pso.structural-views.unreach-call.xml.bz2
