variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.060198765	0.06530173891223967	26046464		140272	22	1616	1616	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.057459136	0.07417051203083247	26083328		103372	16	1184	1184	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.06371997	0.0735241110669449	26013696		27996	8	608	608	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.05834765	0.06375217693857849	25952256		30396	8	608	608	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.060445033	0.07581738906446844	26001408		348677	23	1688	1688	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.068798647	0.07779760006815195	25976832		0	0	0	0	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.059173191	0.07976987294387072	25980928		23714	13	968	968	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.067263724	0.08883649797644466	26087424		30412	13	968	968	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.059878051	0.06949335802346468	26001408		0	0	0	0	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.060580382	0.07888948393519968	26075136		200932	24	1760	1760	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.09966252	0.12531414988916367	26083328		14071147	57	4136	4136	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.064037552	0.08501183392945677	26025984		129737	22	1616	1616	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.159857938	0.17456902703270316	26107904		40609765	61	4424	4424	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.073642462	0.10339580604340881	26107904		2992292	36	2624	2624	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.060662911	0.07455404696520418	26034176		362739	26	1904	1904	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.070994221	0.08619066304527223	26005504		1291661	30	2192	2192	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	0.068417221	0.0828265770105645	26091520		1034122	36	2624	2624	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	0.067979669	0.09635767398867756	25972736		180280	27	1976	1976	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal-v2/after/pso/r01/perf-caat-pso.2026-07-16_12-10-54.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
