variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r01	01b_inc.yml	0	156967	4184	21	10	129	0	1
after	pso	r01	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_01-priv_nr_true.yml	0	229509	4360	22	20	590	0	1
after	pso	r01	13-privatized_18-first-reads_true.yml	0	257825	3304	16	20	209	0	1
after	pso	r01	13-privatized_18-first-reads_unknown_1_neg.yml	0	34984	1896	8	2	27	0	1
after	pso	r01	13-privatized_18-first-reads_unknown_2_pos.yml	0	35348	1896	8	2	27	0	1
after	pso	r01	13-privatized_19-publish-precision_true.yml	0	807657	4536	23	66	1041	0	1
after	pso	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	0	46912	2776	13	2	43	0	1
after	pso	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	0	35975	2776	13	2	43	0	1
after	pso	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_20-publish-regression_true.yml	0	564450	4712	24	36	597	0	1
after	pso	r01	13-privatized_24-multiple-protecting_true.yml	0	14260876	10520	57	852	23592	0	1
after	pso	r01	13-privatized_25-struct_nr_true.yml	0	310710	4360	22	20	590	0	1
after	pso	r01	13-privatized_27-multiple-protecting2_true.yml	0	46426444	11224	61	3092	82273	0	1
after	pso	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	0	1817388	6824	36	176	3243	0	1
after	pso	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	0	757893	5064	26	60	981	0	1
after	pso	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	0	1591828	5768	30	168	2572	0	1
after	pso	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	1601149	6824	36	152	3063	0	1
after	pso	r01	13-privatized_33-traces-v-matters_true.yml	0	309140	5240	27	20	306	0	1
after	pso	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	245341	5416	28	24	292	0	1
after	pso	r01	13-privatized_35-traces-ex-2_true.yml	0	739530	4888	25	60	766	0	1
after	pso	r01	13-privatized_36-traces-ex-3_true.yml	0	8542136	4360	22	54	666	0	1
after	pso	r01	13-privatized_37-traces-ex-4_true.yml	0	660413	4888	25	56	604	0	1
after	pso	r01	13-privatized_38-traces-ex-4-switch_true.yml	0	585212	4888	25	60	761	0	1
after	pso	r01	13-privatized_40-traces-ex-6_true.yml	0	223906	4184	21	16	159	0	1
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	42709	2776	13	2	44	0	1
after	pso	r01	13-privatized_42-traces-ex-mini_true.yml	0	387823	5064	26	40	596	0	1
after	pso	r01	13-privatized_44-traces-mine2_true.yml	0	101041	4184	21	6	69	0	1
after	pso	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	731270	4888	25	58	797	0	1
after	pso	r01	13-privatized_46-refine-protected1_true.yml	0	99769	2952	14	8	47	0	1
after	pso	r01	13-privatized_47-refine-protected2_true.yml	0	235188	3128	15	20	171	0	1
after	pso	r01	13-privatized_57-singlethreaded-unlock_true.yml	0	28006	1544	6	2	6	0	1
after	pso	r01	13-privatized_58-singlethreaded-lock_true.yml	0	37380	1544	6	2	6	0	1
after	pso	r01	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
after	pso	r01	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	36727	2248	10	2	13	0	1
after	pso	r01	13-privatized_69-refine-protected-loop-interval_true.yml	0	36692	2248	10	2	13	0	1
after	pso	r01	14_spin2003.yml	0	25207	2600	12	2	8	0	1
after	pso	r01	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	1
after	pso	r01	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0
after	pso	r01	28-race_reach_45-escape_racing.yml	0	38814	3832	19	2	78	0	1
after	pso	r01	28-race_reach_46-escape_racefree.yml	0	707292	5592	29	56	977	0	1
after	pso	r01	29_conditionals_vs.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_11-traces-max-simple_true.yml	0	188073	3304	16	20	171	0	1
after	pso	r01	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_21-traces-cluster-based_true.yml	0	2420795	6648	35	172	3116	0	1
after	pso	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r01	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r01	45_monabsex1_vs.yml	0	104339	3304	16	8	57	0	1
after	pso	r01	46_monabsex2_vs.yml	0	193138	4184	21	18	137	0	1
after	pso	r01	48_ticket_lock_low_contention_vs-pthread.yml	0	40644	2600	12	2	8	0	1
after	pso	r01	48_ticket_lock_low_contention_vs.yml	0	115866	4888	25	8	99	0	1
after	pso	r01	butterfly.yml	0	12232536256	11224	61	694890	54985280	0	1
after	pso	r01	circular_buffer_bad.yml	0	11975059	31880	89	476	37904	0	1
after	pso	r01	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r01	dekker-unfair.yml	0	824479	6648	35	74	1600	0	1
after	pso	r01	dekker.yml	0	821475	6648	35	70	1568	0	1
after	pso	r01	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r01	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r01	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r01	fib_unsafe-5.yml	0	6461722904	171752	243	96526	11518678	0	1
after	pso	r01	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r01	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r01	lazy01.yml	0	389974	5592	29	36	861	0	1
after	pso	r01	pthread-demo-datarace-3.yml	0	33504586	231304	262	80	930799	0	1
after	pso	r01	queue.yml	0	354077389	145000	205	5918	2074810	0	1
after	pso	r01	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r01	queue_ok.yml	0	8769332	534328	433	34	133711	0	1
after	pso	r01	queue_ok_longer.yml	124716724	3155556815	44133960	8033	34	49930431	0	1
after	pso	r01	queue_ok_longest.yml	632866284	13389134702	174022760	16033	34	199380031	0	1
after	pso	r01	race-1_1-join.yml	0	63338	3304	16	6	30	0	1
after	pso	r01	race-1_2-join.yml	0	282807	5416	28	26	546	0	1
after	pso	r01	race-1_3-join.yml	0	284802	5416	28	26	546	0	1
after	pso	r01	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
after	pso	r01	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	1
after	pso	r01	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	1
after	pso	r01	reorder_2.yml	0	234092893	29416	82	12692	778472	0	1
after	pso	r01	singleton.yml	0	575104	8760	47	40	1331	0	1
after	pso	r01	singleton_with-uninit-problems.yml	0	1614556	8936	48	130	3400	0	1
after	pso	r01	stateful01-1.yml	0	579037	6824	36	20	941	0	1
after	pso	r01	stateful01-2.yml	0	2404703	6824	36	246	4314	0	1
after	pso	r01	szymanski.yml	0	6527898	5944	31	756	9033	0	1
after	pso	r01	time_var_mutex.yml	0	481143	6296	33	44	1007	0	1
after	pso	r01	triangular-1.yml	0	0	0	0	0	0	0	0
after	pso	r01	triangular-2.yml	0	8519267631	24488	68	493952	14750405	0	1
after	pso	r01	twostage_3.yml	0	4748884	36104	101	138	38625	0	1
after	pso	r01	unwind2-1.yml	0	65448	3656	18	6	63	0	1
after	pso	r01	unwind2-100.yml	0	70652	3656	18	6	63	0	1
after	pso	r01	unwind3-1.yml	0	70262	3656	18	6	187	0	1
after	pso	r02	01b_inc.yml	0	144722	4184	21	10	129	0	1
after	pso	r02	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_01-priv_nr_true.yml	0	247971	4360	22	20	590	0	1
after	pso	r02	13-privatized_18-first-reads_true.yml	0	259875	3304	16	20	209	0	1
after	pso	r02	13-privatized_18-first-reads_unknown_1_neg.yml	0	45401	1896	8	2	27	0	1
after	pso	r02	13-privatized_18-first-reads_unknown_2_pos.yml	0	42818	1896	8	2	27	0	1
after	pso	r02	13-privatized_19-publish-precision_true.yml	0	813602	4536	23	66	1041	0	1
after	pso	r02	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_19-publish-precision_unknown_1_pos.yml	0	37871	2776	13	2	43	0	1
after	pso	r02	13-privatized_19-publish-precision_unknown_2_neg.yml	0	41757	2776	13	2	43	0	1
after	pso	r02	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_20-publish-regression_true.yml	0	469366	4712	24	36	597	0	1
after	pso	r02	13-privatized_24-multiple-protecting_true.yml	0	14396623	10520	57	852	23592	0	1
after	pso	r02	13-privatized_25-struct_nr_true.yml	0	225268	4360	22	20	590	0	1
after	pso	r02	13-privatized_27-multiple-protecting2_true.yml	0	50798788	11224	61	3092	82273	0	1
after	pso	r02	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2285978	6824	36	176	3243	0	1
after	pso	r02	13-privatized_30-traces-oplus-vs-meet_true.yml	0	766819	5064	26	60	981	0	1
after	pso	r02	13-privatized_31-traces-mine-vs-mutex_true.yml	0	1542806	5768	30	168	2572	0	1
after	pso	r02	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	1518167	6824	36	152	3063	0	1
after	pso	r02	13-privatized_33-traces-v-matters_true.yml	0	299690	5240	27	20	306	0	1
after	pso	r02	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	328796	5416	28	24	292	0	1
after	pso	r02	13-privatized_35-traces-ex-2_true.yml	0	586669	4888	25	60	766	0	1
after	pso	r02	13-privatized_36-traces-ex-3_true.yml	0	809869	4360	22	54	666	0	1
after	pso	r02	13-privatized_37-traces-ex-4_true.yml	0	511515	4888	25	56	604	0	1
after	pso	r02	13-privatized_38-traces-ex-4-switch_true.yml	0	758149	4888	25	60	761	0	1
after	pso	r02	13-privatized_40-traces-ex-6_true.yml	0	232339	4184	21	16	159	0	1
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	42336	2776	13	2	44	0	1
after	pso	r02	13-privatized_42-traces-ex-mini_true.yml	0	381608	5064	26	40	596	0	1
after	pso	r02	13-privatized_44-traces-mine2_true.yml	0	110150	4184	21	6	69	0	1
after	pso	r02	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	737614	4888	25	58	797	0	1
after	pso	r02	13-privatized_46-refine-protected1_true.yml	0	102486	2952	14	8	47	0	1
after	pso	r02	13-privatized_47-refine-protected2_true.yml	0	244529	3128	15	20	171	0	1
after	pso	r02	13-privatized_57-singlethreaded-unlock_true.yml	0	36361	1544	6	2	6	0	1
after	pso	r02	13-privatized_58-singlethreaded-lock_true.yml	0	30776	1544	6	2	6	0	1
after	pso	r02	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
after	pso	r02	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	29954	2248	10	2	13	0	1
after	pso	r02	13-privatized_69-refine-protected-loop-interval_true.yml	0	35996	2248	10	2	13	0	1
after	pso	r02	14_spin2003.yml	0	32713	2600	12	2	8	0	1
after	pso	r02	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r02	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r02	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
