variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.070027002	0.07803195808082819	25972736		143713	22	1616	1616	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.07141697	0.12238850095309317	25960448		137707	16	1184	1184	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.071532734	0.0783749739639461	26058752		24134	8	608	608	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.063684547	0.10970606503542513	26062848		22662	8	608	608	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.074170755	0.07649862405378371	26087424		455721	23	1688	1688	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.065089417	0.0884690199745819	26083328		0	0	0	0	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.071502013	0.12177161907311529	26087424		29095	13	968	968	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.064269282	0.06912619608920068	26030080		35015	13	968	968	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.07017428	0.0979166500037536	26095616		0	0	0	0	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.069363124	0.08212193590588868	26091520		325180	24	1760	1760	1	optimization-analysis/continuous/streaming-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_11-42-02.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
