model	task	status	cpu_s	wall_s	rss_bytes	profile_records	checkpoint_records	final_records	max_active_events	max_stable_events	profiled_queries	max_current_base_bytes	max_published_predicate_bytes	max_transactional_predicate_bytes_lower_bound	base_relation_peak_sum	base_set_peak_sum	predicate_relation_peak_sum	predicate_set_peak_sum	predicate_evaluation_ns_sum	normalized_base_relation_peak_sum	reach_relation_peak_sum	target_relation_peak_sum	all_relation_peak_sum	target_relation_share	target_sparse_projection	target_packed_to_sparse	target_structural_projection	target_packed_to_structural
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	0.073870679	0.07710320502519608	25989120	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
pso	36-apron_16-traces-unprot2_true.yml	true	0.061859144	0.06629375304328278	25899008	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
pso	13-privatized_66-mine-W-init_true.yml	true	0.075369184	0.07906451402232051	25903104	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
pso	13-privatized_47-refine-protected2_true.yml	true	0.083062974	0.08890073199290782	26013696	5	4	1	14	15	11	1112	5920	0	1080	32	5880	40	108789	1080	120	2400	6960	0.3448275862068966	3744	0.6410256410256411	828	2.898550724637681
pso	13-privatized_57-singlethreaded-unlock_true.yml	true	0.077815678	0.08850026002619416	26009600	2	1	1	6	6	1	464	2392	0	432	32	2352	40	7732	432	48	960	2784	0.3448275862068966	1044	0.9195402298850575	312	3.076923076923077
pso	13-privatized_46-refine-protected1_true.yml	true	0.083548877	0.08913864399073645	26005504	4	3	1	14	14	4	1040	5528	0	1008	32	5488	40	43471	1008	112	2240	6496	0.3448275862068966	3408	0.6572769953051644	796	2.814070351758794
pso	36-apron_11-traces-max-simple_true.yml	true	0.082780722	0.0877926760003902	25939968	5	4	1	15	16	11	1184	6312	0	1152	32	6272	40	116407	1152	128	2560	7424	0.3448275862068966	4128	0.6201550387596899	884	2.8959276018099547
pso	13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	0.082945956	0.08835923799779266	26017792	2	1	1	13	13	1	968	5136	0	936	32	5096	40	11810	936	104	2080	6032	0.3448275862068966	2744	0.7580174927113703	680	3.0588235294117645
pso	13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	0.07376061	0.08446780196391046	25960448	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
pso	13-privatized_40-traces-ex-6_true.yml	true	0.093784225	0.10006404097657651	25939968	5	4	1	19	21	9	1544	8272	0	1512	32	8232	40	163259	1512	168	3360	9744	0.3448275862068966	5760	0.5833333333333334	1168	2.8767123287671232
