model	task	status	cpu_s	wall_s	rss_bytes	profile_records	checkpoint_records	final_records	max_active_events	max_stable_events	profiled_queries	max_current_base_bytes	max_published_predicate_bytes	max_transactional_predicate_bytes_lower_bound	base_relation_peak_sum	base_set_peak_sum	predicate_relation_peak_sum	predicate_set_peak_sum	normalized_base_relation_peak_sum	reach_relation_peak_sum	target_relation_peak_sum	all_relation_peak_sum	target_relation_share	target_sparse_projection	target_packed_to_sparse	target_structural_projection	target_packed_to_structural
pso	28-race_reach_01-simple_racing.yml	ERROR (compilation)	0.07263229	0.07807202299591154	25567232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_03-munge_racing.yml	ERROR (compilation)	0.085796798	0.08900062402244657	25563136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_05-lockfuns_racefree.yml	ERROR (compilation)	0.071046001	0.07917963399086148	25559040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mix001.oepc.yml	ERROR (compilation)	0.0712207	0.08093514398206025	25563136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mix008_tso.oepc.yml	ERROR (compilation)	0.070565886	0.07363834895659238	25698304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mix018_power.oepc_pso.oepc_rmo.oepc.yml	ERROR (compilation)	0.065569259	0.0727796420105733	25563136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mix027_tso.yml	ERROR (compilation)	0.065710777	0.07892557000741363	25563136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mix036_pso.opt_tso.opt.yml	ERROR (compilation)	0.067666883	0.07498605496948585	25567232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mix045_power.oepc_pso.oepc_rmo.oepc.yml	ERROR (compilation)	0.069758256	0.07919006899464875	25608192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mix056_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml	ERROR (compilation)	0.069398604	0.08009633800247684	25645056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	safe007_pso.oepc_pso.opt_tso.oepc_tso.opt-thin001_pso.oepc_pso.opt_tso.oepc_tso.opt.yml	ERROR (compilation)	0.070151266	0.07920534000732005	25559040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	safe016_rmo.opt.yml	ERROR (compilation)	0.070988225	0.0815934770507738	25567232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	safe027_power.opt.yml	ERROR (compilation)	0.067347883	0.07856722502037883	25575424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	fib_safe-10.yml	ERROR (compilation)	0.066090619	0.0748250600299798	25464832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	fib_safe-7.yml	ERROR (compilation)	0.062301347	0.07567595702130347	25468928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	fib_unsafe-12.yml	ERROR (compilation)	0.070240886	0.0831494050216861	25432064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	triangular-longer-2.yml	ERROR (compilation)	0.068331065	0.07930661999853328	25456640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	26_stack_cas.yml	ERROR (compilation)	0.065757737	0.07571241300320253	25587712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	25_stack.yml	ERROR (compilation)	0.065286096	0.07511731499107555	25563136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	25_stack_longer-2.yml	ERROR (compilation)	0.068621481	0.0802036679815501	25497600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	26_stack_cas_longer-2.yml	ERROR (compilation)	0.070957509	0.07751818600809202	25567232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mult-flipped-dist.wvr.yml	OUT OF MEMORY	10.471365412	10.4963884059689	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	mult-comm.wvr.yml	OUT OF MEMORY	10.57380957	10.585968585975934	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_10-ptrmunge_racefree.yml	OUT OF MEMORY	10.901932986	10.920765086018946	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_82-list_racefree.yml	OUT OF MEMORY	12.654616895	12.674861481995322	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	ticketlock.yml	OUT OF MEMORY	13.135501662	13.157430274004582	3999997952	2	2	0	34	35	2	2552	13760	0	2520	32	13720	40	2520	280	5600	16240	0.3448275862068966	12836	0.43627298223745714	2088	2.681992337164751
pso	chl-word-symm.wvr.yml	OUT OF MEMORY	13.796252309	13.819844887999352	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-bad-buffer-mult-alt2.wvr.yml	OUT OF MEMORY	13.955544669	14.000956967996899	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	chl-word-subst.wvr.yml	OUT OF MEMORY	14.300048438	14.317536071001086	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-more-queue-add-2-nl.wvr.yml	OUT OF MEMORY	13.9625815	13.991026204952504	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-more-buffer-mult3.wvr.yml	OUT OF MEMORY	14.220068321	14.244221211003605	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-horseshoe.wvr.yml	OUT OF MEMORY	14.449021847	14.468216072011273	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-more-buffer-mult.wvr.yml	OUT OF MEMORY	14.468906764	14.490668250015005	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	rec_ticketlock.yml	OUT OF MEMORY	14.080059275	14.214711631997488	3999997952	3	3	0	51	52	4	3776	20424	0	3744	32	20384	40	3744	416	8320	24128	0.3448275862068966	27216	0.30570252792475017	3776	2.2033898305084745
pso	parallel-min-max-1.wvr.yml	OUT OF MEMORY	14.777162056	14.794349405972753	3999997952	1	1	0	14	14	1	1040	5528	0	1008	32	5488	40	1008	112	2240	6496	0.3448275862068966	3048	0.7349081364829396	772	2.901554404145078
pso	28-race_reach_84-list2_racing2.yml	OUT OF MEMORY	22.962809695	22.995201395999175	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_20-callback_racefree.yml	OUT OF MEMORY	26.572179638	26.605589873041026	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_60-invariant_racefree.yml	OUT OF MEMORY	27.071501476	27.09703033097321	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-more-nonblocking-counter-alt2.wvr.yml	OUT OF MEMORY	26.531801866	26.5605011950247	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-bad-threaded-sum-2.wvr.yml	OUT OF MEMORY	27.190900638	27.226888888981193	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_42-trylock2_racefree.yml	OUT OF MEMORY	27.937854217	27.96583201905014	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_37-indirect_racing.yml	OUT OF MEMORY	28.484063774	28.555281792010646	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_12-ptr_racefree.yml	OUT OF MEMORY	29.638667368	29.66847673401935	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_73-funloop_hard_racefree.yml	OUT OF MEMORY	29.779025185	29.803832976031117	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_79-equ_racefree.yml	OUT OF MEMORY	30.044010113	30.086282060015947	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	popl20-mult-equiv.wvr.yml	OUT OF MEMORY	30.079227929	30.114011995028704	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_27-funptr_racing.yml	OUT OF MEMORY	32.559852698	32.600215065001976	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_07-cond_racing2.yml	OUT OF MEMORY	35.38886491	35.43043155100895	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	28-race_reach_70-funloop_racefree.yml	OUT OF MEMORY	35.582797617	35.61841565096984	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pso	rwlock.yml	TIMEOUT	60.986325211	61.02297605498461	59977728	11	11	0	1050	1056	1024	1293088	7037864	14069064	1292544	544	7037184	680	1292544	143616	2872320	8329728	0.3448275862068966	19466144	0.14755464667270518	2150008	1.3359578196918338
pso	ttaslock.yml	TIMEOUT	60.98330481	61.01304788701236	58003456	11	11	0	1048	1052	1024	1288192	7011208	14015752	1287648	544	7010528	680	1287648	143072	2861440	8298176	0.3448275862068966	19432364	0.1472512556887057	2149840	1.331001376846649
pso	stack_longest-1.yml	TIMEOUT	61.03504411	61.065855142020155	736694272	11	11	0	1373	1375	1024	2178704	11858880	23691888	2178000	704	11858000	880	2178000	242000	4840000	14036000	0.3448275862068966	27443728	0.17636087925080732	2873128	1.6845751390122543
