model	task	scope	id	name	predicate_kind	type	universe	facts	bytes	attempts	evaluation_ns	sparse_bytes	best_bytes
pso	ticketlock.yml	base	-1	F	-1	set	35	0	8	0	0	5	5
pso	ticketlock.yml	base	-1	R	-1	set	35	8	8	0	0	5	5
pso	ticketlock.yml	base	-1	SC	-1	set	35	6	8	0	0	5	5
pso	ticketlock.yml	base	-1	W	-1	set	35	14	8	0	0	5	5
pso	ticketlock.yml	base	-1	co	-1	relation	35	7	280	0	0	172	172
pso	ticketlock.yml	base	-1	ext	-1	relation	35	852	280	0	0	3552	280
pso	ticketlock.yml	base	-1	fr	-1	relation	35	6	280	0	0	168	168
pso	ticketlock.yml	base	-1	loc	-1	relation	35	72	280	0	0	432	280
pso	ticketlock.yml	base	-1	po	-1	relation	35	114	280	0	0	600	280
pso	ticketlock.yml	base	-1	rf	-1	relation	35	8	280	0	0	176	176
pso	ticketlock.yml	base	-1	rmw	-1	relation	35	2	280	0	0	152	152
pso	ticketlock.yml	base	-1	tc	-1	relation	35	3	280	0	0	156	156
pso	ticketlock.yml	base	-1	tj	-1	relation	35	1	280	0	0	148	148
pso	ticketlock.yml	predicate	0	com	2	relation	35	19	280	2	0	220	220
pso	ticketlock.yml	predicate	1	ww_loc	5	relation	35	0	280	2	0	144	144
pso	ticketlock.yml	predicate	2	ppo	2	relation	35	35	280	2	0	284	280
pso	ticketlock.yml	predicate	3	lifecycle	2	relation	35	81	280	2	0	468	280
pso	ticketlock.yml	predicate	4	order	2	relation	35	130	280	2	0	664	280
pso	ticketlock.yml	predicate	5	reach	12	relation	35	229	280	2	0	1060	280
pso	ticketlock.yml	predicate	6	rf	0	relation	35	8	280	0	0	176	176
pso	ticketlock.yml	predicate	7	ext	0	relation	35	852	280	0	0	3552	280
pso	ticketlock.yml	predicate	8	rfe	5	relation	35	6	280	2	0	168	168
pso	ticketlock.yml	predicate	9	fr	0	relation	35	6	280	0	0	168	168
pso	ticketlock.yml	predicate	10	co	0	relation	35	7	280	0	0	172	172
pso	ticketlock.yml	predicate	11	W	0	set	35	14	8	0	0	5	5
pso	ticketlock.yml	predicate	12	po	0	relation	35	114	280	0	0	600	280
pso	ticketlock.yml	predicate	13	loc	0	relation	35	72	280	0	0	432	280
pso	ticketlock.yml	predicate	14	R	0	set	35	8	8	0	0	5	5
pso	ticketlock.yml	predicate	15	F	0	set	35	0	8	0	0	5	5
pso	ticketlock.yml	predicate	16	SC	0	set	35	6	8	0	0	5	5
pso	ticketlock.yml	predicate	17	tc	0	relation	35	3	280	0	0	156	156
pso	ticketlock.yml	predicate	18	tj	0	relation	35	1	280	0	0	148	148
pso	ticketlock.yml	predicate	19	rmw	0	relation	35	2	280	0	0	152	152
pso	ticketlock.yml	predicate	20	fre	5	relation	35	1	280	2	0	148	148
pso	ticketlock.yml	predicate	21	coe	5	relation	35	7	280	2	0	172	172
pso	ticketlock.yml	predicate	22	$n0	2	relation	35	12	280	2	0	192	192
pso	ticketlock.yml	predicate	23	$n1	7	relation	35	14	280	2	0	200	200
pso	ticketlock.yml	predicate	24	$n2	3	relation	35	35	280	2	0	284	280
pso	ticketlock.yml	predicate	25	$n3	7	relation	35	14	280	2	0	200	200
pso	ticketlock.yml	predicate	26	$n4	3	relation	35	9	280	2	0	180	180
pso	ticketlock.yml	predicate	27	$n5	7	relation	35	8	280	2	0	176	176
pso	ticketlock.yml	predicate	28	$n6	3	relation	35	32	280	2	0	272	272
pso	ticketlock.yml	predicate	29	$n7	2	relation	35	32	280	2	0	272	272
pso	ticketlock.yml	predicate	30	$n8	7	relation	35	0	280	2	0	144	144
pso	ticketlock.yml	predicate	31	$n9	3	relation	35	0	280	2	0	144	144
pso	ticketlock.yml	predicate	32	$n10	3	relation	35	0	280	2	0	144	144
pso	ticketlock.yml	predicate	33	$n11	2	relation	35	32	280	2	0	272	272
pso	ticketlock.yml	predicate	34	$n12	5	set	35	2	8	2	0	5	5
pso	ticketlock.yml	predicate	35	$n13	7	relation	35	2	280	2	0	152	152
pso	ticketlock.yml	predicate	36	$n14	3	relation	35	9	280	2	0	180	180
pso	ticketlock.yml	predicate	37	$n15	7	relation	35	6	280	2	0	168	168
pso	ticketlock.yml	predicate	38	$n16	3	relation	35	3	280	2	0	156	156
pso	ticketlock.yml	predicate	39	$n17	11	relation	35	148	280	2	0	736	280
pso	ticketlock.yml	predicate	40	$n18	3	relation	35	12	280	2	0	192	192
pso	ticketlock.yml	predicate	41	$n19	11	relation	35	148	280	2	0	736	280
pso	ticketlock.yml	predicate	42	$n20	3	relation	35	48	280	2	0	336	280
pso	ticketlock.yml	predicate	43	$n21	11	relation	35	148	280	2	0	736	280
pso	ticketlock.yml	predicate	44	$n22	3	relation	35	11	280	2	0	188	188
pso	ticketlock.yml	predicate	45	$n23	11	relation	35	148	280	2	0	736	280
pso	ticketlock.yml	predicate	46	$n24	3	relation	35	33	280	2	0	276	276
pso	ticketlock.yml	predicate	47	$n25	2	relation	35	116	280	2	0	608	280
pso	ticketlock.yml	predicate	48	$n26	3	relation	35	0	280	2	0	144	144
pso	ticketlock.yml	predicate	49	$n27	5	relation	35	0	280	2	0	144	144
pso	ticketlock.yml	predicate	50	$n28	5	relation	35	8	280	2	0	176	176
pso	ticketlock.yml	predicate	51	$n29	2	relation	35	14	280	2	0	200	200
pso	ticketlock.yml	predicate	52	$n30	2	relation	35	15	280	2	0	204	204
pso	ticketlock.yml	predicate	53	$n31	2	relation	35	22	280	2	0	232	232
pso	rec_ticketlock.yml	base	-1	F	-1	set	52	0	8	0	0	7	7
pso	rec_ticketlock.yml	base	-1	R	-1	set	52	17	8	0	0	7	7
pso	rec_ticketlock.yml	base	-1	SC	-1	set	52	11	8	0	0	7	7
pso	rec_ticketlock.yml	base	-1	W	-1	set	52	22	8	0	0	7	7
pso	rec_ticketlock.yml	base	-1	co	-1	relation	52	17	416	0	0	280	280
pso	rec_ticketlock.yml	base	-1	ext	-1	relation	52	1756	416	0	0	7236	416
pso	rec_ticketlock.yml	base	-1	fr	-1	relation	52	19	416	0	0	288	288
pso	rec_ticketlock.yml	base	-1	loc	-1	relation	52	189	416	0	0	968	416
pso	rec_ticketlock.yml	base	-1	po	-1	relation	52	361	416	0	0	1656	416
pso	rec_ticketlock.yml	base	-1	rf	-1	relation	52	17	416	0	0	280	280
pso	rec_ticketlock.yml	base	-1	rmw	-1	relation	52	2	416	0	0	220	220
pso	rec_ticketlock.yml	base	-1	tc	-1	relation	52	3	416	0	0	224	224
pso	rec_ticketlock.yml	base	-1	tj	-1	relation	52	1	416	0	0	216	216
pso	rec_ticketlock.yml	predicate	0	com	2	relation	52	45	416	4	0	392	392
pso	rec_ticketlock.yml	predicate	1	ww_loc	5	relation	52	4	416	4	0	228	228
pso	rec_ticketlock.yml	predicate	2	ppo	2	relation	52	185	416	4	0	952	416
pso	rec_ticketlock.yml	predicate	3	lifecycle	2	relation	52	155	416	4	0	832	416
pso	rec_ticketlock.yml	predicate	4	order	2	relation	52	365	416	4	0	1672	416
pso	rec_ticketlock.yml	predicate	5	reach	12	relation	52	649	416	4	0	2808	416
pso	rec_ticketlock.yml	predicate	6	rf	0	relation	52	17	416	0	0	280	280
pso	rec_ticketlock.yml	predicate	7	ext	0	relation	52	1756	416	0	0	7236	416
pso	rec_ticketlock.yml	predicate	8	rfe	5	relation	52	9	416	4	0	248	248
pso	rec_ticketlock.yml	predicate	9	fr	0	relation	52	19	416	0	0	288	288
pso	rec_ticketlock.yml	predicate	10	co	0	relation	52	17	416	0	0	280	280
pso	rec_ticketlock.yml	predicate	11	W	0	set	52	22	8	0	0	7	7
pso	rec_ticketlock.yml	predicate	12	po	0	relation	52	361	416	0	0	1656	416
pso	rec_ticketlock.yml	predicate	13	loc	0	relation	52	189	416	0	0	968	416
pso	rec_ticketlock.yml	predicate	14	R	0	set	52	17	8	0	0	7	7
pso	rec_ticketlock.yml	predicate	15	F	0	set	52	0	8	0	0	7	7
pso	rec_ticketlock.yml	predicate	16	SC	0	set	52	11	8	0	0	7	7
pso	rec_ticketlock.yml	predicate	17	tc	0	relation	52	3	416	0	0	224	224
pso	rec_ticketlock.yml	predicate	18	tj	0	relation	52	1	416	0	0	216	216
pso	rec_ticketlock.yml	predicate	19	rmw	0	relation	52	2	416	0	0	220	220
pso	rec_ticketlock.yml	predicate	20	fre	5	relation	52	3	416	4	0	224	224
pso	rec_ticketlock.yml	predicate	21	coe	5	relation	52	13	416	4	0	264	264
pso	rec_ticketlock.yml	predicate	22	$n0	2	relation	52	28	416	4	0	324	324
pso	rec_ticketlock.yml	predicate	23	$n1	7	relation	52	22	416	4	0	300	300
pso	rec_ticketlock.yml	predicate	24	$n2	3	relation	52	129	416	4	0	728	416
pso	rec_ticketlock.yml	predicate	25	$n3	7	relation	52	22	416	4	0	300	300
pso	rec_ticketlock.yml	predicate	26	$n4	3	relation	52	48	416	4	0	404	404
pso	rec_ticketlock.yml	predicate	27	$n5	7	relation	52	17	416	4	0	280	280
pso	rec_ticketlock.yml	predicate	28	$n6	3	relation	52	170	416	4	0	892	416
pso	rec_ticketlock.yml	predicate	29	$n7	2	relation	52	174	416	4	0	908	416
pso	rec_ticketlock.yml	predicate	30	$n8	7	relation	52	0	416	4	0	212	212
