variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.071329472	0.07565395103301853	25993216		151377	22	1616	1616	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.067887402	0.07386198797030374	26066944		110746	16	1184	1184	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.070246386	0.07390866195783019	26062848		27551	8	608	608	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.071070212	0.07826767797814682	25989120		23181	8	608	608	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.070298006	0.07859354099491611	25960448		362504	23	1688	1688	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.065131101	0.07071012601954862	25997312		0	0	0	0	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.064935927	0.07231003796914592	25952256		27509	13	968	968	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.071581502	0.0746183919836767	26075136		26204	13	968	968	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.068179589	0.07215821999125183	26058752		0	0	0	0	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.070910038	0.07535841199569404	26103808		218504	24	1760	1760	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.123460677	0.13088701100787148	26087424		9634147	57	4136	4136	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.073275609	0.07643090700730681	26001408		142165	22	1616	1616	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.289220155	0.2946228999644518	26075136		37685092	61	4424	4424	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.073431668	0.07889650802826509	26079232		1294107	36	2624	2624	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.07112682	0.07782329601468518	26075136		370130	26	1904	1904	1	optimization-analysis/continuous/structural-primitive-views/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_03-13-26.results.caat-pso.structural-views.unreach-call.xml.bz2
