backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.059716549	0.06761235697194934	25960448	0		2026-07-15T03:55:28.773295+00:00	2		21	22	10	1616	1616	256	580498	9	11
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.085436056	0.09042910498101264	26062848	0		2026-07-15T03:55:28.614529+00:00	2		15	16	7	1184	1184	136	612244	9	11
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.071391927	0.0769964360515587	25956352	42		2026-07-15T03:55:28.588564+00:00	0		8	8	0	608	608	34	531250	0	1
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.072291922	0.07486733701080084	25956352	42		2026-07-15T03:55:28.579197+00:00	0		8	8	0	608	608	34	531250	0	1
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.069315601	0.07660249003674835	26009600	0		2026-07-15T03:55:28.767329+00:00	3		22	23	15	1688	1688	254	642857	32	35
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.073023106	0.07811169698834419	26062848	42		2026-07-15T03:55:28.709867+00:00	0		0	0	0	0	0	0	0	0	0
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.072283059	0.07971398899098858	25956352	42		2026-07-15T03:55:28.678801+00:00	0		13	13	0	968	968	108	639053	0	1
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.057065125	0.06367532402509823	25944064	42		2026-07-15T03:55:28.715489+00:00	0		13	13	0	968	968	108	639053	0	1
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.072159801	0.07426907296758145	26058752	42		2026-07-15T03:55:28.691815+00:00	0		0	0	0	0	0	0	0	0	0
caat-pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.063431438	0.0732083180337213	25956352	0		2026-07-15T03:55:28.880599+00:00	2		23	24	15	1760	1760	288	632812	17	19
caat-pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.403284429	0.40902514301706105	26103808	0		2026-07-15T03:55:28.983619+00:00	7		56	57	46	4136	8272	1798	606481	334	432
