backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.08144906	0.08662272000219673	25972736	0		2026-07-15T04:47:43.443833+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.079890974	0.08695967902895063	25960448	0		2026-07-15T04:47:43.169375+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.091644316	0.09490007301792502	26038272	42		2026-07-15T04:47:43.141604+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.078051968	0.08035236696014181	25948160	42		2026-07-15T04:47:43.126946+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.085650497	0.09188954101409763	25997312	0		2026-07-15T04:47:43.412551+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.066925365	0.07610662304796278	25956352	42		2026-07-15T04:47:43.296267+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.08019107	0.08805176202440634	25956352	42		2026-07-15T04:47:43.256520+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.064205975	0.07276760099921376	25952256	42		2026-07-15T04:47:43.346728+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.06794762	0.07365661597577855	25939968	42		2026-07-15T04:47:43.316674+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.068580948	0.07521758996881545	25997312	0		2026-07-15T04:47:43.542702+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.137813546	0.14338240795768797	26091520	0		2026-07-15T04:47:43.639665+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.066984511	0.07170994498301297	26005504	0		2026-07-15T04:47:43.476816+00:00											
