backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.066354274	0.07222728698980063	25960448	0		2026-07-15T04:44:20.881175+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.080080987	0.08779518696246669	26001408	0		2026-07-15T04:44:20.696986+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.067750501	0.07580554904416203	25968640	42		2026-07-15T04:44:20.664788+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.075230953	0.0803172419546172	25956352	42		2026-07-15T04:44:20.647828+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.070570992	0.08534517901716754	26087424	0		2026-07-15T04:44:20.888484+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.090805617	0.09293710702331737	26005504	42		2026-07-15T04:44:20.831055+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.063612392	0.07207538496004418	25960448	42		2026-07-15T04:44:20.800957+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.070049835	0.077591830980964	25960448	42		2026-07-15T04:44:20.845383+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.072887384	0.08254946395754814	26087424	42		2026-07-15T04:44:20.810796+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.069113888	0.07811022299574688	26050560	0		2026-07-15T04:44:21.031817+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.151479699	0.15864510100800544	26025984	0		2026-07-15T04:44:21.110348+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.066049885	0.07397339097224176	25960448	0		2026-07-15T04:44:20.948433+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.347019959	0.3575974740087986	26087424	0		2026-07-15T04:44:21.190915+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.072455842	0.08341267699142918	26087424	0		2026-07-15T04:44:21.089249+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.070939328	0.07536105200415477	25956352	0		2026-07-15T04:44:21.038742+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true	true	correct	0.073202861	0.07997259899275377	25964544	0		2026-07-15T04:44:21.015988+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.078722818	0.0842573189875111	26030080	0		2026-07-15T04:44:21.053300+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.071002955	0.0739909530384466	25956352	0		2026-07-15T04:44:20.918977+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.065114341	0.07367598795099184	25960448	0		2026-07-15T04:44:21.066432+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	unreach-call	true	true	correct	0.079338804	0.08552906702971086	25968640	0		2026-07-15T04:44:20.720937+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	unreach-call	true	true	correct	0.06582364	0.07236936205299571	25960448	0		2026-07-15T04:44:20.678273+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	unreach-call	true	true	correct	0.069148148	0.076896476035472	25968640	0		2026-07-15T04:44:20.750834+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	unreach-call	true	true	correct	0.066489289	0.07661905896384269	25948160	0		2026-07-15T04:44:20.779510+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	unreach-call	true	true	correct	0.082026154	0.08799221395747736	25968640	0		2026-07-15T04:44:20.597172+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.064398825	0.07001571799628437	25960448	42		2026-07-15T04:44:20.585895+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.070756612	0.07997722004074603	25890816	42		2026-07-15T04:44:20.571877+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	unreach-call	true	true	correct	0.079744496	0.08832337299827486	25956352	0		2026-07-15T04:44:20.897909+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	unreach-call	true	true	correct	0.068120004	0.0748482949566096	25952256	0		2026-07-15T04:44:20.633093+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	unreach-call	true	true	correct	0.06579376	0.0723974279826507	26025984	0		2026-07-15T04:44:20.867424+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	unreach-call	true	true	correct	0.079352058	0.08147843898041174	25952256	0		2026-07-15T04:44:20.546894+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	unreach-call	true	true	correct	0.063359309	0.06837483198614791	25952256	0		2026-07-15T04:44:20.536093+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	unreach-call	true	true	correct	0.066720301	0.07577567000407726	25894912	0		2026-07-15T04:44:20.523626+00:00											
caat-pso	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	unreach-call	true	true	correct	0.076224466	0.07990949699888006	25968640	0		2026-07-15T04:44:20.613865+00:00											
