backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.072175864	0.07736492698313668	25952256	0		2026-07-15T04:25:15.122036+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.075272323	0.18238914699759334	26095616	0		2026-07-15T04:26:32.174702+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.06507907	0.07341867801733315	26005504	0		2026-07-15T04:27:47.716541+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.073394515	0.09756505797849968	26017792	0		2026-07-15T04:25:14.840089+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.071280492	0.23210673598805442	26042368	0		2026-07-15T04:26:31.832767+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.070551919	0.08746499702101573	26030080	0		2026-07-15T04:27:47.497848+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.076896624	0.09153754700673744	25939968	42		2026-07-15T04:25:14.774588+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.074445754	0.11018069001147524	26009600	42		2026-07-15T04:26:31.590789+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.065637083	0.09533192199887708	25997312	42		2026-07-15T04:27:47.389580+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.072926661	0.10047785297501832	25993216	42		2026-07-15T04:25:14.758711+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.072374837	0.1319152659852989	25952256	42		2026-07-15T04:26:31.067587+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.067290636	0.08072032401105389	25935872	42		2026-07-15T04:27:47.348200+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.073585699	0.11864619998959824	25960448	0		2026-07-15T04:25:15.174098+00:00	3										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.072142206	0.15739485796075314	26046464	0		2026-07-15T04:26:31.753837+00:00	3										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.074420677	0.11314738699002191	26009600	0		2026-07-15T04:27:47.710125+00:00	3										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.073864403	0.09269948699511588	25935872	42		2026-07-15T04:25:14.968092+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.073531365	0.16238960495684296	25964544	42		2026-07-15T04:26:31.666159+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.072130882	0.0893983690184541	25944064	42		2026-07-15T04:27:47.569371+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.074232007	0.09616911999182776	25956352	42		2026-07-15T04:25:14.929980+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.069349003	0.08196586300618947	25952256	42		2026-07-15T04:26:31.523341+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.071321958	0.12118132598698139	25993216	42		2026-07-15T04:27:47.415706+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.071269397	0.0795832010335289	26001408	42		2026-07-15T04:25:14.992201+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.078664759	0.3135510460124351	26050560	42		2026-07-15T04:26:32.081020+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.065997006	0.07721623399993405	26054656	42		2026-07-15T04:27:47.614509+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.074915726	0.10986367001896724	25989120	42		2026-07-15T04:25:14.963719+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.075525704	0.09119804197689518	25960448	42		2026-07-15T04:26:31.560376+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.066105503	0.10833951400127262	25960448	42		2026-07-15T04:27:47.479674+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.077274916	0.14789149799617007	25956352	0		2026-07-15T04:25:15.264989+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.078867881	0.24032324098516256	26038272	0		2026-07-15T04:26:31.962079+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.066007176	0.07765675499103963	26062848	0		2026-07-15T04:27:48.115513+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.138570759	0.16662582999560982	26079232	0		2026-07-15T04:25:15.590078+00:00	7										
caat-pso	r02	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.146576371	0.23874390899436548	25989120	0		2026-07-15T04:26:32.754805+00:00	7										
caat-pso	r03	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.137748719	0.15040071198018268	26091520	0		2026-07-15T04:27:48.266537+00:00	7										
caat-pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.069940296	0.11681757599581033	26038272	0		2026-07-15T04:25:15.218147+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.073024375	0.2880620109499432	26046464	0		2026-07-15T04:26:32.027888+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.072184126	0.12433743698056787	26075136	0		2026-07-15T04:27:47.872489+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.35216009	0.38689792703371495	26079232	0		2026-07-15T04:25:15.867243+00:00	26										
caat-pso	r02	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.349663477	0.37438233103603125	26062848	0		2026-07-15T04:26:32.673200+00:00	26										
caat-pso	r03	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.339840512	0.3506699540303089	26083328	0		2026-07-15T04:27:48.385201+00:00	26										
caat-pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.081217868	0.12446279096184298	25956352	0		2026-07-15T04:25:15.490984+00:00	4										
caat-pso	r02	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.078639904	0.1426428870181553	25964544	0		2026-07-15T04:26:32.303378+00:00	4										
caat-pso	r03	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.078616384	0.11809792503481731	25956352	0		2026-07-15T04:27:48.082856+00:00	4										
caat-pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.073584337	0.1268884310266003	26062848	0		2026-07-15T04:25:15.267320+00:00	2	2									
caat-pso	r02	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.073066232	0.10557035595411435	26030080	0		2026-07-15T04:26:32.833690+00:00	2	2									
caat-pso	r03	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.074497008	0.14674458903027698	26017792	0		2026-07-15T04:27:48.158685+00:00	2	2									
caat-pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true	true	correct	0.080789368	0.09874922200106084	25976832	0		2026-07-15T04:25:15.342001+00:00	4										
caat-pso	r02	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true	true	correct	0.078946548	0.1971180770196952	26021888	0		2026-07-15T04:26:32.004898+00:00	4										
caat-pso	r03	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	unreach-call	true	true	correct	0.070065318	0.079822302039247	25952256	0		2026-07-15T04:27:48.278622+00:00	4										
caat-pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.081394124	0.12239776400383562	26079232	0		2026-07-15T04:25:15.676338+00:00	3	2									
caat-pso	r02	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.077818616	0.18046379100997	25960448	0		2026-07-15T04:26:32.254677+00:00	3	2									
caat-pso	r03	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.072314334	0.12955843500094488	26062848	0		2026-07-15T04:27:48.176808+00:00	3	2									
caat-pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.073802528	0.09984608495142311	26021888	0		2026-07-15T04:25:15.039758+00:00	1	2									
caat-pso	r02	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.074869217	0.2925789610017091	25968640	0		2026-07-15T04:26:32.022417+00:00	1	2									
caat-pso	r03	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	unreach-call	true	true	correct	0.072868486	0.0803492899867706	25956352	0		2026-07-15T04:27:47.813195+00:00	1	2									
caat-pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.076789546	0.15236960002221167	25993216	0		2026-07-15T04:25:15.608512+00:00	1	1									
caat-pso	r02	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.074873217	0.1433025670121424	26050560	0		2026-07-15T04:26:32.323817+00:00	1	1									
caat-pso	r03	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	unreach-call	true	true	correct	0.074759603	0.1678530449862592	26087424	0		2026-07-15T04:27:48.137942+00:00	1	1									
caat-pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	unreach-call	true	true	correct	0.074570043	0.10343291697790846	25972736	0		2026-07-15T04:25:14.845277+00:00	2	2									
