   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/core-direction-review-20260718/finite-skeleton-pthread-wmm.xml
name:                    finite-skeleton-pthread-wmm
run sets:                finite-skeleton.pthread-wmm.unreach-call
date:                    Sat, 2026-07-18 05:52:39 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector
parallel runs:           48
resource limits:
- memory:                4000.0 MB
- time:                  15 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    81923ccee93e
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



finite-skeleton.pthread-wmm.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mix000.oepc.yml                                                                                                                                                        ERROR                            0.08        0.09        None
mix000.opt.yml                                                                                                                                                         ERROR                            0.09        0.09        None
mix001.oepc.yml                                                                                                                                                        ERROR                            0.08        0.09        None
mix001.opt.yml                                                                                                                                                         ERROR                            0.08        0.09        None
mix002.oepc.yml                                                                                                                                                        ERROR                            0.07        0.07        None
mix002.opt.yml                                                                                                                                                         ERROR                            0.08        0.09        None
mix003.oepc.yml                                                                                                                                                        ERROR                            0.08        0.08        None
mix003_power.opt_pso.opt_rmo.opt_tso.opt.yml                                                                                                                           ERROR                            0.09        0.09        None
mix004.oepc.yml                                                                                                                                                        ERROR                            0.08        0.09        None
mix004.opt.yml                                                                                                                                                         ERROR                            0.08        0.08        None
mix005.opt.yml                                                                                                                                                         ERROR                            0.08        0.09        None
mix005_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.09        None
mix005_tso.oepc.yml                                                                                                                                                    ERROR                            0.08        0.08        None
mix006.opt.yml                                                                                                                                                         ERROR                            0.08        0.08        None
mix006_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                ERROR                            0.08        0.08        None
mix006_tso.oepc.yml                                                                                                                                                    ERROR                            0.08        0.09        None
mix007.oepc.yml                                                                                                                                                        ERROR                            0.08        0.08        None
