tool		GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	finite-symbolic.unreach-call	finite-symbolic.unreach-call	finite-symbolic.unreach-call	finite-symbolic.unreach-call	finite-symbolic.unreach-call	finite-symbolic.unreach-call
../../../workspace/svcomp2026-caat/sv-benchmarks/c/		status	category	cputime (s)	walltime (s)	memory (MB)	termination	status	category	cputime (s)	walltime (s)	memory (MB)	termination
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	false	true	wrong	0.064653383	0.06779662700137123	25.956352		ABORTED	error	0.078144006	0.18014985299669206	31.182848	
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	correct	0.066244044	0.06786400500277523	25.960448		ABORTED	error	0.086604734	0.2060775849968195	30.978048	
goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	0.064965723	0.0689649739942979	26.091520		TIMEOUT	error	60.997014634	61.01476014999207	56.074240	cputime
goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	0.067503376	0.07205809999140911	26.091520		TIMEOUT	error	61.002879524	61.012519834999694	65.200128	cputime
goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	0.055706725	0.061727623993647285	26.099712		TIMEOUT	error	60.478071346	61.01593282300746	100.241408	cputime
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	0.068630572	0.07494009801303037	26.083328		TIMEOUT	error	61.004473945	61.013805959009915	69.169152	cputime
goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	0.0657035	0.06772600499971304	26.083328		TIMEOUT	error	60.997677026	61.010116221994394	68.026368	cputime
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml	false	true	wrong	0.068739234	0.07033571100328118	26.042368		TIMEOUT	error	60.997302557	61.01077167100448	70.950912	cputime
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	0.06969183	0.07457885600160807	26.030080		TIMEOUT	error	60.529230252	61.01180054199358	98.885632	cputime
pthread-wmm/safe029_tso.yml	true	true	correct	0.225654801	0.22791425499599427	26.103808		TIMEOUT	error	61.017047038	61.02823986099975	303.898624	cputime
pthread-wmm/safe033_tso.yml	true	true	correct	0.396585546	0.4061034509941237	26.083328		TIMEOUT	error	61.01806049	61.026093886001036	303.087616	cputime
pthread-wmm/safe006_pso.oepc_pso.opt_tso.oepc_tso.opt-thin000_pso.oepc_pso.opt_tso.oepc_tso.opt.yml	true	true	correct	0.229732894	0.23557938200247008	26.095616		TIMEOUT	error	61.017469039	61.02808849400026	301.608960	cputime
pthread-wmm/safe031_tso.yml	true	TIMEOUT	error	60.906759277	61.01119671900233	26.103808	cputime	ABORTED	error	0.082072901	0.19418492699333	31.084544	
pthread-wmm/safe021_tso.yml	true	TIMEOUT	error	60.988335775	61.01097187800042	26.087424	cputime	ABORTED	error	0.081268652	0.21407351999368984	31.133696	
pthread-wmm/safe003_tso.yml	true	TIMEOUT	error	60.993100448	61.008393479991355	26.189824	cputime	ABORTED	error	0.081076525	0.2064989259961294	31.010816	
pthread-wmm/safe028_pso.oepc_pso.opt_tso.oepc_tso.opt.yml	true	TIMEOUT	error	60.919001389	61.00778703499236	26.091520	cputime	ABORTED	error	0.08378397	0.22874786099418998	30.986240	
pthread-wmm/safe007_pso.oepc_pso.opt_tso.oepc_tso.opt-thin001_pso.oepc_pso.opt_tso.oepc_tso.opt.yml	true	TIMEOUT	error	60.884650679	61.0105330790102	26.087424	cputime	ABORTED	error	0.084467362	0.2167646649904782	31.043584	
pthread-wmm/safe033_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	false	false(unreach-call)	correct	0.684846235	0.6908408660092391	26.370048		TIMEOUT	error	60.999419642	61.0327510109928	337.076224	cputime
pthread-wmm/rfi004.yml	false	false(unreach-call)	correct	3.490099943	3.498098904005019	26.353664		TIMEOUT	error	60.837449758	61.03178609099996	346.914816	cputime
pthread-wmm/safe029_power.oepc_pso.oepc_rmo.oepc.yml	false	false(unreach-call)	correct	0.111120456	0.11735211800260004	26.406912		TIMEOUT	error	61.011399415	61.02431450699805	200.925184	cputime
pthread-wmm/mix054_pso.opt_rmo.opt_tso.oepc_tso.opt.yml	false	false(unreach-call)	correct	0.325332706	0.32755126600386575	26.349568		TIMEOUT	error	61.018806812	61.03263588499976	344.293376	cputime
pthread-wmm/safe010_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	false	false(unreach-call)	correct	0.113841041	0.11745234701083973	26.353664		TIMEOUT	error	61.008163185	61.02968468099425	345.812992	cputime
pthread-wmm/mix022_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	false	false(unreach-call)	correct	0.158241088	0.16356777100008912	26.349568		TIMEOUT	error	61.007665378	61.030655050999485	352.792576	cputime
pthread-wmm/mix048_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr000_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.yml	false	false(unreach-call)	correct	0.125509951	0.13078419800149277	26.480640		TIMEOUT	error	61.02349802	61.03185874699557	337.096704	cputime
