   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/core-direction-review-20260718/finite-symbolic-pthread-wmm.xml
name:                    finite-symbolic-pthread-wmm
run sets:                baseline.unreach-call
date:                    Sat, 2026-07-18 08:10:20 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/build-gcc13-release/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    9e06f47da79b
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



baseline.unreach-call
Run set 1 of 2 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats --svcomp-backend=caat-sc' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mix000.oepc.yml                                                                                                                                                        false(unreach-call)              0.21        0.21        None
mix000.opt.yml                                                                                                                                                         false(unreach-call)              2.11        2.12        None
mix001.oepc.yml                                                                                                                                                        TIMEOUT                         60.91       61.01        None
mix001.opt.yml                                                                                                                                                         TIMEOUT                         60.98       61.01        None
mix002.oepc.yml                                                                                                                                                        TIMEOUT                         60.98       61.01        None
mix002.opt.yml                                                                                                                                                         TIMEOUT                         60.99       61.01        None
mix003.oepc.yml                                                                                                                                                        TIMEOUT                         60.96       61.01        None
mix003_power.opt_pso.opt_rmo.opt_tso.opt.yml                                                                                                                           TIMEOUT                         60.72       61.01        None
mix004.oepc.yml                                                                                                                                                        TIMEOUT                         60.97       61.01        None
mix004.opt.yml                                                                                                                                                         TIMEOUT                         60.96       61.01        None
mix005.opt.yml                                                                                                                                                         TIMEOUT                         60.97       61.01        None
mix005_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.98       61.01        None
mix005_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.01        None
mix006.opt.yml                                                                                                                                                         TIMEOUT                         60.98       61.01        None
mix006_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.96       61.01        None
mix006_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.95       61.01        None
mix007.oepc.yml                                                                                                                                                        TIMEOUT                         60.98       61.01        None
