   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/core-direction-review-20260718/finite-symbolic-pthread-wmm.xml
name:                    finite-symbolic-pthread-wmm
run sets:                finite-symbolic.unreach-call
date:                    Sat, 2026-07-18 08:10:20 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/build-gcc13-release/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    9e06f47da79b
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



baseline.unreach-call
Run set 1 of 2: skipped


finite-symbolic.unreach-call
Run set 2 of 2 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats --svcomp-backend=caat-sc --finite-symbolic-errors --finite-symbolic-max=10000' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mix000.oepc.yml                                                                                                                                                        TIMEOUT                         60.78       61.03        None
mix000.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.02        None
mix001.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix001.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix002.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.02        None
mix002.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.03        None
mix003.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix003_power.opt_pso.opt_rmo.opt_tso.opt.yml                                                                                                                           TIMEOUT                         61.01       61.03        None
mix004.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.03        None
mix004.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix005.opt.yml                                                                                                                                                         TIMEOUT                         60.58       61.03        None
mix005_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.03        None
mix005_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.03        None
mix006.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix006_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.02        None
mix006_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.01       61.03        None
mix007.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.03        None
mix007.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.02        None
mix008.opt.yml                                                                                                                                                         TIMEOUT                         60.74       61.03        None
mix008_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.03        None
mix008_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.69       61.03        None
mix009.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.03        None
mix009.opt.yml                                                                                                                                                         TIMEOUT                         60.97       61.03        None
mix010.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.03        None
mix010.opt.yml                                                                                                                                                         TIMEOUT                         60.91       61.02        None
mix011.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix011_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.03        None
mix011_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.71       61.03        None
mix012_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.yml                                                                                                     TIMEOUT                         61.01       61.03        None
mix012_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.02       61.03        None
mix013.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix013.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.02        None
mix014.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.02        None
mix014_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.03        None
mix014_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.53       61.03        None
mix015.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix015.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix016.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.03        None
mix016_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         61.01       61.03        None
mix016_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.01       61.03        None
mix017.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.03        None
mix017_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         60.99       61.03        None
mix017_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.02       61.03        None
mix018.opt.yml                                                                                                                                                         TIMEOUT                         60.61       61.02        None
mix018_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.77       61.03        None
mix018_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.63       61.03        None
mix019.opt.yml                                                                                                                                                         TIMEOUT                         60.92       61.03        None
mix019_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.97       61.02        None
mix019_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.01       61.02        None
mix020.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.03        None
mix020.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.02        None
mix021.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix021_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.86       61.03        None
mix021_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.01       61.03        None
mix022_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      TIMEOUT                         61.01       61.02        None
mix022_tso.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix023_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.99       61.02        None
mix023_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.01       61.03        None
mix023_tso.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix024_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.yml                                                                                                               TIMEOUT                         60.52       61.03        None
mix024_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.02       61.03        None
mix025_power.oepc_power.opt_pso.oepc_rmo.oepc_tso.oepc_tso.opt.yml                                                                                                     TIMEOUT                         61.01       61.03        None
mix025_pso.opt_rmo.opt.yml                                                                                                                                             TIMEOUT                         61.01       61.02        None
mix026.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix026_power.opt_tso.opt.yml                                                                                                                                           TIMEOUT                         61.01       61.03        None
mix026_pso.opt_rmo.opt.yml                                                                                                                                             TIMEOUT                         61.01       61.03        None
mix027_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.67       61.03        None
mix027_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.01       61.02        None
mix027_tso.yml                                                                                                                                                         TIMEOUT                         60.65       61.03        None
mix028_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.99       61.02        None
mix028_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.02       61.03        None
mix028_tso.yml                                                                                                                                                         TIMEOUT                         60.99       61.02        None
mix029_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.yml                                                                                                               TIMEOUT                         61.02       61.03        None
mix029_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.01       61.02        None
mix030_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.98       61.02        None
mix030_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.02       61.03        None
mix030_tso.yml                                                                                                                                                         TIMEOUT                         60.57       61.02        None
mix031.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix031.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.02        None
mix032.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix032.opt.yml                                                                                                                                                         TIMEOUT                         61.02       61.03        None
mix033.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix033_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.03        None
mix033_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.77       61.02        None
mix034_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.yml                                                                                                     TIMEOUT                         61.01       61.02        None
mix034_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.01       61.03        None
mix035.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix035_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         61.01       61.02        None
mix035_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.00       61.02        None
mix036.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
mix036_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         60.67       61.03        None
mix036_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.00       61.03        None
mix037.opt.yml                                                                                                                                                         TIMEOUT                         61.04       61.06        None
mix037_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.79       61.02        None
mix037_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.93       61.03        None
mix038.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix038_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.02       61.03        None
mix038_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.03        None
mix039.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.03        None
mix039.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.02        None
mix040.opt.yml                                                                                                                                                         TIMEOUT                         61.02       61.03        None
mix040_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.02        None
mix040_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.36       61.02        None
mix041_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.02       61.03        None
mix041_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  TIMEOUT                         61.01       61.03        None
mix042.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.03        None
mix042.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix043.oepc.yml                                                                                                                                                        TIMEOUT                         60.61       61.02        None
mix043.opt.yml                                                                                                                                                         TIMEOUT                         61.01       61.03        None
mix044.opt.yml                                                                                                                                                         TIMEOUT                         61.02       61.03        None
mix044_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.03        None
mix044_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.02        None
mix045_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.03        None
mix045_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  TIMEOUT                         61.02       61.03        None
mix046.oepc.yml                                                                                                                                                        TIMEOUT                         60.72       61.03        None
mix046.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.03        None
mix047_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.01       61.04        None
mix047_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  TIMEOUT                         60.53       61.03        None
