task	gate	complete_executions	rvf_quotient_disabled_loads	rvf_loads_attempted
gate-census.control.01b_inc.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.02_inc_cas.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.03_incdec.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.04_incdec_cas.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.08_rand_cas.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.09_fmaxsym-zero.yml	native-fallback reason=control-flow loop outside the current RVF performance gate	0	0	0
gate-census.control.09_fmaxsym.yml	native-fallback reason=control-flow loop outside the current RVF performance gate	0	0	0
gate-census.control.11_fmaxsymopt-zero.yml	native-fallback reason=control-flow loop outside the current RVF performance gate	0	0	0
gate-census.control.11_fmaxsymopt.yml	native-fallback reason=control-flow loop outside the current RVF performance gate	0	0	0
gate-census.control.13-privatized_01-priv_nr_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_04-priv_multi_true.yml	not-recorded	-1	0	0
gate-census.control.13-privatized_18-first-reads_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_18-first-reads_unknown_1_neg.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_18-first-reads_unknown_1_pos.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_18-first-reads_unknown_2_neg.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_18-first-reads_unknown_2_pos.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_19-publish-precision_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	3	0	0
gate-census.control.13-privatized_19-publish-precision_unknown_1_neg.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_19-publish-precision_unknown_1_pos.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_19-publish-precision_unknown_2_neg.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_19-publish-precision_unknown_2_pos.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_20-publish-regression_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_24-multiple-protecting_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	7	0	0
gate-census.control.13-privatized_25-struct_nr_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_27-multiple-protecting2_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	26	0	0
gate-census.control.13-privatized_29-multiple-protecting2-vesal_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	4	0	0
gate-census.control.13-privatized_30-traces-oplus-vs-meet_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_31-traces-mine-vs-mutex_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	4	0	0
gate-census.control.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	3	0	0
gate-census.control.13-privatized_33-traces-v-matters_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	1	0	0
gate-census.control.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	1	0	0
gate-census.control.13-privatized_35-traces-ex-2_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_36-traces-ex-3_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	3	0	0
gate-census.control.13-privatized_37-traces-ex-4_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_38-traces-ex-4-switch_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_40-traces-ex-6_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	1	0	0
gate-census.control.13-privatized_41-traces-ex-7_unknown_1_neg.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_41-traces-ex-7_unknown_1_pos.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	0	0	0
gate-census.control.13-privatized_42-traces-ex-mini_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_44-traces-mine2_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	1	0	0
gate-census.control.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
gate-census.control.13-privatized_46-refine-protected1_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	1	0	0
gate-census.control.13-privatized_47-refine-protected2_true.yml	native-fallback reason=modeled call to __VERIFIER_mutex_lock	2	0	0
