   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/core-direction-review-20260718/decisive-diagnostic-283.xml
name:                    decisive-diagnostic-283
run sets:                recursive-caat-observation-only.pthread-wmm-283
date:                    Sun, 2026-07-19 09:28:47 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    e174c7375735
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



recursive-caat-observation-only.pthread-wmm-283
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mix000.oepc.yml                                                                                                                                                        false(unreach-call)              0.19        0.19        None
mix000.opt.yml                                                                                                                                                         false(unreach-call)              1.74        1.74        None
mix001.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix001.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix002.oepc.yml                                                                                                                                                        false(unreach-call)             52.81       52.82        None
mix002.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix003.oepc.yml                                                                                                                                                        false(unreach-call)             50.52       50.53        None
mix003_power.opt_pso.opt_rmo.opt_tso.opt.yml                                                                                                                           TIMEOUT                         61.00       61.01        None
mix004.oepc.yml                                                                                                                                                        TIMEOUT                         60.86       61.01        None
mix004.opt.yml                                                                                                                                                         TIMEOUT                         60.99       61.01        None
mix005.opt.yml                                                                                                                                                         TIMEOUT                         60.98       61.01        None
mix005_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix005_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.01        None
mix006.opt.yml                                                                                                                                                         TIMEOUT                         60.98       61.01        None
mix006_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)             49.69       49.69        None
mix006_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.77       61.01        None
mix007.oepc.yml                                                                                                                                                        TIMEOUT                         60.63       61.01        None
mix007.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix008.opt.yml                                                                                                                                                         TIMEOUT                         60.99       61.01        None
mix008_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.99       61.01        None
mix008_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix009.oepc.yml                                                                                                                                                        false(unreach-call)              0.16        0.16        None
mix009.opt.yml                                                                                                                                                         false(unreach-call)              3.59        3.60        None
mix010.oepc.yml                                                                                                                                                        TIMEOUT                         60.99       61.01        None
mix010.opt.yml                                                                                                                                                         TIMEOUT                         60.95       61.02        None
mix011.opt.yml                                                                                                                                                         TIMEOUT                         60.85       61.01        None
mix011_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix011_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.01        None
mix012_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.yml                                                                                                     false(unreach-call)              0.15        0.15        None
mix012_pso.opt_tso.opt.yml                                                                                                                                             false(unreach-call)              0.81        0.82        None
mix013.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix013.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix014.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix014_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix014_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix015.oepc.yml                                                                                                                                                        false(unreach-call)             20.33       20.34        None
mix015.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix016.oepc.yml                                                                                                                                                        false(unreach-call)             19.09       19.09        None
mix016_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         60.65       61.01        None
mix016_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.00       61.01        None
mix017.oepc.yml                                                                                                                                                        TIMEOUT                         60.98       61.01        None
mix017_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         61.00       61.01        None
mix017_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.00       61.01        None
mix018.opt.yml                                                                                                                                                         TIMEOUT                         60.81       61.01        None
mix018_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.84       61.01        None
mix018_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix019.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix019_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)             18.98       18.98        None
mix019_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix020.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix020.opt.yml                                                                                                                                                         TIMEOUT                         60.97       61.01        None
mix021.opt.yml                                                                                                                                                         TIMEOUT                         60.73       61.01        None
mix021_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix021_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix022_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      false(unreach-call)              0.15        0.16        None
mix022_tso.yml                                                                                                                                                         false(unreach-call)              0.76        0.76        None
mix023_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix023_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.00       61.01        None
mix023_tso.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix024_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.yml                                                                                                               false(unreach-call)             20.30       20.30        None
mix024_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   TIMEOUT                         61.00       61.01        None
