   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/core-direction-review-20260718/decisive-diagnostic-283.xml
name:                    decisive-diagnostic-283
run sets:                recursive-caat-observation-only.pthread-wmm-283
date:                    Sun, 2026-07-19 09:28:47 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    e174c7375735
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



recursive-caat-observation-only.pthread-wmm-283
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mix000.oepc.yml                                                                                                                                                        false(unreach-call)              0.21        0.21        None
mix000.opt.yml                                                                                                                                                         false(unreach-call)              1.74        1.74        None
mix001.oepc.yml                                                                                                                                                        false(unreach-call)             59.69       59.71        None
mix001.opt.yml                                                                                                                                                         TIMEOUT                         60.82       61.01        None
mix002.oepc.yml                                                                                                                                                        false(unreach-call)             51.06       51.07        None
mix002.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix003.oepc.yml                                                                                                                                                        false(unreach-call)             48.93       48.94        None
mix003_power.opt_pso.opt_rmo.opt_tso.opt.yml                                                                                                                           TIMEOUT                         60.98       61.01        None
mix004.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix004.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix005.opt.yml                                                                                                                                                         TIMEOUT                         60.84       61.01        None
mix005_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.98       61.01        None
mix005_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix006.opt.yml                                                                                                                                                         TIMEOUT                         60.97       61.01        None
mix006_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)             48.46       48.48        None
mix006_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.98       61.01        None
