   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/experiments/caat-optimization/core-p1-phase-census-20260719a/source-dev/optimization-analysis/core-direction-review-20260718/p1-cumulative-paired-725.xml
name:                    p1-cumulative-paired-725
run sets:                p1-cumulative-paired-725.unreach-call
date:                    Mon, 2026-07-20 02:42:41 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/experiments/caat-optimization/core-p1-phase-census-20260719a/source-dev/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats
parallel runs:           24
resource limits:
- memory:                12000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                12000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    8814512c99ce
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



p1-cumulative-paired-725.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats --svcomp-backend=caat-sc' and propertyfile 'None'

inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                                                                                                           true                             0.06        0.07        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml                                                                                                             true                             0.07        0.07        None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                                                                                                 true                             0.07        0.07        None
goblint-regression/13-privatized_46-refine-protected1_true.yml                                                                                                                     true                             0.07        0.07        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml                                                                                                                  false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_40-traces-ex-6_true.yml                                                                                                                           true                             0.07        0.07        None
goblint-regression/13-privatized_44-traces-mine2_true.yml                                                                                                                          true                             0.07        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml                                                                                                                  false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml                                                                                                                  true                             0.07        0.07        None
goblint-regression/13-privatized_36-traces-ex-3_true.yml                                                                                                                           true                             0.07        0.07        None
goblint-regression/13-privatized_35-traces-ex-2_true.yml                                                                                                                           true                             0.07        0.07        None
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml                                                                                                                    true                             0.07        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml                                                                                                            false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml                                                                                                            false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_01-priv_nr_true.yml                                                                                                                               true                             0.07        0.07        None
goblint-regression/13-privatized_42-traces-ex-mini_true.yml                                                                                                                        true                             0.06        0.06        None
goblint-regression/13-privatized_25-struct_nr_true.yml                                                                                                                             true                             0.06        0.06        None
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml                                                                                                                 true                             0.07        0.08        None
goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml                                                                                                                  true                             0.06        0.06        None
goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml                                                                                                                  true                             0.07        0.07        None
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml                                                                                                        true                             0.07        0.07        None
goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml                                                                                                            true                             0.06        0.07        None
weaver/test-semi1.wvr.yml                                                                                                                                                          true                             0.06        0.06        None
weaver/test-easy11.wvr.yml                                                                                                                                                         TIMEOUT                        121.00      121.01        None
weaver/test-easy7.wvr.yml                                                                                                                                                          true                             0.05        0.06        None
weaver/test-easy1.wvr.yml                                                                                                                                                          true                             0.05        0.06        None
weaver/popl20-figure1-alt.wvr.yml                                                                                                                                                  true                             0.06        0.06        None
weaver/popl20-figure3.wvr.yml                                                                                                                                                      TIMEOUT                        121.01      121.02        None
weaver/test-easy8.wvr.yml                                                                                                                                                          true                             0.06        0.07        None
weaver/parallel-misc-2-unrolled.wvr.yml                                                                                                                                            true                             0.06        0.06        None
weaver/parallel-simple-equiv.wvr.yml                                                                                                                                               true                             0.05        0.06        None
weaver/parallel-ticket-2.wvr.yml                                                                                                                                                   true                             0.06        0.07        None
weaver/mult-dist.wvr.yml                                                                                                                                                           OUT OF MEMORY                   32.14       32.15        None
weaver/clever.wvr.yml                                                                                                                                                              true                             0.06        0.06        None
weaver/popl20-more-nonblocking-counter-alt2.wvr.yml                                                                                                                                TIMEOUT                        120.99      121.02        None
weaver/popl20-counter-determinism.wvr.yml                                                                                                                                          true                             0.06        0.06        None
weaver/parallel-misc-2.wvr.yml                                                                                                                                                     true                             0.06        0.06        None
weaver/parallel-misc-2-unrolled-atomic.wvr.yml                                                                                                                                     true                             0.07        0.07        None
weaver/chl-sre-trans.wvr.yml                                                                                                                                                       true                             0.05        0.06        None
weaver/spaghetti.wvr.yml                                                                                                                                                           TIMEOUT                        120.99      121.02        None
weaver/chl-sre-subst.wvr.yml                                                                                                                                                       true                             0.05        0.06        None
weaver/chl-simpl-str-symm.wvr.yml                                                                                                                                                  true                             0.05        0.06        None
weaver/popl20-bad-threaded-sum-2.wvr.yml                                                                                                                                           TIMEOUT                        120.99      121.01        None
weaver/test-easy10.wvr.yml                                                                                                                                                         true                             0.06        0.06        None
weaver/parallel-bakery-2.wvr.yml                                                                                                                                                   true                             0.06        0.06        None
weaver/popl20-mult-equiv.wvr.yml                                                                                                                                                   TIMEOUT                        120.57      121.02        None
weaver/popl20-proofs-counter-add-4-semi-Q67.wvr.yml                                                                                                                                true                             0.05        0.06        None
weaver/chl-time-symm.wvr.yml                                                                                                                                                       true                             0.05        0.06        None
weaver/bench-exp3x3.wvr.yml                                                                                                                                                        true                             0.06        0.07        None
weaver/popl20-channel-sum.wvr.yml                                                                                                                                                  true                             0.05        0.06        None
weaver/popl20-bad-counter-queue.wvr.yml                                                                                                                                            true                             0.06        0.06        None
weaver/test-context1.wvr.yml                                                                                                                                                       true                             0.06        0.06        None
weaver/chl-match-symm.wvr.yml                                                                                                                                                      true                             0.06        0.06        None
weaver/popl20-more-sorted.wvr.yml                                                                                                                                                  true                             0.06        0.06        None
weaver/parallel-ticket-5.wvr.yml                                                                                                                                                   true                             0.06        0.06        None
weaver/chl-exp-term-symm.wvr.yml                                                                                                                                                   true                             0.06        0.06        None
weaver/popl20-more-array-sum-alt.wvr.yml                                                                                                                                           true                             0.06        0.07        None
weaver/unroll-3.wvr.yml                                                                                                                                                            true                             0.06        0.06        None
weaver/chl-chromosome-opt-symm.wvr.yml                                                                                                                                             true                             0.06        0.06        None
weaver/popl20-more-min-array.wvr.yml                                                                                                                                               true                             0.06        0.06        None
weaver/popl20-bad-counter-queue2.wvr.yml                                                                                                                                           true                             0.06        0.06        None
weaver/bench-exp3x3-opt.wvr.yml                                                                                                                                                    true                             0.06        0.06        None
weaver/popl20-more-min-array-hom.wvr.yml                                                                                                                                           true                             0.06        0.06        None
weaver/loop-tiling-eq.wvr.yml                                                                                                                                                      true                             0.06        0.06        None
weaver/unroll-cond-3.wvr.yml                                                                                                                                                       true                             0.06        0.06        None
weaver/popl20-send-receive-alt.wvr.yml                                                                                                                                             true                             0.06        0.06        None
weaver/popl20-threaded-sum-3.wvr.yml                                                                                                                                               TIMEOUT                        120.99      121.01        None
weaver/popl20-counter-fun.wvr.yml                                                                                                                                                  true                             0.06        0.06        None
weaver/popl20-more-array-sum-alt2.wvr.yml                                                                                                                                          true                             0.06        0.06        None
weaver/popl20-min-max-inc.wvr.yml                                                                                                                                                  true                             0.06        0.06        None
weaver/popl20-more-mts.wvr.yml                                                                                                                                                     true                             0.06        0.06        None
weaver/parallel-misc-5.wvr.yml                                                                                                                                                     true                             0.06        0.06        None
weaver/chl-time-subst.wvr.yml                                                                                                                                                      true                             0.06        0.06        None
weaver/popl20-more-array-sum2.wvr.yml                                                                                                                                              true                             0.06        0.07        None
weaver/chl-match-trans.wvr.yml                                                                                                                                                     true                             0.06        0.06        None
weaver/chl-chromosome-symm.wvr.yml                                                                                                                                                 true                             0.06        0.06        None
weaver/popl20-more-queue-add-2-nl.wvr.yml                                                                                                                                          OUT OF MEMORY                   45.23       45.23        None
weaver/chl-match-subst.wvr.yml                                                                                                                                                     true                             0.05        0.06        None
weaver/parallel-ticket-7.wvr.yml                                                                                                                                                   true                             0.06        0.06        None
weaver/parallel-misc-1.wvr.yml                                                                                                                                                     true                             0.06        0.06        None
weaver/popl20-more-inc-subseq.wvr.yml                                                                                                                                              true                             0.06        0.06        None
weaver/chl-array-int-subst.wvr.yml                                                                                                                                                 true                             0.06        0.06        None
weaver/popl20-three-array-min.wvr.yml                                                                                                                                              true                             0.06        0.06        None
weaver/popl20-three-array-max.wvr.yml                                                                                                                                              true                             0.06        0.06        None
weaver/popl20-bad-dot-product.wvr.yml                                                                                                                                              true                             0.06        0.06        None
weaver/parallel-barrier.wvr.yml                                                                                                                                                    true                             0.05        0.06        None
weaver/test-hard1.wvr.yml                                                                                                                                                          true                             0.05        0.06        None
weaver/parallel-ticket-8.wvr.yml                                                                                                                                                   true                             0.06        0.07        None
weaver/chl-chromosome-subst.wvr.yml                                                                                                                                                true                             0.06        0.07        None
weaver/parallel-bakery-3.wvr.yml                                                                                                                                                   true                             0.06        0.06        None
weaver/chl-collitem-trans.wvr.yml                                                                                                                                                  true                             0.06        0.06        None
weaver/chl-collitem-subst.wvr.yml                                                                                                                                                  true                             0.06        0.07        None
weaver/popl20-horseshoe.wvr.yml                                                                                                                                                    OUT OF MEMORY                   46.16       46.38        None
weaver/popl20-more-queue-add-3-nl.wvr.yml                                                                                                                                          OUT OF MEMORY                   46.16       46.18        None
weaver/parallel-parallel-sum-1.wvr.yml                                                                                                                                             true                             0.06        0.06        None
weaver/popl20-bad-ring.wvr.yml                                                                                                                                                     true                             0.06        0.06        None
weaver/popl20-prod-cons3.wvr.yml                                                                                                                                                   true                             0.06        0.06        None
weaver/popl20-more-buffer-mult2.wvr.yml                                                                                                                                            OUT OF MEMORY                   47.10       47.23        None
weaver/popl20-more-buffer-mult.wvr.yml                                                                                                                                             OUT OF MEMORY                   46.65       46.66        None
weaver/popl20-more-buffer-series2.wvr.yml                                                                                                                                          true                             0.06        0.06        None
weaver/parallel-parallel-sum-2.wvr.yml                                                                                                                                             true                             0.07        0.07        None
weaver/popl20-bad-buffer-mult-alt.wvr.yml                                                                                                                                          OUT OF MEMORY                   45.79       45.80        None
weaver/popl20-more-buffer-series.wvr.yml                                                                                                                                           true                             0.06        0.07        None
weaver/parallel-parallel-sum-1-dsl.wvr.yml                                                                                                                                         true                             0.07        0.07        None
weaver/parallel-bakery-4.wvr.yml                                                                                                                                                   true                             0.07        0.07        None
weaver/chl-name-comparator-trans.wvr.yml                                                                                                                                           true                             0.06        0.07        None
weaver/chl-nzb-file-symm.wvr.yml                                                                                                                                                   true                             0.08        0.08        None
weaver/popl20-commit-2.wvr.yml                                                                                                                                                     true                             0.09        0.09        None
weaver/popl20-bad-commit-2.wvr-bad.yml                                                                                                                                             true                             0.06        0.07        None
weaver/chl-poker-hand-symm.wvr.yml                                                                                                                                                 true                             0.08        0.09        None
weaver/chl-poker-hand-subst.wvr.yml                                                                                                                                                true                             0.11        0.11        None
pthread-atomic/read_write_lock-1.yml                                                                                                                                               true                             0.07        0.07        None
pthread-ext/29_conditionals_vs.yml                                                                                                                                                 true                             0.06        0.07        None
pthread-ext/46_monabsex2_vs.yml                                                                                                                                                    true                             0.06        0.07        None
pthread-divine/tls_destructor_worker.yml                                                                                                                                           ERROR (compilation)              0.06        0.06        None
pthread/stateful01-1.yml                                                                                                                                                           false(unreach-call)              0.06        0.06        None
pthread-atomic/time_var_mutex.yml                                                                                                                                                  true                             0.07        0.07        None
pthread-ext/40_barrier_vf.yml                                                                                                                                                      ERROR (compilation)              0.06        0.06        None
pthread/triangular-2.yml                                                                                                                                                           false(unreach-call)              1.10        1.10        None
pthread/triangular-longer-1.yml                                                                                                                                                    TIMEOUT                        120.98      121.01        None
pthread/triangular-longest-1.yml                                                                                                                                                   TIMEOUT                        121.00      121.01        None
pthread/triangular-longest-2.yml                                                                                                                                                   TIMEOUT                        120.97      121.01        None
pthread-ext/36_stack_cas_p0_vs_concur.yml                                                                                                                                          true                             0.07        0.08        None
pthread-ext/18_read_write_lock.yml                                                                                                                                                 true                             0.07        0.07        None
pthread-ext/09_fmaxsym.yml                                                                                                                                                         true                             0.06        0.07        None
goblint-regression/28-race_reach_22-deref_read_racefree.yml                                                                                                                        ERROR (unsupported property: invalid memory access)        3.02        3.03        None
goblint-regression/28-race_reach_45-escape_racing.yml                                                                                                                              false(unreach-call)              0.06        0.07        None
pthread-ext/39_rand_lock_p0_vs.yml                                                                                                                                                 true                             0.06        0.06        None
goblint-regression/28-race_reach_41-trylock_racefree.yml                                                                                                                           TIMEOUT                        121.27      121.30        None
goblint-regression/28-race_reach_36-indirect_racefree.yml                                                                                                                          TIMEOUT                        121.16      121.30        None
goblint-regression/28-race_reach_01-simple_racing.yml                                                                                                                              false(unreach-call)              7.30        7.31        None
goblint-regression/28-race_reach_11-ptr_racing.yml                                                                                                                                 false(unreach-call)              7.42        7.44        None
pthread-divine/tls_basic.yml                                                                                                                                                       ERROR (compilation)              0.06        0.06        None
pthread/fib_safe-5.yml                                                                                                                                                             true                             2.57        2.58        None
pthread/fib_safe-7.yml                                                                                                                                                             true                            63.12       63.28        None
pthread/fib_unsafe-6.yml                                                                                                                                                           false(unreach-call)              3.50        3.50        None
pthread/fib_safe-10.yml                                                                                                                                                            TIMEOUT                        120.97      121.01        None
pthread/fib_safe-12.yml                                                                                                                                                            TIMEOUT                        120.99      121.01        None
pthread/fib_unsafe-11.yml                                                                                                                                                          TIMEOUT                        121.00      121.01        None
goblint-regression/28-race_reach_40-trylock_racing.yml                                                                                                                             ERROR (unsupported external)        1.26        1.26        None
goblint-regression/28-race_reach_51-mutexptr_racefree.yml                                                                                                                          TIMEOUT                        121.27      121.28        None
pthread/lazy01.yml                                                                                                                                                                 false(unreach-call)              0.07        0.08        None
goblint-regression/28-race_reach_19-callback_racing.yml                                                                                                                            TIMEOUT                        121.15      121.17        None
pthread-ext/04_incdec_cas.yml                                                                                                                                                      true                             0.07        0.08        None
goblint-regression/28-race_reach_03-munge_racing.yml                                                                                                                               OUT OF MEMORY                   29.39       29.40        None
goblint-regression/28-race_reach_09-ptrmunge_racing.yml                                                                                                                            OUT OF MEMORY                   28.88       28.90        None
goblint-regression/28-race_reach_61-invariant_racing.yml                                                                                                                           TIMEOUT                        121.23      121.25        None
pthread-atomic/read_write_lock-2.yml                                                                                                                                               false(unreach-call)              0.11        0.12        None
pthread-ext/26_stack_cas.yml                                                                                                                                                       TIMEOUT                        121.01      121.02        None
pthread-ext/26_stack_cas_longest-2.yml                                                                                                                                             TIMEOUT                        120.62      121.02        None
pthread-ext/26_stack_cas_longest-1.yml                                                                                                                                             false(unreach-call)              0.12        0.13        None
pthread-ext/25_stack_longer-2.yml                                                                                                                                                  TIMEOUT                        120.76      121.02        None
pthread-ext/25_stack_longer-1.yml                                                                                                                                                  false(unreach-call)              0.08        0.09        None
pthread-ext/08_rand_cas.yml                                                                                                                                                        true                             0.08        0.09        None
pthread-wmm/safe029_tso.yml                                                                                                                                                        true                             0.20        0.21        None
pthread-wmm/safe033_tso.yml                                                                                                                                                        true                             0.34        0.35        None
pthread-wmm/safe006_pso.oepc_pso.opt_tso.oepc_tso.opt-thin000_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                true                             0.21        0.22        None
pthread-wmm/safe030_tso.yml                                                                                                                                                        TIMEOUT                        120.91      121.01        None
pthread-wmm/safe011_tso.yml                                                                                                                                                        TIMEOUT                        120.75      121.01        None
pthread-atomic/peterson.yml                                                                                                                                                        true                             0.07        0.07        None
pthread-wmm/safe031_tso.yml                                                                                                                                                        TIMEOUT                        121.00      121.01        None
pthread-wmm/safe004_tso.yml                                                                                                                                                        TIMEOUT                        120.98      121.01        None
pthread-wmm/safe021_tso.yml                                                                                                                                                        TIMEOUT                        121.00      121.01        None
pthread-wmm/safe018_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          true                            40.11       40.13        None
pthread-wmm/safe015_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          TIMEOUT                        120.98      121.01        None
pthread-wmm/safe003_tso.yml                                                                                                                                                        TIMEOUT                        121.00      121.01        None
pthread-wmm/safe028_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          true                           106.43      106.63        None
pthread-wmm/safe000_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          TIMEOUT                        121.00      121.01        None
pthread-wmm/safe034_tso.yml                                                                                                                                                        TIMEOUT                        120.98      121.01        None
pthread-wmm/safe023_tso.yml                                                                                                                                                        TIMEOUT                        120.92      121.01        None
pthread-wmm/safe007_pso.oepc_pso.opt_tso.oepc_tso.opt-thin001_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                TIMEOUT                        120.94      121.01        None
pthread-wmm/safe025_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          TIMEOUT                        120.89      121.01        None
pthread-wmm/safe035_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.yml                                                                                                         TIMEOUT                        120.98      121.01        None
pthread-atomic/lamport.yml                                                                                                                                                         true                             0.07        0.08        None
pthread-wmm/safe027_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          TIMEOUT                        120.99      121.01        None
pthread-atomic/dekker-unfair.yml                                                                                                                                                   true                             0.07        0.07        None
pthread-theta/unwind3-1.yml                                                                                                                                                        false(unreach-call)              0.07        0.07        None
pthread-theta/unwind3-nondet.yml                                                                                                                                                   true                             0.07        0.07        None
pthread-theta/unwind1-100.yml                                                                                                                                                      true                             0.06        0.08        None
pthread-theta/exponential-64.yml                                                                                                                                                   TIMEOUT                        121.00      121.02        None
pthread-theta/exponential-nondet.yml                                                                                                                                               true                             0.07        0.07        None
pthread-theta/unwind2-100.yml                                                                                                                                                      false(unreach-call)              0.07        0.08        None
pthread-ext/43_NetBSD_sysmon_power_sliced-pthread.yml                                                                                                                              ERROR (compilation)              0.06        0.07        None
pthread-theta/wsc.yml                                                                                                                                                              true                             0.08        0.09        None
pthread-wmm/safe033_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                     false(unreach-call)              0.59        0.60        None
pthread-wmm/rfi004.yml                                                                                                                                                             false(unreach-call)              2.93        2.94        None
pthread-wmm/safe029_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                               false(unreach-call)              0.11        0.11        None
