   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/experiments/caat-optimization/core-p1-phase-census-20260719a/source-dev/optimization-analysis/core-direction-review-20260718/p1-cumulative-paired-725.xml
name:                    p1-cumulative-paired-725
run sets:                p1-cumulative-paired-725.unreach-call
date:                    Mon, 2026-07-20 02:42:41 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/experiments/caat-optimization/core-p1-phase-census-20260719a/source-dev/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats
parallel runs:           24
resource limits:
- memory:                12000.0 MB
- time:                  120 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                12000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    160f102b2303
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



p1-cumulative-paired-725.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-stats --svcomp-backend=caat-sc' and propertyfile 'None'

inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                                                                                                           true                             0.06        0.06        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml                                                                                                             true                             0.07        0.08        None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                                                                                                 true                             0.07        0.07        None
goblint-regression/13-privatized_46-refine-protected1_true.yml                                                                                                                     true                             0.07        0.07        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml                                                                                                                  false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_40-traces-ex-6_true.yml                                                                                                                           true                             0.06        0.07        None
goblint-regression/13-privatized_44-traces-mine2_true.yml                                                                                                                          true                             0.06        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml                                                                                                                  false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml                                                                                                                  true                             0.07        0.07        None
goblint-regression/13-privatized_36-traces-ex-3_true.yml                                                                                                                           true                             0.07        0.07        None
goblint-regression/13-privatized_35-traces-ex-2_true.yml                                                                                                                           true                             0.07        0.07        None
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml                                                                                                                    true                             0.07        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml                                                                                                            false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml                                                                                                            false(unreach-call)              0.07        0.07        None
goblint-regression/13-privatized_01-priv_nr_true.yml                                                                                                                               true                             0.06        0.06        None
goblint-regression/13-privatized_42-traces-ex-mini_true.yml                                                                                                                        true                             0.06        0.06        None
