   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/svcomp2026-caat/source/genmc/optimization-analysis/core-direction-review-20260718/decisive-diagnostic-283.xml
name:                    decisive-diagnostic-283
run sets:                recursive-caat-observation-only.pthread-wmm-283
date:                    Sat, 2026-07-18 18:35:52 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/svcomp2026-caat/source/genmc/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    5a2bcef81a7c
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



recursive-caat-observation-only.pthread-wmm-283
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
mix000.oepc.yml                                                                                                                                                        false(unreach-call)              0.26        0.27        None
mix000.opt.yml                                                                                                                                                         false(unreach-call)              2.73        2.74        None
mix001.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix001.opt.yml                                                                                                                                                         TIMEOUT                         60.89       61.01        None
mix002.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix002.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix003.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix003_power.opt_pso.opt_rmo.opt_tso.opt.yml                                                                                                                           TIMEOUT                         61.00       61.01        None
mix004.oepc.yml                                                                                                                                                        TIMEOUT                         60.82       61.01        None
mix004.opt.yml                                                                                                                                                         TIMEOUT                         60.98       61.01        None
mix005.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix005_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.98       61.01        None
mix005_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.98       61.01        None
mix006.opt.yml                                                                                                                                                         TIMEOUT                         60.99       61.01        None
mix006_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.99       61.01        None
mix006_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.73       61.01        None
mix007.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix007.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix008.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix008_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.99       61.01        None
mix008_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix009.oepc.yml                                                                                                                                                        false(unreach-call)              0.20        0.20        None
mix009.opt.yml                                                                                                                                                         false(unreach-call)              5.71        5.72        None
mix010.oepc.yml                                                                                                                                                        TIMEOUT                         61.01       61.02        None
