tool		GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call	baseline.unreach-call
/workspace/svcomp2026-caat/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.074585578	0.07829290098743513	25.747456	true	0.06372265	0.06956042000092566	25.862144
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml	false	true	0.074300214	0.07692335001775064	25.747456	true	0.066058231	0.07089206800446846	25.726976
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.069679771	0.07404060399858281	25.755648	true	0.071977033	0.07556594398920424	25.739264
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.070726751	0.07364093401702121	25.800704	true	0.066530323	0.07172548299422488	25.866240
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.071127606	0.07330947299487889	25.788416	false(unreach-call)	0.066271557	0.0735258639906533	25.874432
goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	0.071248798	0.07265302399173379	25.821184	true	0.053428979	0.05811350198928267	25.792512
goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	0.075495873	0.08265112800290808	25.874432	true	0.06898802	0.07516620299429633	25.890816
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	0.062113259	0.06592751000425778	25.841664	false(unreach-call)	0.069721843	0.07458535299520008	25.866240
goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml	false	true	0.060589747	0.06295291701098904	25.833472	true	0.071537834	0.0760270339960698	25.858048
goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	0.067974239	0.07368448001216166	25.858048	true	0.065706013	0.06956719598383643	25.866240
goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	0.069290741	0.0742144710093271	25.890816	true	0.062205733	0.06452391698257998	25.866240
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	0.05828249	0.06435670799692161	25.870336	true	0.074558394	0.07726226499653421	25.825280
goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	0.071820892	0.07628423199639656	25.903104	false(unreach-call)	0.069123505	0.07337808099691756	25.878528
goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	0.073418864	0.07725517699145712	25.919488	false(unreach-call)	0.069285917	0.0735240159847308	25.866240
goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	0.070226754	0.07699226698605344	25.853952	true	0.074409351	0.0779286090109963	25.862144
goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	0.0670844	0.07123249900178052	25.763840	true	0.073724325	0.07599003499490209	25.882624
goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	0.065328967	0.06935140301357023	25.853952	true	0.061497659	0.06599148799432442	25.853952
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml	false	true	0.072422421	0.0746752509730868	25.788416	true	0.072278971	0.07733227501739748	25.776128
goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	0.070842273	0.07621533199562691	25.927680	true	0.059480176	0.06714566599112004	25.911296
goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	0.063434488	0.06635522699798457	25.907200	true	0.070952038	0.07753849501023069	25.804800
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	0.064831674	0.0694168980116956	25.862144	true	0.060666429	0.06613073201151565	25.862144
goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	0.07384112	0.07845246500801295	25.911296	true	0.074357642	0.0861660770024173	25.845760
weaver/test-semi1.wvr.yml	true	true	0.065959113	0.08349191898014396	25.341952	true	0.066068582	0.07038578897481784	25.358336
weaver/test-easy11.wvr.yml	true	TIMEOUT	60.998905314	61.01126063699485	25.427968	TIMEOUT	61.007191294	61.012703035987215	25.354240
weaver/test-easy7.wvr.yml	true	true	0.066482558	0.07451891200616956	25.341952	true	0.066085916	0.07519026900990866	25.362432
weaver/test-easy1.wvr.yml	true	true	0.056079378	0.06303585600107908	25.346048	true	0.061381949	0.06979150100960396	25.452544
weaver/popl20-figure1-alt.wvr.yml	true	true	0.068055529	0.07366784001351334	25.419776	true	0.05617055	0.06205505700199865	25.350144
weaver/popl20-figure3.wvr.yml	true	TIMEOUT	60.904056247	61.02372357499553	126.562304	TIMEOUT	60.938750921	61.02045316499425	119.332864
weaver/test-easy8.wvr.yml	true	true	0.066737278	0.07561555699794553	25.366528	true	0.057688478	0.06297576500219293	25.387008
weaver/parallel-misc-2-unrolled.wvr.yml	true	true	0.067526158	0.07009231302072294	25.407488	true	0.055378646	0.06259043698082678	25.444352
weaver/parallel-simple-equiv.wvr.yml	true	true	0.066052102	0.07250163902062923	25.456640	true	0.055745043	0.061807343998225406	25.378816
weaver/parallel-ticket-2.wvr.yml	true	true	0.052051201	0.0594344160053879	25.427968	true	0.053899802	0.05968686399864964	25.317376
weaver/mult-dist.wvr.yml	true	OUT OF MEMORY	10.99806037	11.00563078399864	3999.997952	OUT OF MEMORY	10.638587744	10.659311396011617	3999.997952
weaver/clever.wvr.yml	true	true	0.056815613	0.06079580000368878	25.473024	true	0.061414937	0.06484550100867637	25.333760
weaver/popl20-more-nonblocking-counter-alt2.wvr.yml	true	TIMEOUT	61.000973714	61.01501138298772	119.926784	TIMEOUT	61.007292148	61.016081397014204	107.933696
weaver/popl20-counter-determinism.wvr.yml	true	true	0.059515235	0.063530792016536	25.370624	true	0.055997292	0.06233424099627882	25.477120
weaver/parallel-misc-2.wvr.yml	true	true	0.067165203	0.07468261499889195	25.366528	true	0.057350435	0.0634999290050473	25.350144
weaver/parallel-misc-2-unrolled-atomic.wvr.yml	true	true	0.066449474	0.07232300098985434	25.403392	true	0.060276131	0.06592212402028963	25.456640
weaver/chl-sre-trans.wvr.yml	true	true	0.062094792	0.06739873098558746	25.452544	true	0.062313079	0.06552563697914593	25.473024
weaver/spaghetti.wvr.yml	true	TIMEOUT	61.001544328	61.01701137199416	85.348352	TIMEOUT	61.008419445	61.01871561000007	81.379328
weaver/chl-sre-subst.wvr.yml	true	true	0.065808426	0.07735709199914709	25.452544	true	0.061641086	0.06535116900340654	25.378816
weaver/chl-simpl-str-symm.wvr.yml	true	true	0.059524982	0.06197057699318975	25.485312	true	0.059137862	0.06551260300329886	25.440256
weaver/popl20-bad-threaded-sum-2.wvr.yml	true	TIMEOUT	61.003538943	61.0158985730086	108.752896	TIMEOUT	60.73453265	61.014538533985615	101.384192
weaver/test-easy10.wvr.yml	true	true	0.068848793	0.07639514000038616	25.481216	true	0.06015714	0.0667339890205767	25.497600
weaver/parallel-bakery-2.wvr.yml	true	true	0.071581374	0.0774089879996609	25.403392	true	0.059230496	0.07067538000410423	25.505792
weaver/popl20-mult-equiv.wvr.yml	true	TIMEOUT	60.998685041	61.01695367900538	116.035584	TIMEOUT	60.974430357	61.017886639980134	109.232128
weaver/popl20-proofs-counter-add-4-semi-Q67.wvr.yml	true	true	0.06055716	0.06695439299801365	25.509888	true	0.060770609	0.06694283298566006	25.501696
weaver/chl-time-symm.wvr.yml	true	true	0.059602637	0.06593990500550717	25.464832	true	0.062736788	0.06559917400591075	25.505792
weaver/bench-exp3x3.wvr.yml	true	true	0.060018542	0.06373124301899225	25.501696	true	0.065510001	0.0703693050018046	25.534464
weaver/popl20-channel-sum.wvr.yml	true	true	0.057049017	0.06230382598005235	25.387008	true	0.06226647	0.06937180599197745	25.460736
weaver/popl20-bad-counter-queue.wvr.yml	false	true	0.069966892	0.07499960000859573	25.468928	true	0.056929739	0.0639680820167996	25.419776
weaver/test-context1.wvr.yml	true	true	0.058070562	0.061695512995356694	25.448448	true	0.067062053	0.07443933398462832	25.391104
weaver/chl-match-symm.wvr.yml	true	true	0.05824639	0.062499431980540976	25.403392	true	0.057026801	0.06360340001992881	25.456640
weaver/popl20-more-sorted.wvr.yml	true	true	0.069983789	0.0730696689861361	25.477120	true	0.058396048	0.06461325898999348	25.542656
weaver/parallel-ticket-5.wvr.yml	true	true	0.057810335	0.06371675000991672	25.477120	true	0.059017037	0.06404349798685871	25.456640
weaver/chl-exp-term-symm.wvr.yml	true	true	0.054539444	0.05931850802153349	25.485312	true	0.05867406	0.06360058698919602	25.477120
weaver/popl20-more-array-sum-alt.wvr.yml	false	true	0.072720478	0.07500653801253065	25.485312	true	0.057110237	0.06273500798852183	25.403392
weaver/unroll-3.wvr.yml	true	true	0.073018156	0.07607091599493288	25.452544	true	0.059657902	0.06400122499326244	25.505792
weaver/chl-chromosome-opt-symm.wvr.yml	true	true	0.060205212	0.06373118798364885	25.509888	true	0.058056854	0.06378244099323638	25.509888
weaver/popl20-more-min-array.wvr.yml	true	true	0.069526186	0.07684071900439449	25.481216	true	0.055283579	0.06030460598412901	25.473024
weaver/popl20-bad-counter-queue2.wvr.yml	true	true	0.058338416	0.06325949102756567	25.505792	true	0.059257261	0.06288774602580816	25.399296
weaver/bench-exp3x3-opt.wvr.yml	true	true	0.074546523	0.07949394200113602	25.485312	true	0.064550275	0.06709304399555549	25.509888
weaver/popl20-more-min-array-hom.wvr.yml	true	true	0.074439196	0.07687458299915306	25.481216	true	0.062798788	0.06630262700491585	25.505792
weaver/loop-tiling-eq.wvr.yml	true	true	0.062159398	0.06564848200650886	25.427968	true	0.062367679	0.06853151399991475	25.477120
weaver/unroll-cond-3.wvr.yml	true	true	0.056410918	0.06170189901604317	25.530368	true	0.058164664	0.06612885298090987	25.427968
weaver/popl20-send-receive-alt.wvr.yml	true	true	0.057927898	0.06324163600220345	25.456640	true	0.059661678	0.06612378897261806	25.419776
weaver/popl20-threaded-sum-3.wvr.yml	true	TIMEOUT	60.996587222	61.01644818900968	107.872256	TIMEOUT	61.008561877	61.01585248799529	100.597760
weaver/popl20-counter-fun.wvr.yml	true	true	0.063041006	0.06785486798617058	25.518080	true	0.057741026	0.06430289099807851	25.432064
weaver/popl20-more-array-sum-alt2.wvr.yml	true	true	0.060836278	0.0666518819925841	25.395200	true	0.063344751	0.06677812998532318	25.452544
weaver/popl20-min-max-inc.wvr.yml	true	true	0.060108979	0.06543638301081955	25.473024	true	0.062089801	0.0654535659996327	25.473024
weaver/popl20-more-mts.wvr.yml	true	true	0.062434069	0.06515861398656853	25.554944	true	0.061218836	0.06796990599832498	25.546752
weaver/parallel-misc-5.wvr.yml	true	true	0.054896279	0.06052006900426932	25.444352	true	0.059834311	0.06365561499842443	25.370624
weaver/chl-time-subst.wvr.yml	true	true	0.059481882	0.06503701099427417	25.415680	true	0.063853394	0.06859158902079798	25.509888
weaver/popl20-more-array-sum2.wvr.yml	true	true	0.060344075	0.0643255389877595	25.489408	true	0.059389537	0.06534216200816445	25.513984
weaver/chl-match-trans.wvr.yml	true	true	0.060050497	0.06691206799587235	25.440256	true	0.061363485	0.06480131699936464	25.464832
weaver/chl-chromosome-symm.wvr.yml	true	true	0.075975904	0.08028239500708878	25.411584	true	0.05937546	0.0639291690022219	25.505792
weaver/popl20-more-queue-add-2-nl.wvr.yml	true	OUT OF MEMORY	14.3994359	14.403066215018043	3999.997952	OUT OF MEMORY	14.285688243	14.292678228986915	3999.997952
weaver/chl-match-subst.wvr.yml	true	true	0.060531987	0.0652864689764101	25.481216	true	0.058063801	0.06286797998473048	25.534464
weaver/parallel-ticket-7.wvr.yml	true	true	0.068120408	0.07431536499643698	25.608192	true	0.064022632	0.06830855199950747	25.473024
weaver/parallel-misc-1.wvr.yml	true	true	0.06383907	0.06633241201052442	25.477120	true	0.063099211	0.07109890499850735	25.427968
weaver/popl20-more-inc-subseq.wvr.yml	true	true	0.067041713	0.07271132100140676	25.477120	true	0.066142621	0.07114423700841144	25.448448
weaver/chl-array-int-subst.wvr.yml	true	true	0.05880094	0.061512714019045234	25.485312	true	0.056794939	0.06371349000255577	25.579520
weaver/popl20-three-array-min.wvr.yml	true	true	0.059348226	0.06599060498410836	25.534464	true	0.062378775	0.06959494401235133	25.501696
weaver/popl20-three-array-max.wvr.yml	true	true	0.061080168	0.06658140802755952	25.518080	true	0.06107069	0.06596905799233355	25.485312
weaver/popl20-bad-dot-product.wvr.yml	true	true	0.065593096	0.06794911398901604	25.501696	true	0.059198922	0.06382208099239506	25.485312
weaver/parallel-barrier.wvr.yml	true	true	0.061552891	0.06776482402347028	25.616384	true	0.056876559	0.06708662799792364	25.518080
weaver/test-hard1.wvr.yml	true	true	0.06152086	0.06643129099393263	25.509888	true	0.062597246	0.06737885298207402	25.513984
weaver/parallel-ticket-8.wvr.yml	true	true	0.060338181	0.06398495001485571	25.620480	true	0.059907875	0.06369916899711825	25.489408
weaver/chl-chromosome-subst.wvr.yml	true	true	0.065127895	0.06774124101502821	25.563136	true	0.064874282	0.06906983701628633	25.579520
weaver/parallel-bakery-3.wvr.yml	true	true	0.071878906	0.07454925702768378	25.538560	true	0.061985752	0.06894166697748005	25.595904
weaver/chl-collitem-trans.wvr.yml	true	true	0.065395606	0.07211077099782415	25.526272	true	0.060442061	0.06533171201590449	25.464832
weaver/chl-collitem-subst.wvr.yml	true	true	0.061290857	0.06675267100217752	25.423872	true	0.060234791	0.06641604701871984	25.440256
weaver/popl20-horseshoe.wvr.yml	true	OUT OF MEMORY	14.529123265	14.562996634980664	3999.997952	OUT OF MEMORY	14.483313191	14.489692311006365	3999.997952
weaver/popl20-more-queue-add-3-nl.wvr.yml	true	OUT OF MEMORY	14.64659102	14.65476995499921	3999.997952	OUT OF MEMORY	14.526673793	14.537240799021674	3999.997952
weaver/parallel-parallel-sum-1.wvr.yml	true	true	0.072122812	0.07718708299216814	25.604096	true	0.06437756	0.06734934501582757	25.575424
weaver/popl20-bad-ring.wvr.yml	true	true	0.061275589	0.06705723199411295	25.620480	true	0.061449814	0.06938708398956805	25.550848
weaver/popl20-prod-cons3.wvr.yml	true	true	0.074390571	0.07869488498545252	25.485312	true	0.060745949	0.06694832499488257	25.526272
weaver/popl20-more-buffer-mult2.wvr.yml	true	OUT OF MEMORY	14.307875395	14.324590875010472	3999.997952	OUT OF MEMORY	14.745953149	14.753793707001023	3999.997952
