backend	model	program	n	mean	sd	median	ci_low	ci_high	q25	q75	rss_mean_mib	rss_sd_mib	executions	blocked
genmc	sc	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.15	0.0557072581546706	3	0
cat	sc	correct/litmus/SB/variants/sb0.c	10	0.053	0.00483045891539648	0.05	0.0495444978558636	0.0564555021441364	0.05	0.0575	50.2	0.0606496942833735	3	0
caat	sc	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.1375	0.0319368952432414	3	0
genmc	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.052	0.00421637021355784	0.05	0.0489837904496024	0.0550162095503976	0.05	0.05	50.1890625	0.0600428449456442	4	0
cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.055	0.0126929551764398	0.05	0.0459200068573577	0.0640799931426423	0.05	0.05	50.175	0.0657983820723073	4	0
caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.051	0.00316227766016838	0.05	0.0487378428372018	0.0532621571627982	0.05	0.05	50.196875	0.0484122918275927	4	0
genmc	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.061	0.00316227766016838	0.06	0.0587378428372018	0.0632621571627982	0.06	0.06	51.31875	0.0820870346035231	2	6
cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.062	0.00421637021355784	0.06	0.0589837904496024	0.0650162095503976	0.06	0.06	51.2984375	0.0696632836598863	2	6
caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.061	0.00316227766016838	0.06	0.0587378428372018	0.0632621571627982	0.06	0.06	51.284375	0.0705724361914764	2	6
genmc	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.0453125	0.0704377742033507	8	6
cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.0578125	0.0616478363705221	8	6
caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.0921875	0.0723377314811111	8	6
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0.091	0.00316227766016838	0.09	0.0887378428372018	0.0932621571627982	0.09	0.09	51.953125	0.0782984186373589	24	16
cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0.169	0.00567646212197547	0.17	0.164939303619564	0.173060696380436	0.17	0.17	51.9828125	0.0618235967738497	24	16
caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0.11	0	0.11	0.11	0.11	0.11	0.11	51.9734375	0.0556341674717774	24	16
genmc	tso	correct/litmus/SB/variants/sb0.c	10	0.051	0.00316227766016838	0.05	0.0487378428372018	0.0532621571627982	0.05	0.05	50.1546875	0.0572679875308477	4	0
cat	tso	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.1890625	0.0741890474190392	4	0
caat	tso	correct/litmus/SB/variants/sb0.c	10	0.052	0.00421637021355784	0.05	0.0489837904496024	0.0550162095503976	0.05	0.05	50.1578125	0.0485521716100892	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.053	0.00948683298050514	0.05	0.0462135285116054	0.0597864714883946	0.05	0.05	50.2171875	0.0595893426456816	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.051	0.00316227766016838	0.05	0.0487378428372018	0.0532621571627982	0.05	0.05	50.184375	0.0984912221131068	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.051	0.00316227766016838	0.05	0.0487378428372018	0.0532621571627982	0.05	0.05	50.1625	0.0561920998302549	4	0
genmc	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.315625	0.0583705238588412	2	6
cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.061	0.00316227766016838	0.06	0.0587378428372018	0.0632621571627982	0.06	0.06	51.2984375	0.0811731741487845	2	6
caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.061	0.00316227766016838	0.06	0.0587378428372018	0.0632621571627982	0.06	0.06	51.2765625	0.0466138559068009	2	6
genmc	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.061	0.00316227766016838	0.06	0.0587378428372018	0.0632621571627982	0.06	0.06	51.0640625	0.0838040093263244	8	6
cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.071	0.0119721899973786	0.07	0.0624356112057823	0.0795643887942177	0.0625	0.07	51.0640625	0.0289519627285152	8	6
caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.063	0.00483045891539648	0.06	0.0595444978558636	0.0664555021441364	0.06	0.0675	51.04375	0.0739509972887452	8	6
genmc	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	0.082	0.00421637021355784	0.08	0.0789837904496024	0.0850162095503976	0.08	0.08	51.9640625	0.087478295919299	0	0
cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	0.087	0.00483045891539648	0.09	0.0835444978558636	0.0904555021441364	0.0825	0.09	51.934375	0.0470482907943176	0	0
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	0.086	0.00516397779494322	0.09	0.0823059128221082	0.0896940871778918	0.08	0.09	51.95625	0.0574335364670426	0	0
